항목,2020-05-27,2024-04-15
- 거래대금 (억원),,"105,066"
"- 거래대금 (억원, 일평균)","125,453",
KOSDAQ,724.59,852.42
KOSPI,"2,031.20","2,670.43"
"외국인순매수 (억원, 기간 중 * )","△5,068","△3,439"
