항목,2020-05-27,2024-04-15
CD (91 일),1.02,
"CD (91 일, %)",,3.56
국고채 (3년),0.86,
"국고채 (3년, %)",,3.44
"외국인 채권 순매수 * (상장 , 억원)","3,480","3,817"
콜금리 (1일),0.72,
콜금리 (1일.%),,3.50
"회사채 (3년, AA-)",2.20,
"회사채 (3년, AA-, %)",,3.98
