항목,2020-05-27,2024-04-15
CNY/U$,7.1563,7.2386
U$/EUR,1.0954,1.0659
Y/U$,107.54,153.81
"선물환( NDF,1 월물)","1,234.60","1,381.90"
￦/ CNY,172.42,191.21
￦/ U$,"1,234.40","1,384.00"
￦/ Y100,"1,147.85",899.81
