data_date,source_url,table_idx,table_section,row,col,header_top,header_left,value
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,0,,0,0,,,일일경제지표 (19. 1. 31 목) 17:30 현재
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,1,,0,0,,,KOSPI 지수(0.06%하락) 달러 환율(0.32%하락)
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,0,0,,,
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,0,1,,,‘16 말
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,0,2,,,‘17 말
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,0,3,,,‘18.12 말
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,0,4,,,1.29
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,0,5,,,1.30
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,0,6,,,1.31
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,0,7,,,전일비
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,0,8,,,‘18 말비
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,1,0,,,콜금리 (1일)
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,1,1,‘16 말,콜금리 (1일),1.24
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,1,2,‘17 말,콜금리 (1일),1.55
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,1,3,‘18.12 말,콜금리 (1일),1.82
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,1,4,1.29,콜금리 (1일),1.76
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,1,5,1.30,콜금리 (1일),1.74
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,1,6,1.31,콜금리 (1일),1.74
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,1,7,전일비,콜금리 (1일),0
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,1,8,‘18 말비,콜금리 (1일),△0.08
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,2,0,,,CD (91 일)
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,2,1,‘16 말,CD (91 일),1.52
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,2,2,‘17 말,CD (91 일),1.66
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,2,3,‘18.12 말,CD (91 일),1.93
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,2,4,1.29,CD (91 일),1.86
2019-01-31,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026728&menuNo=6010200,2,금리,2,5,1.30,CD (91 일),1.86
