data_date,source_url,table_idx,table_section,row,col,header_top,header_left,value
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,0,,0,0,,,일일경제지표 (24. 8. 1 목) 17:30 현재
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,0,0,,,
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,0,1,,,’ 22말
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,0,2,,,’ 23말
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,0,3,,,’ 24.6말
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,0,4,,,7/30
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,0,5,,,7/31
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,0,6,,,8/1
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,0,7,,,전일비
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,0,8,,,23말비
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,1,0,,,콜금리 (1일.%)
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,1,1,’ 22말,콜금리 (1일.%),3.21
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,1,2,’ 23말,콜금리 (1일.%),3.55
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,1,3,’ 24.6말,콜금리 (1일.%),3.60
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,1,4,7/30,콜금리 (1일.%),3.50
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,1,5,7/31,콜금리 (1일.%),3.51
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,1,6,8/1,콜금리 (1일.%),3.53
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,1,7,전일비,콜금리 (1일.%),0.02
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,1,8,23말비,콜금리 (1일.%),△0.02
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,2,0,,,"CD (91 일, %)"
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,2,1,’ 22말,"CD (91 일, %)",3.98
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,2,2,’ 23말,"CD (91 일, %)",3.83
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,2,3,’ 24.6말,"CD (91 일, %)",3.60
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,2,4,7/30,"CD (91 일, %)",3.50
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,2,5,7/31,"CD (91 일, %)",3.50
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,2,6,8/1,"CD (91 일, %)",3.49
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,2,7,전일비,"CD (91 일, %)",△0.01
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,2,8,23말비,"CD (91 일, %)",△0.34
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,3,0,,,"국고채 (3년, %)"
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,3,1,’ 22말,"국고채 (3년, %)",3.72
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,3,2,’ 23말,"국고채 (3년, %)",3.15
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,3,3,’ 24.6말,"국고채 (3년, %)",3.18
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,3,4,7/30,"국고채 (3년, %)",2.99
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,3,5,7/31,"국고채 (3년, %)",3.00
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,3,6,8/1,"국고채 (3년, %)",2.98
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,3,7,전일비,"국고채 (3년, %)",△0.03
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,3,8,23말비,"국고채 (3년, %)",△0.18
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,4,0,,,"회사채 (3년, AA-, %)"
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,4,1,’ 22말,"회사채 (3년, AA-, %)",5.23
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,4,2,’ 23말,"회사채 (3년, AA-, %)",3.90
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,4,3,’ 24.6말,"회사채 (3년, AA-, %)",3.66
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,4,4,7/30,"회사채 (3년, AA-, %)",3.45
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,4,5,7/31,"회사채 (3년, AA-, %)",3.46
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,4,6,8/1,"회사채 (3년, AA-, %)",3.43
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,4,7,전일비,"회사채 (3년, AA-, %)",△0.03
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,4,8,23말비,"회사채 (3년, AA-, %)",△0.47
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,5,0,,,"외국인 채권 순매수 * (상장, 억원)"
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,5,1,’ 22말,"외국인 채권 순매수 * (상장, 억원)","△2,319"
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,5,2,’ 23말,"외국인 채권 순매수 * (상장, 억원)",△406
2024-08-01,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000070054&menuNo=6010200,1,금리,5,3,’ 24.6말,"외국인 채권 순매수 * (상장, 억원)","1,248"
