일일경제지표('22.1.11)
"data_date,2022-01-11"

[표]
일일경제지표 (22. 1. 11. 화) 17:30 현재

[금리]
,‘19 말,‘20 말,‘21.12 말,1.7,1.10,1.11,전일비,21말비
콜금리 (1일),1.31,0.57,1.11,1.00,1.00,1.06,0.06,△0.05
CD (91 일),1.53,0.66,1.29,1.30,1.30,1.30,0,0.01
국고채 (3년),1.36,0.98,1.80,2.02,2.06,2.04,△0.02,0.24
"회사채 (3년, AA-)",1.94,2.21,2.42,2.59,2.62,2.61,△0.01,0.20
"외국인 채권 순매수 * (상장 , 억원)",100,"5,408","1,858","3,813","7,651","4,215","△3,436",-

[주가]
,‘19 말,‘20 말,‘21.12 말,1.7,1.10,1.11,전일비,21말비
KOSPI,"2,197.67","2,873.47","2,977.65","2,954.89","2,926.72","2,927.38",0.02%,△1.69%
"- 거래대금 (억원, 일평균)","54,296","179,288","132,923","168,493","132,911","128,769",△3.12%,-
KOSDAQ,669.83,968.42,"1,033.98",995.16,980.38,969.92,△1.07%,△6.20%
"외국인순매수 (억원, 기간 중 * )","△2,816","1,840","△2,389","7,152","△2,014","3,312",△264,-

[환율]
,‘19 말,‘20 말,‘21.12 말,1.7,1.10,1.11,전일비,21말비
￦/ U$,"1,156.40","1,086.30","1,188.80","1,201.50","1,199.10","1,194.70",△0.37,0.50
"선물환( NDF,1 월물)","1,155.40","1,086.30","1,190.00","1,202.30","1,199.70","1,195.80",△0.33,0.49
￦/ CNY,165.50,166.04,186.51,188.49,188.14,187.49,△0.35,0
￦/ Y100,"1,059.75","1,051.19","1,032.48","1,036.58","1,035.40","1,036.80",0.14,0.42
Y/U$,109.12,103.34,115.14,115.91,115.81,115.23,△0.50,0.08
U$/EUR,1.1194,1.2279,1.1318,1.1302,1.1328,1.1340,0.11,0.19
CNY/U$,6.9848,6.5305,6.3681,6.3773,6.3730,6.3704,△0.04,0.04

[국제금리·주가·가산금리]
,‘19 말,‘20 말,’21.12 말,1.7,1.10,1.11,전일비,21말비
"LIBOR ($, 3 월, %)",1.94,0.25,0.22,0.23,0.24,0.24,0,0.02
DOW,"28,645","30,410","36,489","36,236","36,232","36,069",△0.45%,△1.15%
NIKKEI,"23,657","27,444","28,792","28,479","28,479","28,222",△0.90%,△1.98%
SHANGHAI COMP,"3,040","3,473","3,619","3,580","3,594","3,567",△0.73%,△1.43%
"외평채가산금리(30년만기, bp)",50,32,15,17,20,21,1.00,6.00
"CDS (5 년, bp)",22,22,21,22,22,22,0.07,0.65
"CRS (1 년, %)",0.83,0.24,1.00,0.96,0.95,0.96,0.01,△0.04

[유가·곡물·원자재]
,‘19 말,‘20 말,’21.12 말,1.6,1.7,1.10,전일비,21말비
Dubai ($/ 배럴),67.27,51.14,77.12,78.83,80.55,80.36,△0.24%,4.20%
WTI 선물 ($/배럴),61.06,48.52,75.21,79.46,78.90,78.23,△0.85%,4.02%
밀 (센트/부셀),559,641,771,746,759,762,0.40%,△1.17%
옥수수 (센트/부셀),388,484,593,604,607,600,△1.15%,1.18%
동 ($/톤),"6,156","7,742","9,692","9,565","9,615","9,665",0.52%,△0.28%
알루미늄 ($/톤),"1,800","1,978","2,806","2,913","2,920","2,923",0.10%,4.17%

[반도체]
,‘19,‘20,‘21.10 월,11월,12월,1.6,1.7,1.10,1월 (~10)
"D 램(8 G) 현물가($, 기간평균)",3.93,3.07,3.56,3.23,3.42,3.71,3.71,3.72,3.69
"(%, YoY)",△51.7,△21.9,21.9,14.6,8.0,7.3,7.3,7.5,6.0
"낸드(128 G) 현물가($, 기간평균)",5.34,5.71,7.27,7.35,7.45,7.50,7.50,7.50,7.50
"(%, YoY)",△15.9,7.0,28.8,30.5,32.8,33.4,33.0,33.0,33.0
