일일경제지표('17.8.18.)
"data_date,2017-08-18"

[표]
일일경제지표 (17. 8. 18. 금) 17:30 현재

[표]
KOSPI 지수(0.14%하락) 달러 환율(0.36%상승)

[금리]
,‘15 말,‘16 말,‘17.7 말,8.16,8.17,8.18,전일비,‘16 말비
콜금리 (1일),1.49,1.24,1.23,1.21,1.21,1.22,0.01,△0.02
CD (91 일),1.67,1.52,1.39,1.39,1.39,1.39,0,△0.13
국고채 (3년),1.66,1.64,1.72,1.82,1.80,1.78,△0.02,0.14
국고채 (5년),1.81,1.80,1.93,2.03,2.01,2.00,△0.01,0.20
"회사채 (3년, AA-)",2.11,2.13,2.26,2.36,2.34,2.32,△0.02,0.20
"외국인 채권 순매수 * (상장 , 억원)",830,297,"1,575","△2,187",△983,95,"1,078",△202

[주가]
,‘15 말,‘16 말,‘17.7 말,8.16,8.17,8.18,전일비,‘16 말비(%)
KOSPI,"1,961.31","2,026.46","2,402.71","2,348.26","2,361.67","2,358.37",△0.14%,16.38%
"- 거래대금 (억원, 일평균)","37,066",-,"56,465","60,819","44,328","46,960",15.58%,-
KOSDAQ,682.35,631.44,650.47,634.91,642.11,643.58,0.23%,1.92%
"외국인순매수 (억원, 기간 중 * )",△538,"1,380","△2,568",△447,"1,045",237,△808,-

[환율]
,‘15 말,‘16 말,‘17.7 말,8.16,8.17,8.18,전일비,‘16 말비(%)
￦/ U$,"1,172.50","1,207.70","1,119.00","1,141.50","1,137.20","1,141.30",0.36,△5.52
"선물환( NDF,1 월물)","1,173.70","1,207.70","1,118.80","1,141.50","1,137.70","1,141.40",0.33,△5.52
￦/ CNY,180.70,173.68,166.41,170.58,170.65,170.89,0.14,△1.75
￦/ EUR,"1,281.54","1,262.53","1,312.36","1,338.29","1,338.71","1,339.09",0.03,5.47
￦/ Y100,974.08,"1,035.41","1,011.94","1,030.70","1,035.23","1,044.57",0.90,1.03
Y/U$,120.37,116.64,110.58,110.75,109.85,109.26,△0.54,△6.49
U$/EUR,1.0930,1.0454,1.1728,1.1724,1.1772,1.1733,△0.33,11.64
CNY/U$,6.4900,6.9550,6.7213,6.6941,6.6713,6.6795,0.12,△3.80

[국제금리·주가·가산금리]
,‘15 말,‘16 말,‘17.7 말,8.16,8.17,8.18,전일비,‘16 말비
"LIBOR (Dollar, 3 월, %)",0.61,1.00,1.31,1.31,1.32,-,0.00,0.32
"T/NOTE (10 년, %)",2.27,2.45,2.30,2.23,2.19,-,△0.04,△0.26
DOW,"17,425","19,763","21,891","22,025","21,751",-,△1.24%,10.06%
NIKKEI,"19,034","19,114","19,925","19,729","19,703","19,470",△1.18%,1.86%
SHANGHAI COMP,"3,565","3,098","3,273","3,246","3,268","3,269",0.01%,5.52%
"외평채가산금리(23년물, bp)",43,25,78,82,83,-,1,58.00
"CDS (5 년, bp)",55,44,58,64,64,65,1,20.74
"CRS (1 년, %)",1.35,1.00,0.89,0.90,0.96,0.90,△0.06,△0.11

[유가·곡물·원자재]
,‘15 말,‘16 말,‘17.7 말,8.15,8.16,8.17,전일비,‘16 말비
Dubai ($/ 배럴),32.19,53.83,50.38,49.26,49.53,48.65,△1.78%,△9.62%
WTI 선물 ($/배럴),37.04,53.72,50.17,47.55,46.78,47.09,0.66%,△12.34%
Brent 선물 ($/배럴),37.28,56.82,52.65,50.80,50.27,51.03,1.51%,△10.19%
원당 (센트/파운드),15.24,19.51,14.91,13.13,12.94,13.29,2.70%,△31.88%
밀 (센트/부셀),470,408,475,430,447,441,△1.34%,8.09%
콩 (센트/부셀),871,"1,004","1,007",924,925,933,0.86%,△7.07%
옥수수 (센트/부셀),359,352,385,369,367,364,△0.82%,3.41%
동 ($/톤),"4,702","5,501","6,347","6,382","6,433","6,460",0.42%,17.43%
알루미늄 ($/톤),"1,508","1,714","1,904","2,056","2,075","2,096",1.01%,22.32%
