일일경제지표('20.3.11)
"data_date,2020-03-11"

[표]
일일경제지표 (20. 3. 11. 수) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.2 말,3.9,3.10,3.11,전일비,19말비
콜금리 (1일),1.82,1.31,1.23,1.24,1.26,1.25,△0.01,△0.06
CD (91 일),1.93,1.53,1.41,1.40,1.40,1.40,0,△0.13
국고채 (3년),1.82,1.36,1.10,1.04,1.08,1.09,0.00,△0.27
"회사채 (3년, AA-)",2.29,1.94,1.71,1.66,1.71,1.71,0.00,△0.23
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,△492,"8,950","△1,073","11,116","12,189",-

[주가]
,‘18 말,‘19 말,‘20.2 말,3.9,3.10,3.11,전일비,19말비
KOSPI,"2,041.04","2,197.67","1,987.01","1,954.77","1,962.93","1,908.27",△2.78%,△13.17%
"- 거래대금 (억원, 일평균)","41,207","54,296","72,411","72,335","87,969","91,336",3.83%,-
KOSDAQ,675.65,669.83,610.73,614.60,619.97,595.61,△3.93%,△11.08%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△5,673","△14,501","△9,512","△9,567",1,-

[환율]
,‘18 말,‘19 말,‘20.2 말,3.9,3.10,3.11,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,213.70","1,204.20","1,193.20","1,193.00",△0.02,3.16
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,214.40","1,204.40","1,192.40","1,193.40",0.08,3.29
￦/ CNY,162.79,165.50,173.39,173.22,171.82,171.85,0.02,3.84
￦/ Y100,"1,008.86","1,059.75","1,114.82","1,172.66","1,141.93","1,141.41",△0.05,7.71
Y/U$,110.59,109.12,108.87,102.69,104.49,104.52,0.03,△4.22
U$/EUR,1.1455,1.1194,1.1001,1.1400,1.1356,1.1346,△0.09,1.36
CNY/U$,6.8522,6.9848,7.0072,6.9421,6.9347,6.9437,0.13,△0.59

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.2 말,3.9,3.10,3.11,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,1.61,0.90,0.90,0.77,△0.13,△1.18
DOW,"23,062","28,645","25,767","25,865","23,851","25,018",4.89%,△12.10%
NIKKEI,"20,015","23,657","21,143","19,699","19,867","19,416",△2.27%,△17.93%
SHANGHAI COMP,"2,494","3,040","2,880","2,943","2,997","2,969",△0.94%,△2.25%
"외평채가산금리(23년물, bp)",63,37,42,47,50,44,△6.00,8.00
"CDS (5 년, bp)",40,22,35,50,40,39,△1.38,16.61
"CRS (1 년, %)",1.21,0.83,0.46,0.20,0.23,0.21,△0.02,△0.62

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.2 말,3.6,3.9,3.10,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,49.05,48.58,32.87,34.18,3.99%,△49.19%
WTI 선물 ($/배럴),45.33,61.06,44.76,41.28,31.13,34.36,10.38%,△43.73%
밀 (센트/부셀),512,559,525,516,519,522,0.58%,△6.62%
옥수수 (센트/부셀),376,388,368,376,373,378,1.34%,△2.58%
동 ($/톤),"6,018","6,156","5,573","5,624","5,483","5,598",2.10%,△9.06%
알루미늄 ($/톤),"1,881","1,800","1,663","1,687","1,644","1,689",2.74%,△6.17%

[반도체]
,‘18,‘19,‘19.12 월,‘20.1 월,2월,3.6,3.9,3.10,3월 (~10)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.91,3.24,3.39,3.56,3.58,3.61,3.54
"(%, YoY)",8.3,△51.7,△55.0,△45.6,△41.4,△33.4,△32.9,△31.2,△29.7
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.94,6.08,6.11,6.07,6.07,6.10,6.09
"(%, YoY)",△2.6,△15.9,7.3,17.2,22.7,23.4,23.4,24.2,23.7
