일일경제지표('20.7.20)
"data_date,2020-07-20"

[표]
일일경제지표 (20. 7. 20. 월) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.6 말,7.16,7.17,7.20,전일비,19말비
콜금리 (1일),1.82,1.31,0.49,0.47,0.49,0.46,△0.03,△0.85
CD (91 일),1.93,1.53,0.79,0.79,0.79,0.79,0,△0.74
국고채 (3년),1.82,1.36,0.84,0.83,0.81,0.80,△0.01,△0.56
"회사채 (3년, AA-)",2.29,1.94,2.25,2.23,2.21,2.21,△0.01,0.27
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,"2,455","2,248","1,904","4,019","2,115",-

[주가]
,‘18 말,‘19 말,‘20.6 말,7.16,7.17,7.20,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,108.33","2,183.76","2,201.19","2,198.20",△0.14%,0.02%
"- 거래대금 (억원, 일평균)","41,207","54,296","90,258","136,413","113,042","101,911",△9.85%,-
KOSDAQ,675.65,669.83,737.97,775.07,783.22,781.96,△0.16%,16.74%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816",△404,"△2,751","2,166","△1,757",△181,-

[환율]
,‘18 말,‘19 말,‘20.6 말,7.16,7.17,7.20,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,203.00","1,205.60","1,205.10","1,203.20",△0.16,4.05
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,202.90","1,205.10","1,204.80","1,203.00",△0.15,4.12
￦/ CNY,162.79,165.50,170.16,172.23,172.14,172.15,0.01,4.02
￦/ Y100,"1,008.86","1,059.75","1,116.58","1,127.47","1,123.95","1,122.07",△0.17,5.88
Y/U$,110.59,109.12,107.74,106.93,107.22,107.23,0.01,△1.73
U$/EUR,1.1455,1.1194,1.1215,1.1395,1.1383,1.1462,0.69,2.39
CNY/U$,6.8522,6.9848,7.0707,6.9980,6.9980,6.9870,△0.16,0.03

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.6 말,7.16,7.17,7.20,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.31,0.27,0.27,0.27,△0.00,△1.67
DOW,"23,062","28,645","25,596","26,870","26,735","26,672",△0.23%,△6.29%
NIKKEI,"20,015","23,657","22,389","22,770","22,696","22,717",0.09%,△3.97%
SHANGHAI COMP,"2,494","3,040","2,979","3,210","3,214","3,314",3.11%,9.14%
"외평채가산금리(23년물, bp)",63,37,59,50,49,49,0,13.00
"CDS (5 년, bp)",40,22,30,27,27,25,△2.15,2.99
"CRS (1 년, %)",1.21,0.83,△0.12,△0.04,△0.06,△0.06,0,△0.88

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.6 말,7.15,7.16,7.17,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,42.07,44.18,43.37,42.86,△1.18%,△36.29%
WTI 선물 ($/배럴),45.33,61.06,39.27,41.20,40.75,40.59,△0.39%,△33.52%
밀 (센트/부셀),512,559,492,551,535,535,0,△4.29%
옥수수 (센트/부셀),376,388,342,334,338,340,0.59%,△12.37%
동 ($/톤),"6,018","6,156","6,038","6,507","6,385","6,445",0.94%,4.69%
알루미늄 ($/톤),"1,881","1,800","1,602","1,651","1,627","1,618",△0.55%,△10.11%

[반도체]
,‘18,‘19,‘20.4 월,5월,6월,7.15,7.16,7.17,7월 (~17)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,3.51,3.17,2.93,2.67,2.67,2.67,2.70
"(%, YoY)",8.3,△51.7,△17.5,△15.1,△13.0,△24.5,△25.2,△25.8,△20.2
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.76,5.65,5.41,5.43,5.43,5.42,5.43
"(%, YoY)",△2.6,△15.9,16.0,11.4,7.3,4.6,4.6,2.8,4.3
