일일경제지표('18.5.2.)
"data_date,2018-05-02"

[표]
일일경제지표 (18. 5. 2. 수) 17:30 현재

[표]
KOSPI 지수(0.39%하락) 달러 환율(0.76%상승)

[금리]
,‘16 말,‘17 말,‘18.3 말,4.30,5.1,5.2,전일비,‘17 말비
콜금리 (1일),1.24,1.55,1.48,1.46,1.46,1.51,0.05,△0.04
CD (91 일),1.52,1.66,1.65,1.65,-,1.65,0,△0.01
국고채 (3년),1.64,2.14,2.22,2.22,-,2.24,0.02,0.10
국고채 (5년),1.80,2.34,2.43,2.49,-,2.52,0.03,0.17
"회사채 (3년, AA-)",2.13,2.68,2.80,2.82,-,2.84,0.02,0.16
"외국인 채권 순매수 * (상장 , 억원)",297,△66,"△1,005","4,304",-,"4,475",171.00,"4,541.00"

[주가]
,‘16 말,‘17 말,‘18.3 말,4.30,5.1,5.2,전일비,‘17 말비(%)
KOSPI,"2,026.46","2,467.49","2,415.85","2,515.38",-,"2,505.61",△0.39%,1.54%
"- 거래대금 (억원, 일평균)",-,"42,744","64,344","94,331",-,"116,654",23.31%,-
KOSDAQ,631.44,798.42,871.09,875.95,-,871.03,△0.56%,9.09%
"외국인순매수 (억원, 기간 중 * )","1,380","1,409","△1,643","2,357",-,△161,"△2,518",-

[환율]
,‘16 말,‘17 말,‘18.3 말,4.30,5.1,5.2,전일비,‘17 말비(%)
￦/ U$,"1,207.70","1,070.50","1,063.50","1,068.00",-,"1,076.10",0.76,0.52
"선물환( NDF,1 월물)","1,207.70","1,070.00","1,062.50","1,067.10",-,"1,075.10",0.75,0.48
￦/ CNY,173.68,163.90,169.49,168.67,169.51,169.16,△0.21,3.21
￦/ EUR,"1,262.53","1,276.79","1,310.23","1,295.59",-,"1,291.43",△0.32,1.15
￦/ Y100,"1,035.41",949.28,"1,001.70",978.38,-,980.05,0.17,3.24
Y/U$,116.64,112.77,106.17,109.16,-,109.80,0.59,△2.63
U$/EUR,1.0454,1.1927,1.2320,1.2131,-,1.2001,△1.07,0.62
CNY/U$,6.9550,6.5426,6.2699,6.3325,-,6.3594,0.42,△2.80

[국제금리·주가·가산금리]
,‘16 말,‘17 말,‘18.3 말,4.30,5.1,5.2,전일비,‘17 말비
"LIBOR (Dollar, 3 월, %)",1.00,1.69,2.31,2.36,2.36,-,0,0.67
DOW,"19,763","24,719","24,103","24,163","24,099",-,△0.27%,△2.51%
NIKKEI,"19,114","22,765","21,454",-,"22,508","22,473",△0.16%,△1.28%
SHANGHAI COMP,"3,098","3,307","3,169",-,,"3,081",△0.03%,△6.83%
"외평채가산금리(23년물, bp)",25,76,61,-,63,-,0,△13.00
"CDS (5 년, bp)",44,56,52,46,46,44,△2,△12.22
"CRS (1 년, %)",1.00,1.38,1.26,1.12,,1.10,△0.01,△0.28

[유가·곡물·원자재]
,‘16 말,‘17 말,‘18.3 말,4.27,4.30,5.1,전일비,‘17 말비
Dubai ($/ 배럴),53.83,64.33,-,70.80,70.05,-,△1.06%,8.89%
WTI 선물 ($/배럴),53.72,60.42,-,68.10,68.57,67.25,△1.93%,11.30%
Brent 선물 ($/배럴),56.82,66.87,-,74.64,75.17,73.13,△2.71%,9.36%
원당 (센트/파운드),19.51,15.16,-,11.20,11.52,11.69,1.48%,△22.89%
밀 (센트/부셀),408,427,-,499,511,529,3.52%,23.89%
콩 (센트/부셀),"1,004",962,-,"1,056","1,049","1,053",0.38%,9.46%
옥수수 (센트/부셀),352,351,-,399,401,406,1.25%,15.67%
동 ($/톤),"5,501","7,157",-,"6,797","6,783","6,778",△0.07%,△5.30%
알루미늄 ($/톤),"1,714","2,242",-,"2,249","2,224","2,258",1.53%,0.71%
