일일경제지표('20.4.21)
"data_date,2020-04-21"

[표]
일일경제지표 (20. 4. 21. 화) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.3 말,4.17,4.20,4.21,전일비,19말비
콜금리 (1일),1.82,1.31,0.76,0.73,0.74,0.75,0.01,△0.56
CD (91 일),1.93,1.53,1.10,1.10,1.10,1.10,0,△0.43
국고채 (3년),1.82,1.36,1.07,1.01,1.01,1.04,0.02,△0.33
"회사채 (3년, AA-)",2.29,1.94,2.08,2.15,2.15,2.19,0.04,0.25
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,720,"6,431","11,620","1,878","△9,742",-

[주가]
,‘18 말,‘19 말,‘20.3 말,4.17,4.20,4.21,전일비,19말비
KOSPI,"2,041.04","2,197.67","1,754.64","1,914.53","1,898.36","1,879.38",△1.00%,△14.48%
"- 거래대금 (억원, 일평균)","41,207","54,296","90,810","107,107","141,277","119,159",△15.66%,-
KOSDAQ,675.65,669.83,569.07,634.79,637.82,628.77,△1.42%,△6.13%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△1,724","2,726","△5,224","△5,896",13,-

[환율]
,‘18 말,‘19 말,‘20.3 말,4.17,4.20,4.21,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,217.40","1,217.90","1,220.50","1,229.70",0.75,6.34
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,216.20","1,216.80","1,218.70","1,231.30",1.03,6.57
￦/ CNY,162.79,165.50,171.87,172.22,172.49,173.47,0.57,4.82
￦/ Y100,"1,008.86","1,059.75","1,123.48","1,130.83","1,131.66","1,144.33",1.12,7.98
Y/U$,110.59,109.12,108.36,107.70,107.85,107.46,△0.36,△1.52
U$/EUR,1.1455,1.1194,1.1003,1.0848,1.0847,1.0840,△0.06,△3.16
CNY/U$,6.8522,6.9848,7.0927,7.0785,7.0780,7.0826,0.06,1.40

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.3 말,4.17,4.20,4.21,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,1.45,1.13,1.11,1.11,0,△0.84
DOW,"23,062","28,645","22,327","23,538","24,242","23,650",△2.44%,△16.91%
NIKKEI,"20,015","23,657","18,917","19,897","19,669","19,281",△1.97%,△18.50%
SHANGHAI COMP,"2,494","3,040","2,750","2,838","2,853","2,827",△0.90%,△6.91%
"외평채가산금리(23년물, bp)",63,37,59,72,72,74,2.00,38.00
"CDS (5 년, bp)",40,22,40,33,33,35,2.18,12.92
"CRS (1 년, %)",1.21,0.83,△0.53,△0.24,△0.25,△0.32,△0.07,△1.15

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.3 말,4.16,4.17,4.20,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,23.43,19.72,20.61,20.78,0.82%,△69.11%
WTI 선물 ($/배럴),45.33,61.06,20.48,19.87,18.27,△37.63,△305.97%,△161.63%
밀 (센트/부셀),512,559,569,531,534,548,2.62%,△1.97%
옥수수 (센트/부셀),376,388,341,320,322,322,0,△17.01%
동 ($/톤),"6,018","6,156","4,797","5,099","5,176","5,170",△0.12%,△16.02%
알루미늄 ($/톤),"1,881","1,800","1,489","1,476","1,483","1,452",△2.09%,△19.33%

[반도체]
,‘18,‘19,‘20.1 월,2월,3월,4.16,4.17,4.20,4월 (~20)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,3.24,3.39,3.54,3.48,3.47,3.47,3.57
"(%, YoY)",8.3,△51.7,△45.6,△41.4,△29.8,△17.5,△17.1,△16.7,△16.1
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,6.08,6.11,6.00,5.76,5.74,5.74,5.78
"(%, YoY)",△2.6,△15.9,17.2,22.7,21.8,16.7,16.4,16.4,16.4
