일일경제지표('16.11.17.)
"data_date,2016-11-17"

[표]
일일경제지표 (16. 11 .17 목) 17:30 현재

[표]
KOSPI 지수(0.13%상승) 달러 환율(0.57%상승)

[금리]
,‘14 말,‘15 말,‘16.10 말,11.15,11.16,11/17,전일비,‘15 말비
콜금리 (1일),2.01,1.49,1.18,1.24,1.24,1.24,0.00,△0.25
CD (91 일),2.13,1.67,1.39,1.39,1.39,1.40,0.01,△0.27
국고채 (3년),2.10,1.66,1.44,1.64,1.69,1.71,0.02,0.05
국고채 (5년),2.28,1.81,1.50,1.79,1.83,1.86,0.03,0.04
"회사채 (3년, AA-)",2.43,2.11,1.85,2.03,2.07,2.10,0.02,△0.02
"외국인 채권 순매수 * (상장 , 억원)","46,746",830,"△1,140","△11,692","△1,598","△1,034",564,-

[주가]
,‘14 말,‘15 말,‘16.10 말,11.15,11.16,11/17,전일비,‘15 말비(%)
KOSPI,"1,915.59","1,961.31","2,008.19","1,967.53","1,979.65","1,982.27",0.13%,1.07%
"- 거래대금 (억원, 일평균)","36,950","37,066","42,863","50,956","44,866","46,553","△4,403",-
KOSDAQ,542.97,682.35,624.68,617.43,627.83,627.96,0.02%,△7.97%
"외국인순매수 (억원, 기간 중 * )","1,546",△538,198,"△1,410",402,△3,△405,-

[환율]
,‘14 말,‘15 말,‘16.10 말,11.15,11.16,11/17,전일비,‘15 말비(%)
￦/ U$,"1,099.30","1,172.50","1,144.50","1,170.60","1,169.20","1,175.90",0.57,0.29
"선물환( NDF,1 월물)","1,100.90","1,173.70","1,144.70","1,171.00","1,169.60","1,176.30",0.57,0.22
￦/ CNY,177.21,180.70,168.95,170.62,170.22,171.19,0.57,△5.26
￦/ EUR,"1,333.89","1,281.54","1,254.72","1,258.51","1,256.66","1,257.39",0.06,△1.88
￦/ Y100,913.04,974.08,"1,092.18","1,082.59","1,071.78","1,076.34",0.43,10.50
Y/U$,120.40,120.37,104.79,108.13,109.09,109.25,0.15,△9.24
U$/EUR,1.2134,1.0930,1.0963,1.0751,1.0748,1.0693,△0.51,△2.17
CNY/U$,6.2210,6.4900,6.7697,6.8597,6.8685,6.8699,0.02,5.85

[국제금리·주가·가산금리]
,‘14 말,‘15 말,‘16.10 말,11.15,11.16,11/17,전일비,‘15 말비
"LIBOR (Dollar, 3 월, %)",0.26,0.61,0.89,0.91,0.91,-,0.00,0.30
"T/NOTE (10 년, %)",2.18,2.27,1.83,2.22,2.22,-,△0.04,△0.05
DOW,"17,823","17,425","18,142","18,923","18,868",-,△0.00%,8.28%
NIKKEI,"17,464","19,034","17,425","17,668","17,862","17,863",0.00%,△6.15%
SHANGHAI COMP,"3,235","3,565","3,098","3,204","3,205","3,209",0.12%,△10.00%
"외평채가산금리(23년물, bp)",48,43,19,20,21,-,△1,△22
"CDS (5 년, bp)",54,55,41,54,52,53,1,△2
"CRS (1 년, %)",1.49,1.35,1.09,1.04,1.04,0.97,△0.06,△0.38

[유가·곡물·원자재]
,‘14 말,‘15 말,‘16.10 말,11.14,11.15,11/16,전일비,‘15 말비
Dubai ($/ 배럴),53.60,32.19,47.44,41.95,41.97,45.57,8.58%,41.57%
WTI 선물 ($/배럴),53.27,37.04,46.86,43.32,45.81,45.57,△0.52%,23.03%
Brent 선물 ($/배럴),57.33,37.28,48.30,44.43,46.95,46.63,△0.68%,25.08%
원당 (센트/파운드),14.52,15.24,21.57,21.63,21.15,20.36,△3.74%,33.60%
밀 (센트/부셀),590,470,416,394,399,397,△0.50%,△15.53%
콩 (센트/부셀),"1,019",871,"1,012",984,990,986,△0.38%,13.14%
옥수수 (센트/부셀),397,359,355,337,342,339,△0.88%,△5.64%
동 ($/톤),"6,359","4,702","4,818","5,620","5,448","5,459",0.20%,16.10%
알루미늄 ($/톤),"1,832","1,508","1,723","1,765","1,727","1,719",△0.46%,14.03%
