일일경제지표('20.3.18)
"data_date,2020-03-18"

[표]
일일경제지표 (20. 3. 18. 수) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.2 말,3.16,3.17,3.18,전일비,19말비
콜금리 (1일),1.82,1.31,1.23,1.25,1.27,0.76,△0.51,△0.55
CD (91 일),1.93,1.53,1.41,1.39,1.02,1.02,0,△0.51
국고채 (3년),1.82,1.36,1.10,1.10,1.03,1.05,0.02,△0.31
"회사채 (3년, AA-)",2.29,1.94,1.71,1.77,1.74,1.77,0.03,△0.17
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,△492,"5,904","△3,221","2,518","5,739",-

[주가]
,‘18 말,‘19 말,‘20.2 말,3.16,3.17,3.18,전일비,19말비
KOSPI,"2,041.04","2,197.67","1,987.01","1,714.86","1,672.44","1,591.20",△4.86%,△27.60%
"- 거래대금 (억원, 일평균)","41,207","54,296","72,411","133,769","85,938","97,090",12.98%,-
KOSDAQ,675.65,669.83,610.73,504.51,514.73,485.14,△5.75%,△27.57%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△5,673","△6,644","△7,598","△59,646",685,-

[환율]
,‘18 말,‘19 말,‘20.2 말,3.16,3.17,3.18,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,213.70","1,226.00","1,243.50","1,245.70",0.18,7.72
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,214.40","1,223.10","1,240.10","1,244.60",0.36,7.72
￦/ CNY,162.79,165.50,173.39,175.20,177.62,177.55,△0.04,7.28
￦/ Y100,"1,008.86","1,059.75","1,114.82","1,153.88","1,168.26","1,165.51",△0.24,9.98
Y/U$,110.59,109.12,108.87,106.25,106.44,106.88,0.41,△2.05
U$/EUR,1.1455,1.1194,1.1001,1.1137,1.1171,1.1016,△1.39,△1.59
CNY/U$,6.8522,6.9848,7.0072,7.0020,6.9971,7.0182,0.30,0.48

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.2 말,3.16,3.17,3.18,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,1.61,0.84,0.84,0.89,0.05,△1.06
DOW,"23,062","28,645","25,767","23,186","20,189","21,237",5.20%,△25.38%
NIKKEI,"20,015","23,657","21,143","17,002","17,012","16,727",△1.68%,△29.30%
SHANGHAI COMP,"2,494","3,040","2,880","2,789","2,780","2,729",△1.83%,△10.14%
"외평채가산금리(23년물, bp)",63,37,42,50,52,45,△7.00,9.00
"CDS (5 년, bp)",40,22,35,53,53,50,△2.88,28.16
"CRS (1 년, %)",1.21,0.83,0.46,△0.95,△1.42,△0.75,0.67,△1.58

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.2 말,3.13,3.16,3.17,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,49.05,33.93,31.49,30.83,△2.10%,△54.17%
WTI 선물 ($/배럴),45.33,61.06,44.76,31.73,28.70,26.95,△6.10%,△55.86%
밀 (센트/부셀),512,559,525,506,498,499,0.20%,△10.73%
옥수수 (센트/부셀),376,388,368,366,355,344,△3.10%,△11.34%
동 ($/톤),"6,018","6,156","5,573","5,531","5,211","5,205",△0.12%,△15.45%
알루미늄 ($/톤),"1,881","1,800","1,663","1,677","1,641","1,628",△0.79%,△9.56%

[반도체]
,‘18,‘19,‘19.12 월,‘20.1 월,2월,3.13,3.16,3.17,3월 (~17)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.91,3.24,3.39,3.60,3.58,3.57,3.56
"(%, YoY)",8.3,△51.7,△55.0,△45.6,△41.4,△29.3,△29.5,△29.6,△29.4
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.94,6.08,6.11,6.02,6.02,6.02,6.07
"(%, YoY)",△2.6,△15.9,7.3,17.2,22.7,22.2,22.2,22.2,23.3
