일일경제지표('16.11.18.)
"data_date,2016-11-18"

[표]
일일경제지표 (16. 11 .18 금) 17:30 현재

[표]
KOSPI 지수(0.39%하락) 달러 환율(0.62%상승)

[금리]
,‘14 말,‘15 말,‘16.10 말,11.16,11/17,11/18,전일비,‘15 말비
콜금리 (1일),2.01,1.49,1.18,1.24,1.24,1.24,0,△0.25
CD (91 일),2.13,1.67,1.39,1.39,1.40,1.40,0,△0.27
국고채 (3년),2.10,1.66,1.44,1.69,1.71,1.74,0.02,0.07
국고채 (5년),2.28,1.81,1.50,1.83,1.86,1.87,0.01,0.05
"회사채 (3년, AA-)",2.43,2.11,1.85,2.07,2.10,2.13,0.04,0.02
"외국인 채권 순매수 * (상장 , 억원)","46,746",830,"△1,140","△1,598","△1,034",△187,847,-

[주가]
,‘14 말,‘15 말,‘16.10 말,11.16,11/17,11/18,전일비,‘15 말비(%)
KOSPI,"1,915.59","1,961.31","2,008.19","1,979.65","1,982.27","1,974.58",△0.39%,0.68%
"- 거래대금 (억원, 일평균)","36,950","37,066","42,863","44,866","35,394","45,880","10,486",-
KOSDAQ,542.97,682.35,624.68,627.83,627.96,620.26,△1.23%,△9.10%
"외국인순매수 (억원, 기간 중 * )","1,546",△538,198,402,△3,△64,△61,-

[환율]
,‘14 말,‘15 말,‘16.10 말,11.16,11/17,11/18,전일비,‘15 말비(%)
￦/ U$,"1,099.30","1,172.50","1,144.50","1,169.20","1,175.90","1,183.20",0.62,0.91
"선물환( NDF,1 월물)","1,100.90","1,173.70","1,144.70","1,169.60","1,176.30","1,183.50",0.61,0.83
￦/ CNY,177.21,180.70,168.95,170.22,171.19,171.68,0.29,△4.99
￦/ EUR,"1,333.89","1,281.54","1,254.72","1,256.66","1,257.39","1,254.07",△0.26,△2.14
￦/ Y100,913.04,974.08,"1,092.18","1,071.78","1,076.34","1,069.22",△0.66,9.77
Y/U$,120.40,120.37,104.79,109.09,109.25,110.66,1.29,△8.07
U$/EUR,1.2134,1.0930,1.0963,1.0748,1.0693,1.0599,△0.88,△3.03
CNY/U$,6.2210,6.4900,6.7697,6.8685,6.8699,6.8907,0.30,6.17

[국제금리·주가·가산금리]
,‘14 말,‘15 말,‘16.10 말,11.16,11/17,11/18,전일비,‘15 말비
"LIBOR (Dollar, 3 월, %)",0.26,0.61,0.89,0.91,0.91,-,△0.00,0.30
"T/NOTE (10 년, %)",2.18,2.27,1.83,2.22,2.30,-,0.08,0.04
DOW,"17,823","17,425","18,142","18,868","18,904",-,0.19%,8.49%
NIKKEI,"17,464","19,034","17,425","17,862","17,863","17,967",0.59%,△5.60%
SHANGHAI COMP,"3,235","3,565","3,098","3,205","3,209","3,193",△0.50%,△10.45%
"외평채가산금리(23년물, bp)",48,43,19,21,21,-,0,△22
"CDS (5 년, bp)",54,55,41,52,52,54,2,△1
"CRS (1 년, %)",1.49,1.35,1.09,1.04,0.97,0.95,△0.03,△0.41

[유가·곡물·원자재]
,‘14 말,‘15 말,‘16.10 말,11.15,11/16,11/17,전일비,‘15 말비
Dubai ($/ 배럴),53.60,32.19,47.44,41.97,45.57,43.47,△4.61%,35.04%
WTI 선물 ($/배럴),53.27,37.04,46.86,45.81,45.57,45.42,△0.33%,22.62%
Brent 선물 ($/배럴),57.33,37.28,48.30,46.95,46.63,46.49,△0.30%,24.70%
원당 (센트/파운드),14.52,15.24,21.57,21.15,20.36,20.22,△0.69%,32.68%
밀 (센트/부셀),590,470,416,399,397,403,1.51%,△14.26%
콩 (센트/부셀),"1,019",871,"1,012",990,986,990,0.38%,13.57%
옥수수 (센트/부셀),397,359,355,342,339,342,1.03%,△4.67%
동 ($/톤),"6,359","4,702","4,818","5,448","5,459","5,426",△0.60%,15.40%
알루미늄 ($/톤),"1,832","1,508","1,723","1,727","1,719","1,693",△1.54%,12.27%
