일일경제지표('19.9.2)
"data_date,2019-09-02"

[표]
일일경제지표 (19. 9. 2. 월) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.8 말,8.29,8.30,9.2,전일비,18말비
콜금리 (1일),1.55,1.82,1.51,1.51,1.51,1.54,0.03,△0.28
CD (91 일),1.66,1.93,1.49,1.49,1.49,1.49,0,△0.44
국고채 (3년),2.14,1.82,1.17,1.17,1.17,1.23,0.07,△0.58
"회사채 (3년, AA-)",2.68,2.29,1.69,1.69,1.69,1.74,0.05,△0.55
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","2,328","2,178","2,328","4,773","2,445",-

[주가]
,‘17 말,‘18 말,‘19.8 말,8.29,8.30,9.2,전일비,18말비
KOSPI,"2,467.49","2,041.04","1,967.79","1,933.41","1,967.79","1,969.19",0.07%,△3.52%
"- 거래대금 (억원, 일평균)","42,744","41,207","37,095","32,887","37,095","43,714",17.84%,-
KOSDAQ,798.42,675.65,610.55,599.57,610.55,619.81,1.52%,△8.26%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730","2,528","△2,318","2,528",△848,△134,-

[환율]
,‘17 말,‘18 말,‘19.8 말,8.29,8.30,9.2,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,211.20","1,216.40","1,211.20","1,210.80",△0.03,8.52
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,210.50","1,215.50","1,210.50","1,209.90",△0.05,8.52
￦/ CNY,163.90,162.79,169.65,169.89,169.65,168.84,△0.48,3.72
￦/ Y100,949.28,"1,008.86","1,138.99","1,148.74","1,138.99","1,140.44",0.13,13.04
Y/U$,112.77,110.59,106.34,105.89,106.34,106.17,△0.16,△4.00
U$/EUR,1.1927,1.1455,1.1035,1.1080,1.1035,1.0988,△0.43,△4.08
CNY/U$,6.5426,6.8522,7.1539,7.1637,7.1539,7.1596,0.08,4.49

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.8 말,8.29,8.30,9.2,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,2.12,2.12,2.12,2.14,△0.47,0.52
DOW,"24,719","23,062","26,362","26,036","26,362","26,403",2.10%,14.31%
NIKKEI,"22,765","20,015","20,704","20,461","20,704","20,620",△0.41%,3.02%
SHANGHAI COMP,"3,307","2,494","2,886","2,891","2,886","2,924",1.31%,17.25%
"외평채가산금리(23년물, bp)",76,63,34,35,34,35,17.00,△29.00
"CDS (5 년, bp)",56,40,33,34,33,33,0.06,△6.90
"CRS (1 년, %)",1.38,1.21,0.54,0.50,0.54,0.56,0.02,△0.66

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.8 말,8.28,8.29,8.30,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,59.62,58.99,59.32,59.62,0.51%,12.79%
WTI 선물 ($/배럴),60.42,45.33,55.10,55.78,56.71,55.10,△2.84%,21.55%
밀 (센트/부셀),427,512,463,475,473,463,△2.11%,△9.57%
옥수수 (센트/부셀),351,376,370,371,371,370,△0.27%,△1.60%
동 ($/톤),"7,157","6,018","5,678","5,653","5,722","5,678",△0.77%,△5.65%
알루미늄 ($/톤),"2,242","1,881","1,713","1,724","1,714","1,713",△0.06%,△8.93%

[반도체]
,‘17,‘18,19. 5월,6월,7월,8.28,8.29,8.30,8월 (~30)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,3.74,3.38,3.39,3.42,3.40,3.39,3.53
"(%, YoY)",41.6,8.3,△57.5,△60.4,△57.6,△55.0,△55.2,△54.9,△54.1
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,5.07,5.04,5.20,5.50,5.61,5.61,5.42
"(%, YoY)",33.8,△2.6,△24.6,△24.5,△21.3,△10.6,△8.8,△5.3,△14.3
