일일경제지표('20.4.24)
"data_date,2020-04-24"

[표]
일일경제지표 (20. 4. 24. 금) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.3 말,4.22,4.23,4.24,전일비,19말비
콜금리 (1일),1.82,1.31,0.76,0.75,0.74,0.74,0,△0.57
CD (91 일),1.93,1.53,1.10,1.10,1.10,1.10,0,△0.43
국고채 (3년),1.82,1.36,1.07,1.05,1.04,1.02,△0.02,△0.34
"회사채 (3년, AA-)",2.29,1.94,2.08,2.20,2.20,2.20,△0.00,0.26
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,720,"7,936","5,787","6,133",346,-

[주가]
,‘18 말,‘19 말,‘20.3 말,4.22,4.23,4.24,전일비,19말비
KOSPI,"2,041.04","2,197.67","1,754.64","1,896.15","1,914.73","1,889.01",△1.34%,△14.04%
"- 거래대금 (억원, 일평균)","41,207","54,296","90,810","138,631","94,286","91,242",△3.23%,-
KOSDAQ,675.65,669.83,569.07,635.16,643.79,632.96,△1.68%,△5.50%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△1,724",△626,"△1,405","△3,360",139,-

[환율]
,‘18 말,‘19 말,‘20.3 말,4.22,4.23,4.24,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,217.40","1,232.20","1,229.70","1,235.50",0.47,6.84
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,216.20","1,235.20","1,232.00","1,235.80",0.31,6.96
￦/ CNY,162.79,165.50,171.87,174.12,173.69,174.47,0.45,5.42
￦/ Y100,"1,008.86","1,059.75","1,123.48","1,145.81","1,140.83","1,148.34",0.66,8.36
Y/U$,110.59,109.12,108.36,107.54,107.79,107.59,△0.19,△1.40
U$/EUR,1.1455,1.1194,1.1003,1.0861,1.0829,1.0759,△0.65,△3.89
CNY/U$,6.8522,6.9848,7.0927,7.0810,7.0734,7.0830,0.14,1.41

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.3 말,4.22,4.23,4.24,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,1.45,1.10,1.04,1.02,△0.02,△0.92
DOW,"23,062","28,645","22,327","23,019","23,476","23,515",0.17%,△17.38%
NIKKEI,"20,015","23,657","18,917","19,138","19,429","19,262",△0.86%,△18.58%
SHANGHAI COMP,"2,494","3,040","2,750","2,844","2,839","2,809",△1.06%,△7.51%
"외평채가산금리(23년물, bp)",63,37,59,74,72,72,0,36.00
"CDS (5 년, bp)",40,22,40,36,37,38,0.36,15.43
"CRS (1 년, %)",1.21,0.83,△0.53,△0.60,△0.49,△0.52,△0.03,△1.34

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.3 말,4.21,4.22,4.23,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,23.43,17.37,13.52,18.13,34.10%,△73.05%
WTI 선물 ($/배럴),45.33,61.06,20.48,10.01,13.78,16.50,19.74%,△72.98%
밀 (센트/부셀),512,559,569,546,544,545,0.18%,△2.50%
옥수수 (센트/부셀),376,388,341,317,325,326,0.31%,△15.98%
동 ($/톤),"6,018","6,156","4,797","4,995","5,034","5,121",1.73%,△16.81%
알루미늄 ($/톤),"1,881","1,800","1,489","1,444","1,462","1,474",0.82%,△18.11%

[반도체]
,‘18,‘19,‘20.1 월,2월,3월,4.21,4.22,4.23,4월 (~23)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,3.24,3.39,3.54,3.45,3.44,3.43,3.55
"(%, YoY)",8.3,△51.7,△45.6,△41.4,△29.8,△16.0,△15.8,△15.0,△16.6
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,6.08,6.11,6.00,5.73,5.73,5.73,5.77
"(%, YoY)",△2.6,△15.9,17.2,22.7,21.8,14.2,13.7,13.0,16.2
