일일경제지표('21.5.18)
"data_date,2021-05-18"

[표]
일일경제지표 (21. 5. 18. 화) 17:30 현재

[금리]
,‘19 말,‘20 말,‘21.4 말,5.14,5.17,5.18,전일비,20말비
콜금리 (1일),1.31,0.57,0.48,0.46,0.49,0.48,△0.01,△0.09
CD (91 일),1.53,0.66,0.73,0.67,0.67,0.67,0,0.01
국고채 (3년),1.36,0.98,1.14,1.12,1.11,1.10,△0.01,0.12
"회사채 (3년, AA-)",1.94,2.21,1.91,1.88,1.87,1.87,△0.01,△0.34
"외국인 채권 순매수 * (상장 , 억원)",100,"5,408","3,276","1,764","9,378","△1,186","△10,564",-

[주가]
,‘19 말,‘20 말,‘21.4 말,5.14,5.17,5.18,전일비,20말비
KOSPI,"2,197.67","2,873.47","3,147.86","3,153.32","3,134.52","3,173.05",1.23%,10.43%
"- 거래대금 (억원, 일평균)","54,296","179,288","222,151","246,597","175,153","172,882",△1.30%,-
KOSDAQ,669.83,968.42,983.45,996.72,962.50,969.10,0.69%,0.07%
"외국인순매수 (억원, 기간 중 * )","△2,816","1,840","△5,824","△3,428","△7,592","△2,569",△66,-

[환율]
,‘19 말,‘20 말,‘21.4 말,5.14,5.17,5.18,전일비,20말비
￦/ U$,"1,156.40","1,086.30","1,112.30","1,128.60","1,134.80","1,130.50",△0.38,4.07
"선물환( NDF,1 월물)","1,155.40","1,086.30","1,112.40","1,128.60","1,134.90","1,129.80",△0.45,4.00
￦/ CNY,165.50,166.04,172.00,175.42,176.22,176.04,△0.10,6.02
￦/ Y100,"1,059.75","1,051.19","1,022.43","1,031.34","1,038.81","1,036.49",△0.22,△1.40
Y/U$,109.12,103.34,108.79,109.43,109.24,109.07,△0.16,5.54
U$/EUR,1.1194,1.2279,1.2112,1.2105,1.2132,1.2182,0.41,△0.79
CNY/U$,6.9848,6.5305,6.4720,6.4344,6.4381,6.4236,△0.23,△1.64

[국제금리·주가·가산금리]
,‘19 말,‘20 말,‘21.4 말,5.14,5.17,5.18,전일비,20말비
"LIBOR ($, 3 월, %)",1.94,0.25,0.19,0.15,0.16,0.16,0,△0.10
DOW,"28,645","30,410","34,060","34,021","34,382","34,328",△0.16%,12.88%
NIKKEI,"23,657","27,444","28,813","28,084","27,825","28,407",2.09%,3.51%
SHANGHAI COMP,"3,040","3,473","3,447","3,490","3,518","3,529",0.32%,1.61%
"외평채가산금리(30년만기, bp)",50,32,21,21,21,21,0,△11.00
"CDS (5 년, bp)",22,22,20,19,19,19,0.03,△2.98
"CRS (1 년, %)",0.83,0.24,0.19,0.16,0.15,0.13,△0.02,△0.11

[유가·곡물·원자재]
,‘19 말,‘20 말,‘21.4 말,5.13,5.14,5.17,전일비,20말비
Dubai ($/ 배럴),67.27,51.14,65.27,66.56,65.26,67.17,2.93%,31.35%
WTI 선물 ($/배럴),61.06,48.52,63.58,63.82,65.37,66.27,1.38%,36.58%
밀 (센트/부셀),559,641,735,702,707,700,△0.99%,9.20%
옥수수 (센트/부셀),388,484,673,675,644,653,1.40%,34.92%
동 ($/톤),"6,156","7,742","9,949","10,254","10,212","10,257",0.44%,32.49%
알루미늄 ($/톤),"1,800","1,978","2,445","2,423","2,438","2,455",0.70%,24.12%

[반도체]
,‘19,‘20,‘21.2 월,3월,4월,5.13,5.14,5.17,5월 (~17)
"D 램(8 G) 현물가($, 기간평균)",3.93,3.07,3.87,4.37,4.41,4.51,4.46,4.43,4.57
"(%, YoY)",△51.7,△21.9,14.2,23.4,25.9,40.0,38.7,38.8,44.1
"낸드(128 G) 현물가($, 기간평균)",5.34,5.71,5.74,5.92,6.00,6.13,6.15,6.15,6.11
"(%, YoY)",△15.9,7.0,△6.0,△1.4,4.2,7.0,7.4,7.4,8.1
