일일경제지표('16.12.27.)
"data_date,2016-12-27"

[표]
일일경제지표 (16. 12. 27. 화) 17:30 현재

[표]
KOSPI 지수(0.22%상승) 달러 환율(0.52%상승)

[금리]
,‘14 말,‘15 말,‘16.11 말,12/23,12/26,12/27,전일비,‘15 말비
콜금리 (1일),2.01,1.49,1.20,1.23,1.24,1.24,0,△0.25
CD (91 일),2.13,1.67,1.52,1.54,1.54,1.54,0,△0.13
국고채 (3년),2.10,1.66,1.71,1.67,1.67,1.65,△0.02,△0.01
국고채 (5년),2.28,1.81,1.90,1.81,1.82,1.82,0.00,0.01
"회사채 (3년, AA-)",2.43,2.11,2.15,2.15,2.16,2.15,△0.01,0.03
"외국인 채권 순매수 * (상장 , 억원)","46,746",830,852,711,407,4,△403,-

[주가]
,‘14 말,‘15 말,‘16.11 말,12/23,12/26,12/27,전일비,‘15 말비(%)
KOSPI,"1,915.59","1,961.31","1,983.48","2,035.90","2,037.75","2,042.17",0.22%,4.12%
"- 거래대금 (억원, 일평균)","36,950","37,066","55,590","32,006","30,363","30,274",289,-
KOSDAQ,542.97,682.35,596.11,619.75,615.16,618.38,0.52%,△9.37%
"외국인순매수 (억원, 기간 중 * )","1,546",△538,"2,477",△478,△504,"1,623","2,127",-

[환율]
,‘14 말,‘15 말,‘16.11 말,12/23,12/26,12/27,전일비,‘15 말비(%)
￦/ U$,"1,099.30","1,172.50","1,169.10","1,203.00","1,201.40","1,207.60",0.52,2.99
"선물환( NDF,1 월물)","1,100.90","1,173.70","1,168.80","1,202.70","1,201.60","1,207.40",0.48,2.87
￦/ CNY,177.21,180.70,169.76,173.08,172.89,173.73,0.49,△3.86
￦/ EUR,"1,333.89","1,281.54","1,242.87","1,257.01","1,256.90","1,261.34",0.35,△1.58
￦/ Y100,913.04,974.08,"1,037.82","1,025.49","1,025.96","1,029.94",0.39,5.73
Y/U$,120.40,120.37,112.65,117.31,117.10,117.25,0.13,△2.59
U$/EUR,1.2134,1.0930,1.0631,1.0449,1.0462,1.0445,△0.16,△4.44
CNY/U$,6.2210,6.4900,6.8857,6.9494,6.9493,6.9497,0.01,7.08

[국제금리·주가·가산금리]
,‘14 말,‘15 말,‘16.11 말,12/23,12/26,12/27,전일비,‘15 말비
"LIBOR (Dollar, 3 월, %)",0.26,0.61,0.93,1.00,1.00,-,0,0.39
"T/NOTE (10 년, %)",2.18,2.27,2.38,2.54,2.54,-,0,0.27
DOW,"17,823","17,425","19,124","19,934",-,-,0.07%,14.40%
NIKKEI,"17,464","19,034","18,308",-,"19,397","19,434",0.19%,2.10%
SHANGHAI COMP,"3,235","3,565","3,248","3,110","3,123","3,122",△0.03%,△12.45%
"외평채가산금리(23년물, bp)",48,43,25,27,27,-,0,△16
"CDS (5 년, bp)",54,55,50,44,44,45,1,△10
"CRS (1 년, %)",1.49,1.35,1.01,0.92,0.97,1.01,0.04,△0.34

[유가·곡물·원자재]
,‘14 말,‘15 말,‘16.11 말,12/22,12/23,12/26,전일비,‘15 말비
Dubai ($/ 배럴),53.60,32.19,44.12,51.78,52.21,(휴장),0.83%,62.19%
WTI 선물 ($/배럴),53.27,37.04,49.44,52.95,53.02,(휴장),0.13%,43.14%
Brent 선물 ($/배럴),57.33,37.28,50.47,55.05,55.16,(휴장),0.20%,47.96%
원당 (센트/파운드),14.52,15.24,19.81,18.16,18.15,(휴장),△0.06%,19.09%
밀 (센트/부셀),590,470,381,397,394,(휴장),△0.88%,△16.28%
콩 (센트/부셀),"1,019",871,"1,032",995,989,(휴장),△0.55%,13.52%
옥수수 (센트/부셀),397,359,337,347,346,(휴장),△0.43%,△3.62%
동 ($/톤),"6,359","4,702","5,740","5,426","5,482",(휴장),1.03%,16.59%
알루미늄 ($/톤),"1,832","1,508","1,723","1,738","1,740",(휴장),0.14%,15.42%
