일일경제지표('20.4.28)
"data_date,2020-04-28"

[표]
일일경제지표 (20. 4. 28. 화) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.3 말,4.24,4.27,4.28,전일비,19말비
콜금리 (1일),1.82,1.31,0.76,0.74,0.74,0.73,△0.01,△0.58
CD (91 일),1.93,1.53,1.10,1.10,1.10,1.10,0,△0.43
국고채 (3년),1.82,1.36,1.07,1.02,1.03,1.03,0.01,△0.33
"회사채 (3년, AA-)",2.29,1.94,2.08,2.20,2.22,2.22,0.01,0.29
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,720,"6,133","11,401","8,369","△3,032",-

[주가]
,‘18 말,‘19 말,‘20.3 말,4.24,4.27,4.28,전일비,19말비
KOSPI,"2,041.04","2,197.67","1,754.64","1,889.01","1,922.77","1,934.09",0.59%,△11.99%
"- 거래대금 (억원, 일평균)","41,207","54,296","90,810","91,242","96,473","81,716",△15.30%,-
KOSDAQ,675.65,669.83,569.07,632.96,646.86,644.93,△0.30%,△3.72%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△1,724","△3,360",891,"△2,508",△381,-

[환율]
,‘18 말,‘19 말,‘20.3 말,4.24,4.27,4.28,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,217.40","1,235.50","1,226.20","1,225.20",△0.08,5.95
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,216.20","1,235.80","1,225.70","1,224.50",△0.10,5.98
￦/ CNY,162.79,165.50,171.87,174.47,173.15,172.96,△0.11,4.51
￦/ Y100,"1,008.86","1,059.75","1,123.48","1,148.34","1,144.59","1,142.70",△0.17,7.83
Y/U$,110.59,109.12,108.36,107.59,107.13,107.22,0.08,△1.74
U$/EUR,1.1455,1.1194,1.1003,1.0759,1.0854,1.0813,△0.38,△3.40
CNY/U$,6.8522,6.9848,7.0927,7.0830,7.0762,7.0861,0.14,1.45

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.3 말,4.24,4.27,4.28,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,1.45,1.02,0.89,0.89,0,△1.06
DOW,"23,062","28,645","22,327","23,515","23,775","24,134",1.51%,△15.21%
NIKKEI,"20,015","23,657","18,917","19,262","19,783","19,771",△0.06%,△16.43%
SHANGHAI COMP,"2,494","3,040","2,750","2,809","2,815","2,810",△0.19%,△7.47%
"외평채가산금리(23년물, bp)",63,37,59,72,71,70,△1.00,34.00
"CDS (5 년, bp)",40,22,40,38,37,38,0.50,15.43
"CRS (1 년, %)",1.21,0.83,△0.53,△0.52,△0.47,△0.46,0.01,△1.28

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.3 말,4.23,4.24,4.27,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,23.43,18.13,18.17,17.97,△1.10%,△73.29%
WTI 선물 ($/배럴),45.33,61.06,20.48,16.50,16.94,12.78,△24.56%,△79.07%
밀 (센트/부셀),512,559,569,545,531,525,△1.13%,△6.08%
옥수수 (센트/부셀),376,388,341,326,323,313,△3.10%,△19.33%
동 ($/톤),"6,018","6,156","4,797","5,121","5,118","5,166",0.94%,△16.08%
알루미늄 ($/톤),"1,881","1,800","1,489","1,474","1,473","1,473",0,△18.17%

[반도체]
,‘18,‘19,‘20.1 월,2월,3월,4.23,4.24,4.27,4월 (~27)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,3.24,3.39,3.54,3.43,3.42,3.41,3.53
"(%, YoY)",8.3,△51.7,△45.6,△41.4,△29.8,△15.0,△14.2,△13.8,△16.9
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,6.08,6.11,6.00,5.73,5.73,5.73,5.76
"(%, YoY)",△2.6,△15.9,17.2,22.7,21.8,13.0,13.1,13.1,16.1
