일일경제지표('20.6.12)
"data_date,2020-06-12"

[표]
일일경제지표 (20. 6. 12. 금) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.5 말,6.10,6.11,6.12,전일비,19말비
콜금리 (1일),1.82,1.31,0.49,0.50,0.49,0.49,0,△0.82
CD (91 일),1.93,1.53,0.81,0.79,0.79,0.79,0,△0.74
국고채 (3년),1.82,1.36,0.83,0.84,0.84,0.84,0.00,△0.52
"회사채 (3년, AA-)",2.29,1.94,2.16,2.21,2.20,2.21,0.01,0.27
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,744,"15,905","2,516",△507,"△3,023",-

[주가]
,‘18 말,‘19 말,‘20.5 말,6.10,6.11,6.12,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,029.60","2,195.69","2,176.78","2,132.30",△2.04%,△2.97%
"- 거래대금 (억원, 일평균)","41,207","54,296","144,792","146,898","128,881","169,870",31.80%,-
KOSDAQ,675.65,669.83,713.68,758.62,757.06,746.06,△1.45%,11.38%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816",△313,142,"△1,691","△1,341",△21,-

[환율]
,‘18 말,‘19 말,‘20.5 말,6.10,6.11,6.12,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,238.50","1,191.20","1,196.40","1,203.80",0.62,4.10
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,237.70","1,191.15","1,196.30","1,203.80",0.63,4.19
￦/ CNY,162.79,165.50,173.13,168.49,169.25,170.14,0.53,2.80
￦/ Y100,"1,008.86","1,059.75","1,155.32","1,109.02","1,117.09","1,123.26",0.55,5.99
Y/U$,110.59,109.12,107.20,107.41,107.10,107.17,0.07,△1.79
U$/EUR,1.1455,1.1194,1.1095,1.1357,1.1351,1.1304,△0.41,0.98
CNY/U$,6.8522,6.9848,7.1492,7.0720,7.0710,7.0809,0.14,1.38

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.5 말,6.10,6.11,6.12,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.36,0.31,0.31,0.32,0.00,△1.63
DOW,"23,062","28,645","25,401","27,272","26,990","25,128",△6.90%,△11.71%
NIKKEI,"20,015","23,657","21,878","23,125","22,473","22,305",△0.75%,△5.71%
SHANGHAI COMP,"2,494","3,040","2,852","2,944","2,921","2,920",△0.04%,△3.85%
"외평채가산금리(23년물, bp)",63,37,66,61,61,60,△1.00,24.00
"CDS (5 년, bp)",40,22,30,27,29,30,0.69,7.40
"CRS (1 년, %)",1.21,0.83,0.02,△0.05,△0.10,△0.21,△0.11,△1.04

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.5 말,6.9,6.10,6.11,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,34.86,40.85,40.91,40.60,△0.76%,△39.65%
WTI 선물 ($/배럴),45.33,61.06,35.49,38.94,39.60,36.34,△8.23%,△40.48%
밀 (센트/부셀),512,559,521,505,506,499,△1.38%,△10.73%
옥수수 (센트/부셀),376,388,326,328,326,330,1.23%,△14.95%
동 ($/톤),"6,018","6,156","5,333","5,681","5,801","5,802",0.02%,△5.75%
알루미늄 ($/톤),"1,881","1,800","1,515","1,566","1,614","1,582",△1.98%,△12.11%

[반도체]
,‘18,‘19,‘20.3 월,4월,5월,6.9,6.10,6.11,6월 (~11)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,3.54,3.51,3.17,2.99,2.99,2.98,3.03
"(%, YoY)",8.3,△51.7,△29.8,△17.5,△15.1,△12.6,△12.7,△12.4,△10.2
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,6.00,5.76,5.65,5.41,5.41,5.41,5.42
"(%, YoY)",△2.6,△15.9,21.8,16.0,11.4,6.9,7.7,7.7,7.5
