일일 경제지표('26.1.30)
"data_date,2026-01-30"

[표]
일일경제지표 (26. 1. 30) 17:30 현재

[금리]
,’ 23말,’ 24말,‘25.12 말,1/28,1/29,1/30,전일비,25말비
"콜금리 (1일, %)",3.55,3.10,2.54,2.51,2.50,2.52,0.02,△0.02
"CD (91 일, %)",3.83,3.44,2.81,2.70,2.72,2.73,0.01,△0.08
"국고채 (3년, %)",3.15,2.60,2.95,3.07,3.11,3.14,0.03,0.19
"회사채 (3년, AA-, %)",3.90,3.29,3.48,3.59,3.63,3.66,0.03,0.18
"외국인 채권 순매수 * (상장, 억원)",△406,"3,200",△924,"10,682","4,811","4,619",192,-

[주가]
,’ 23말,’ 24말,‘25.12 말,1/28,1/29,1/30,전일비,25말비
KOSPI,"2,655.28","2,399.49","4,214.17","5,170.81","5,221.25","5,224.36",0.06%,23.97%
- 거래대금 (억원),"94,189","52,272","132,135","296,464","579,969","347,017","△11,685",-
KOSDAQ,866.57,678.19,925.47,"1,133.52","1,164.41","1,149.44",△1.29%,24.20%
"외국인순매수 (억원, 기간 중 * )","6,937",116,"△8,035","3,484","△12,915","△21,974","△9,059",-

[환율]
,’ 23말,’ 24말,‘25.12 말,1/28,1/29,1/30,전일비,25말비
￦/ U$,"1,288.00","1,472.50","1,439.00","1,422.50","1,426.30","1,439.50",0.93,0.03
"선물환( NDF,1 월물)","1,286.80","1,473.80","1,440.30","1,422.10","1,424.30","1,438.60",1.00,△0.12
￦/ CNY,181.37,202.38,206.67,205.34,206.07,207.33,0.61,0.32
￦/ Y100,912.25,932.67,922.20,932.11,932.70,935.47,0.30,1.44
Y/U$,141.19,157.88,156.04,152.61,152.93,153.88,0.62,△1.38
U$/EUR,1.1105,1.0429,1.1776,1.2001,1.1984,1.1917,△0.56,1.20
CNY/U$,7.1092,7.2992,6.9904,6.9447,6.9468,6.9485,0.02,△0.60

[국제금리·주가·가산금리]
,’ 23말,’ 24말,‘25.12 말,1/28,1/29,1/30,전일비,25말비
"SOFR ($, 3 월, %)",5.61,4.33,3.66,3.67,3.67,3.66,△0.01,0.00
DOW,"37,657","42,992","48,367","49,003","49,016","49,072",0.11,1.46%
NIKKEI,"33,540","39,895",휴장,"53,359","53,376","53,323",△0.10,5.93%
SHANGHAI COMP,"2,955","3,407",휴장,"4,151","4,158","4,118",△0.96,3.85%
"외평채가산금리(30년만기, bp)",34,28,12,8,8,8,0%p,△4.00
"CDS (5 년, bp)",27.9,36.7,22.4,21.6,21.7,21.8,0.08,△0.53
"CRS SOFR (1 년, %)",2.83,2.32,2.14,2.32,2.35,2.36,0.00,0.22

[유가·곡물·원자재]
,’ 23말,’ 24말,‘25.12 말,1/27,1/28,1/29,전일비,25말비
Dubai ($/ 배럴),77.08,75.94,61.59,62.89,64.65,66.34,2.61%,7.71%
WTI 선물 ($/배럴),71.65,71.72,57.42,62.39,63.21,65.42,3.50%,13.93%
밀 (센트/부셀),628,552,507.00,523.25,536.00,541.50,1.03%,6.80%
옥수수 (센트/부셀),471,459,440.25,426.50,430.00,430.75,0.17%,△2.16%
동 ($/톤),"8,476","8,706","12,504.00","12,980.00","12,994.00","13,844.00",6.54%,10.72%
알루미늄 ($/톤),"2,336","2,517","2,968.00","3,166.50","3,259.00","3,325.00",2.03%,12.03%

[반도체]
,’ 23말,’ 24.말,‘25.10 말,‘25.11 말,‘25.12 말,1/27,1/28,1/29,1월( ∼29)
"D 램(8 G) 현물가($, 기간평균)",1.74,1.75,8.45,12.25,18.63,26.13,26.13,26.13,22.98
"(YoY, %)",△14.8,0.5,345.7,567.9,970.7,"1,398.9","1,398.9","1,398.9","1,218.7"
"낸드(128 G) 현물가($, 기간평균)",6.38,6.63,9.80,10.40,10.70,11.65,11.65,11.65,11.00
"(YoY, %)",△2.3,3.9,45.4,56.4,61.5,75.8,75.8,75.8,66.0
