일일경제지표('20.3.2)
"data_date,2020-03-02"

[표]
일일경제지표 (20. 3. 2. 월) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.2 말,2.27,2.28,3.2,전일비,19말비
콜금리 (1일),1.82,1.31,1.23,1.25,1.23,1.26,0.03,△0.05
CD (91 일),1.93,1.53,1.41,1.41,1.41,1.41,0,△0.12
국고채 (3년),1.82,1.36,1.10,1.19,1.10,1.13,0.02,△0.23
"회사채 (3년, AA-)",2.29,1.94,1.71,1.79,1.71,1.73,0.02,△0.21
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,△492,"2,039",△492,"5,865","6,357",-

[주가]
,‘18 말,‘19 말,‘20.2 말,2.27,2.28,3.2,전일비,19말비
KOSPI,"2,041.04","2,197.67","1,987.01","2,054.89","1,987.01","2,002.51",0.78%,△8.88%
"- 거래대금 (억원, 일평균)","41,207","54,296","72,411","80,603","72,411","99,279",37.10%,-
KOSDAQ,675.65,669.83,610.73,638.17,610.73,627.66,2.77%,△6.30%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△5,673","△6,432","△5,673","△6,664",17,-

[환율]
,‘18 말,‘19 말,‘20.2 말,2.27,2.28,3.2,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,213.70","1,217.20","1,213.70","1,193.70",△1.65,3.23
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,214.40","1,216.80","1,214.40","1,193.10",△1.75,3.26
￦/ CNY,162.79,165.50,173.39,173.53,173.39,171.57,△1.05,3.67
￦/ Y100,"1,008.86","1,059.75","1,114.82","1,106.14","1,114.82","1,102.83",△1.08,4.07
Y/U$,110.59,109.12,108.87,110.04,108.87,108.24,△0.58,△0.81
U$/EUR,1.1455,1.1194,1.1001,1.0908,1.1001,1.1044,0.39,△1.34
CNY/U$,6.8522,6.9848,7.0072,7.0186,7.0072,6.9689,△0.55,△0.23

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.2 말,2.27,2.28,3.2,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,1.61,1.64,1.61,1.46,△0.15,△0.48
DOW,"23,062","28,645","25,767","26,958","25,767","25,409",△1.39%,△10.73%
NIKKEI,"20,015","23,657","21,143","21,948","21,143","21,344",0.95%,△9.78%
SHANGHAI COMP,"2,494","3,040","2,880","2,991","2,880","2,971",3.15%,△2.17%
"외평채가산금리(23년물, bp)",63,37,42,41,42,44,2.00,8.00
"CDS (5 년, bp)",40,22,35,31,35,33,△2.14,11.02
"CRS (1 년, %)",1.21,0.83,0.46,0.54,0.46,0.39,△0.08,△0.44

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.2 말,2.26,2.27,2.28,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,50.62,52.28,50.62,49.05,△3.10%,△27.08%
WTI 선물 ($/배럴),45.33,61.06,47.09,48.73,47.09,44.76,△4.95%,△26.70%
밀 (센트/부셀),512,559,528,536,528,525,△0.57%,△6.08%
옥수수 (센트/부셀),376,388,368,375,368,368,0,△5.15%
동 ($/톤),"6,018","6,156","5,618","5,614","5,618","5,573",△0.80%,△9.47%
알루미늄 ($/톤),"1,881","1,800","1,671","1,677","1,671","1,663",△0.48%,△7.61%

[반도체]
,‘18,‘19,‘19.11 월,12월,‘20.1 월,2.26,2.27,2.28,2월 (~28)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.81,2.91,3.24,3.35,3.42,3.43,3.39
"(%, YoY)",8.3,△51.7,△58.6,△55.0,△45.6,△40.5,△38.7,△37.7,△41.4
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.89,5.94,6.08,6.07,6.07,6.09,6.11
"(%, YoY)",△2.6,△15.9,2.7,7.3,17.2,22.7,22.7,23.0,22.7
