일일 경제지표('24.3.25)
"data_date,2024-03-25"

[표]
일일경제지표 (24. 3. 25 월) 17:30 현재

[금리]
,’22 말,’23 말,’24.2 말,3/21,3/22,3/25,전일비,23말비
콜금리 (1일.%),3.21,3.55,3.40,3.53,3.52,3.46,△0.06,△0.09
"CD (91 일, %)",3.98,3.83,3.69,3.65,3.65,3.65,0,△0.18
"국고채 (3년, %)",3.72,3.15,3.39,3.31,3.28,3.29,0.01,0.14
"회사채 (3년, AA-, %)",5.23,3.90,4.04,3.94,3.92,3.92,△0.00,0.02
"외국인 채권 순매수 * (상장 , 억원)","△2,319",△406,"4,087",△275,"11,954","△7,886","△19,840",-

[주가]
,’22 말,’23 말,’24.2 말,3/21,3/22,3/25,전일비,23말비
KOSPI,"2,236.40","2,655.28","2,642.36","2,754.86","2,748.56","2,737.57",△0.40%,3.10%
- 거래대금 (억원),"60,365","103,597","129,753","140,135","115,326","99,797","△15,529",-
KOSDAQ,679.29,866.57,862.96,904.29,903.98,913.69,1.07%,5.44%
"외국인순매수 (억원, 기간 중 * )","△2,792","6,937","2,459","22,292","6,163","1,530","△4,633",-

[환율]
,’22 말,’23 말,’24.2 말,3/21,3/22,3/25,전일비,23말비
￦/ U$,"1,264.50","1,288.00","1,331.50","1,322.40","1,338.40","1,342.10",0.28,4.20
"선물환( NDF,1 월물)","1,265.30","1,286.80","1,329.30","1,320.40","1,336.40","1,340.30",0.29,4.16
￦/ CNY,181.44,181.37,185.10,183.69,184.04,184.49,0.24,1.72
￦/ Y100,945.56,912.25,888.91,875.86,883.84,887.40,0.40,△2.72
Y/U$,133.73,141.19,149.79,150.98,151.43,151.24,△0.13,7.12
U$/EUR,1.0617,1.1105,1.0835,1.0934,1.0831,1.0817,△0.13,△2.59
CNY/U$,6.9630,7.1092,7.1938,7.1987,7.2265,7.2083,△0.25,1.39

[국제금리·주가·가산금리]
,’22 말,’23 말,’24.2 말,3/21,3/22,3/25,전일비,23말비
"LIBOR ($, 3 월, %)",4.75,5.61,5.60,5.59,5.58,5.57,△0.01,△0.04
DOW,"33,221","37,657","38,949","39,512","39,781","39,476",△0.77%,4.83%
NIKKEI,"26,095","33,540","39,166","40,816","40,888","40,414",△1.16%,20.50%
SHANGHAI COMP,"3,089","2,955","3,015","3,077","3,048","3,026",△0.71%,2.42%
"외평채가산금리(30년만기, bp)",43,34,32,31,31,30,△1.00,△4.00
"CDS (5 년, bp)",55,28,33,35,35,37,1.89,8.71
"CRS SOFR (1 년, %)",3.16,2.83,2.96,2.94,2.95,2.95,0,0.12

[유가·곡물·원자재]
,’22 말,’23 말,’24.2 말,3/20,3/21,3/22,전일비,23말비
Dubai ($/ 배럴),78.77,77.08,81.78,86.51,86.00,85.49,△0.59%,10.91%
WTI 선물 ($/배럴),80.26,71.65,78.26,81.68,81.07,80.63,△0.54%,12.53%
밀 (센트/부셀),792,628,576,545,547,555,1.46%,△11.62%
옥수수 (센트/부셀),679,471,430,439,441,439,△0.45%,△6.79%
동 ($/톤),"8,387","8,476","8,389","8,790","8,874","8,741",△1.50%,3.13%
알루미늄 ($/톤),"2,361","2,336","2,163","2,232","2,264","2,247",△0.75%,△3.81%

[반도체]
,‘21,‘22,‘23.12 월,‘24.1 월,‘24.2 월,3/20,3/21,3/22,3월 (~22)
"D 램(8 G) 현물가($, 기간평균)",3.99,3.07,1.74,1.86,1.95,1.94,1.93,1.92,1.94
"(%, YoY)",29.9,△23.0,△14.8,△3.6,6.6,15.4,15.1,14.8,13.3
"낸드(128 G) 현물가($, 기간평균)",6.55,7.25,6.38,6.38,6.42,6.41,6.41,6.41,6.41
"(%, YoY)",14.7,10.7,△2.3,△1.9,△0.7,0.2,0.2,0.2,△0.1
