일일경제지표('19.12.26)
"data_date,2019-12-26"

[표]
일일경제지표 (19. 12. 26. 목) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.11 말,12.23,12.24,12.26,전일비,18말비
콜금리 (1일),1.55,1.82,1.25,1.28,1.29,1.30,0.02,△0.52
CD (91 일),1.66,1.93,1.53,1.53,1.66,1.53,0,△0.40
국고채 (3년),2.14,1.82,1.39,1.38,1.37,1.37,△0.01,△0.45
"회사채 (3년, AA-)",2.68,2.29,1.92,1.95,1.95,1.94,△0.01,△0.35
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","1,434","6,940",102,"2,741","△4,199",-

[주가]
,‘17 말,‘18 말,‘19.11 말,12.23,12.24,12.26,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,087.96","2,203.71","2,190.08","2,197.93",△0.26%,7.69%
"- 거래대금 (억원, 일평균)","42,744","41,207","44,832","50,208","47,342","47,564",△5.27%,-
KOSDAQ,798.42,675.65,632.99,647.62,638.91,652.07,0.69%,△3.49%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730","△4,561",△386,"△1,410","2,041",△629,-

[환율]
,‘17 말,‘18 말,‘19.11 말,12.23,12.24,12.26,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,181.20","1,164.30","1,163.90","1,161.80",△0.21,4.13
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,180.80","1,162.50","1,162.20","1,160.20",△0.20,4.06
￦/ CNY,163.90,162.79,168.23,166.00,166.05,165.98,△0.01,1.96
￦/ Y100,949.28,"1,008.86","1,078.82","1,064.16","1,063.99","1,060.62",△0.33,5.13
Y/U$,112.77,110.59,109.49,109.41,109.39,109.54,0.12,△0.95
U$/EUR,1.1927,1.1455,1.1009,1.1083,1.1088,1.1087,0.04,△3.21
CNY/U$,6.5426,6.8522,7.0338,7.0128,7.0110,6.9985,△0.20,2.14

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.11 말,12.23,12.24,12.26,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,1.91,1.93,1.93,1.96,0.03,△0.85
DOW,"24,719","23,062","28,164","28,455","28,552","28,515",0.21%,23.24%
NIKKEI,"22,765","20,015","23,294","23,821","23,831","23,925",0.44%,19.54%
SHANGHAI COMP,"3,307","2,494","2,872","2,963","2,983","3,007",1.51%,20.59%
"외평채가산금리(23년물, bp)",76,63,36,37,36,37,0.00,△26.00
"CDS (5 년, bp)",56,40,28,22,22,22,0.19,△18.32
"CRS (1 년, %)",1.38,1.21,0.83,0.83,0.80,0.77,0.06,△0.45

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.11 말,12.20,12.23,12.24,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,63.83,66.87,66.21,66.77,△0.15%,26.31%
WTI 선물 ($/배럴),60.42,45.33,55.17,60.44,60.52,61.11,1.11%,34.81%
밀 (센트/부셀),427,512,542,542,540,541,△0.18%,5.66%
옥수수 (센트/부셀),351,376,381,388,389,388,0,3.19%
동 ($/톤),"7,157","6,018","5,854","6,156","6,153","6,185",0.47%,2.78%
알루미늄 ($/톤),"2,242","1,881","1,786","1,771","1,772","1,791",1.13%,△4.78%

[반도체]
,‘17,‘18,‘19.9 월,10월,11월,12.23,12.24,12.25,12월 (~25)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,3.26,3.0,2.81,3.03,3.03,3.03,2.89
"(%, YoY)",41.6,8.3,△55.8,△57.5,△58.6,△52.8,△52.7,△52.7,△55.4
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,5.69,5.78,5.89,5.95,5.95,5.95,5.93
"(%, YoY)",33.8,△2.6,△2.5,△0.8,2.7,10.0,10.0,10.0,7.1
