일일경제지표('18.4.13.)
"data_date,2018-04-13"

[표]
일일경제지표 (18. 4. 13. 금) 17:30 현재

[표]
KOSPI 지수(0.51%상승) 달러 환율(0.00%)

[금리]
,‘16 말,‘17 말,‘18.3 말,4.11,4.12,4.13,전일비,‘17 말비
콜금리 (1일),1.24,1.55,1.48,1.49,1.48,1.48,0,△0.07
CD (91 일),1.52,1.66,1.65,1.65,1.65,1.65,0,△0.01
국고채 (3년),1.64,2.14,2.22,2.17,2.16,2.16,△0.00,0.02
국고채 (5년),1.80,2.34,2.43,2.39,2.38,2.38,0.00,0.04
"회사채 (3년, AA-)",2.13,2.68,2.80,2.77,2.76,2.86,0.10,0.19
"외국인 채권 순매수 * (상장 , 억원)",297,△66,"△1,005","1,694",901,"1,119",218,"1,185.00"

[주가]
,‘16 말,‘17 말,‘18.3 말,4.11,4.12,4.13,전일비,‘17 말비(%)
KOSPI,"2,026.46","2,467.49","2,415.85","2,444.22","2,442.71","2,455.07",0.51%,△0.50%
"- 거래대금 (억원, 일평균)",-,"42,744","64,344","68,009","79,013","68,423",△16.08%,-
KOSDAQ,631.44,798.42,871.09,885.38,881.45,891.87,1.18%,11.70%
"외국인순매수 (억원, 기간 중 * )","1,380","1,409","△1,643",238,"1,999","1,339",△660,-

[환율]
,‘16 말,‘17 말,‘18.3 말,4.11,4.12,4.13,전일비,‘17 말비(%)
￦/ U$,"1,207.70","1,070.50","1,063.50","1,066.30","1,069.50","1,069.50",0,△0.09
"선물환( NDF,1 월물)","1,207.70","1,070.00","1,062.50","1,065.00","1,068.60","1,068.40",△0.02,△0.15
￦/ CNY,173.68,163.90,169.49,169.83,170.20,170.06,△0.08,3.76
￦/ EUR,"1,262.53","1,276.79","1,310.23","1,319.23","1,322.76","1,318.16",△0.35,3.24
￦/ Y100,"1,035.41",949.28,"1,001.70",996.08,"1,000.84",994.33,△0.65,4.75
Y/U$,116.64,112.77,106.17,107.05,106.86,107.56,0.66,△4.62
U$/EUR,1.0454,1.1927,1.2320,1.2372,1.2368,1.2325,△0.35,3.34
CNY/U$,6.9550,6.5426,6.2699,6.2770,6.2757,6.2862,0.17,△3.92

[국제금리·주가·가산금리]
,‘16 말,‘17 말,‘18.3 말,4.11,4.12,4.13,전일비,‘17 말비
"LIBOR (Dollar, 3 월, %)",1.00,1.69,2.31,2.34,2.34,-,0.00,0.65
DOW,"19,763","24,719","24,103","24,189","24,483",-,1.21%,△0.96%
NIKKEI,"19,114","22,765","21,454","21,687","21,660","21,779",0.55%,△4.33%
SHANGHAI COMP,"3,098","3,307","3,169","3,208","3,180","3,159",△0.66%,△4.48%
"외평채가산금리(23년물, bp)",25,76,61,62,64,-,2,△12.00
"CDS (5 년, bp)",44,56,52,50,50,49,△1,△6.62
"CRS (1 년, %)",1.00,1.38,1.26,1.10,1.11,1.11,0,△0.27

[유가·곡물·원자재]
,‘16 말,‘17 말,‘18.3 말,4.10,4.11,4.12,전일비,‘17 말비
Dubai ($/ 배럴),53.83,64.33,-,66.51,67.58,68.63,1.55%,6.68%
WTI 선물 ($/배럴),53.72,60.42,-,65.51,66.82,67.07,0.37%,11.01%
Brent 선물 ($/배럴),56.82,66.87,-,71.04,72.06,72.02,△0.06%,7.70%
원당 (센트/파운드),19.51,15.16,-,12.13,12.06,12.05,△0.08%,△20.51%
밀 (센트/부셀),408,427,-,492,487,481,△1.23%,12.65%
콩 (센트/부셀),"1,004",962,-,"1,050","1,048","1,061",1.24%,10.29%
옥수수 (센트/부셀),352,351,-,389,387,389,0.52%,10.83%
동 ($/톤),"5,501","7,157",-,"6,888","6,931","6,756",△2.52%,△5.60%
알루미늄 ($/톤),"1,714","2,242",-,"2,172","2,253","2,221",△1.42%,△0.94%
