일일경제지표('19.4.26)
"data_date,2019-04-26"

[표]
일일경제지표 (19. 4. 26. 금) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.3 말,4.24,4.25,4.26,전일비,18말비
콜금리 (1일),1.55,1.82,1.90,1.75,1.73,1.73,0,△0.09
CD (91 일),1.66,1.93,1.90,1.85,1.85,1.84,△0.01,△0.09
국고채 (3년),2.14,1.82,1.69,1.75,1.72,1.72,△0.00,△0.10
"회사채 (3년, AA-)",2.68,2.29,2.16,2.22,2.20,2.19,△0.00,△0.10
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422",△473,"1,522","3,628","2,352","△1,276",-

[주가]
,‘17 말,‘18 말,‘19.3 말,4.24,4.25,4.26,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,140.67","2,201.03","2,190.50","2,179.31",△0.51%,6.77%
"- 거래대금 (억원, 일평균)","42,744","41,207","44,039","49,229","63,424","99,422",56.76%,-
KOSDAQ,798.42,675.65,729.31,757.82,750.43,741.00,△1.26%,9.67%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730","1,044",133,△478,270,△156,-

[환율]
,‘17 말,‘18 말,‘19.3 말,4.24,4.25,4.26,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,135.10","1,150.90","1,160.50","1,161.00",0.04,4.06
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,134.40","1,149.40","1,159.50","1,159.70",0.02,4.02
￦/ CNY,163.90,162.79,168.94,171.33,172.12,172.34,0.13,5.87
￦/ Y100,949.28,"1,008.86","1,025.48","1,029.89","1,037.09","1,039.58",0.24,3.05
Y/U$,112.77,110.59,110.69,111.75,111.90,111.68,△0.20,0.99
U$/EUR,1.1927,1.1455,1.1232,1.1205,1.1152,1.1138,△0.13,△2.77
CNY/U$,6.5426,6.8522,6.7222,6.7219,6.7309,6.7345,0.05,△1.72

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.3 말,4.24,4.25,4.26,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,2.60,2.58,2.58,2.59,△0.02,0.23
DOW,"24,719","23,062","25,717","26,656","26,597","26,462",3.01%,15.33%
NIKKEI,"22,765","20,015","21,251","22,200","22,308","22,259",△0.22%,11.21%
SHANGHAI COMP,"3,307","2,494","3,091","3,202","3,124","3,086",△1.20%,23.76%
"외평채가산금리(23년물, bp)",76,63,41,33,33,34,14.00,△30.00
"CDS (5 년, bp)",56,40,35,32,33,33,0.76,△7.80
"CRS (1 년, %)",1.38,1.21,1.29,1.22,1.16,1.17,0.01,△0.04

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.3 말,4.23,4.24,4.25,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,67.23,73.77,73.67,74.46,1.07%,40.86%
WTI 선물 ($/배럴),60.42,45.33,60.14,66.30,65.89,65.21,△1.03%,43.86%
밀 (센트/부셀),427,512,458,445,439,442,0.68%,△13.67%
옥수수 (센트/부셀),351,376,357,360,356,357,0.28%,△5.05%
동 ($/톤),"7,157","6,018","6,485","6,430","6,438","6,376",△0.96%,5.95%
알루미늄 ($/톤),"2,242","1,881","1,900","1,855","1,854","1,852",△0.11%,△1.54%

[반도체]
,‘17,‘18,19.1월,2월,3월,4.23,4.24,4.25,4월 (~25)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,6.06,5.79,5.05,4.11,4.09,4.03,4.30
"(%, YoY)",41.6,8.3,△36.8,△37.5,△44.3,△53.9,△54.2,△54.8,△52.1
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,5.18,4.98,4.92,5.01,5.03,5.07,4.95
"(%, YoY)",33.8,△2.6,△22.1,△25.3,△27.9,△25.7,△25.4,△24.9,△27.0
