일일경제지표('19.5.9)
"data_date,2019-05-09"

[표]
일일경제지표 (19. 5. 9. 목) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.4 말,5.7,5.8,5.9,전일비,18말비
콜금리 (1일),1.55,1.82,1.73,1.74,1.73,1.73,0,△0.09
CD (91 일),1.66,1.93,1.84,1.84,1.84,1.84,0,△0.09
국고채 (3년),2.14,1.82,1.70,1.72,1.72,1.71,△0.01,△0.11
"회사채 (3년, AA-)",2.68,2.29,2.17,2.19,2.18,2.18,△0.01,△0.11
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","2,084","11,099","3,396",668,"△2,728",-

[주가]
,‘17 말,‘18 말,‘19.4 말,5.7,5.8,5.9,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,203.59","2,176.99","2,168.01","2,102.01",△3.04%,2.99%
"- 거래대금 (억원, 일평균)","42,744","41,207","49,859","52,979","54,670","51,705",△5.42%,-
KOSDAQ,798.42,675.65,754.74,753.45,745.37,724.22,△2.84%,7.19%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730",340,"1,955",△648,"△2,282",252,-

[환율]
,‘17 말,‘18 말,‘19.4 말,5.7,5.8,5.9,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,168.20","1,166.50","1,169.40","1,179.80",0.89,5.75
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,167.00","1,165.40","1,168.30","1,178.20",0.85,5.68
￦/ CNY,163.90,162.79,173.32,172.57,172.64,173.11,0.27,6.34
￦/ Y100,949.28,"1,008.86","1,048.84","1,053.27","1,063.09","1,073.91",1.02,6.45
Y/U$,112.77,110.59,111.38,110.75,110.00,109.86,△0.13,△0.66
U$/EUR,1.1927,1.1455,1.1181,1.1215,1.1209,1.1194,△0.13,△2.28
CNY/U$,6.5426,6.8522,6.7401,6.7676,6.7695,6.7972,0.41,△0.80

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.4 말,5.7,5.8,5.9,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,2.58,2.56,2.56,2.56,△0.04,0.25
DOW,"24,719","23,062","26,554","26,438","25,965","25,967",0.56%,12.59%
NIKKEI,"22,765","20,015","22,259","21,924","21,603","21,402",△0.93%,6.93%
SHANGHAI COMP,"3,307","2,494","3,078","2,926","2,894","2,851",△1.48%,14.32%
"외평채가산금리(23년물, bp)",76,63,34,33,34,34,14.00,△29.00
"CDS (5 년, bp)",56,40,32,33,34,36,2.01,△4.70
"CRS (1 년, %)",1.38,1.21,1.10,1.14,1.12,1.09,0.04,△0.13

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.4 말,5.6,5.7,5.8,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,71.63,69.22,70.29,69.28,△1.44%,31.06%
WTI 선물 ($/배럴),60.42,45.33,63.91,62.25,61.40,62.12,1.17%,37.04%
밀 (센트/부셀),427,512,429,437,440,439,△0.23%,△14.26%
옥수수 (센트/부셀),351,376,363,364,367,364,△0.82%,△3.19%
동 ($/톤),"7,157","6,018","6,442","6,180","6,174","6,103",△1.15%,1.41%
알루미늄 ($/톤),"2,242","1,881","1,809","1,784","1,787","1,761",△1.45%,△6.38%

[반도체]
,‘17,‘18,19. 2월,3월,4월,5.6,5.7,5.8,5월 (~8)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,5.79,5.05,4.25,3.85,3.83,3.80,3.85.
"(%, YoY)",41.6,8.3,△37.5,△44.3,△52.6,△56.6,△56.9,△57.2,△56.2
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,4.98,4.92,4.96,5.10,5.10,5.10,5.09
"(%, YoY)",33.8,△2.6,△25.3,△27.9,△26.7,△24.3,△24.3,△24.3,△24.3
