일일경제지표('20.11.19)
"data_date,2020-11-19"

[표]
일일경제지표 (20. 11. 19. 목) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.10 말,11.17,11.18,11.19,전일비,19말비
콜금리 (1일),1.82,1.31,0.48,0.48,0.49,0.48,△0.01,△0.83
CD (91 일),1.93,1.53,0.63,0.66,0.66,0.66,0,△0.87
국고채 (3년),1.82,1.36,0.94,0.96,0.95,0.96,0.01,△0.41
"회사채 (3년, AA-)",2.29,1.94,2.25,2.25,2.24,2.24,△0.00,0.30
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,"2,012",66,"△1,547","△3,386","△1,839",-

[주가]
,‘18 말,‘19 말,‘20.10 말,11.17,11.18,11.19,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,267.15","2,539.15","2,545.64","2,547.42",0.07%,15.91%
"- 거래대금 (억원, 일평균)","41,207","54,296","103,577","190,883","177,955","135,540",△23.83%,-
KOSDAQ,675.65,669.83,792.65,839.47,851.74,859.94,0.96%,28.38%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△12,846","2,292","3,449","1,182",△66,-

[환율]
,‘18 말,‘19 말,‘20.10 말,11.17,11.18,11.19,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,135.10","1,106.60","1,103.80","1,115.60",1.07,△3.53
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,134.80","1,106.90","1,104.30","1,115.50",1.01,△3.45
￦/ CNY,162.79,165.50,169.07,168.53,168.61,169.66,0.62,2.51
￦/ Y100,"1,008.86","1,059.75","1,088.82","1,058.85","1,061.04","1,073.93",1.21,1.34
Y/U$,110.59,109.12,104.25,104.51,104.03,103.88,△0.14,△4.80
U$/EUR,1.1455,1.1194,1.1683,1.1855,1.1868,1.1848,△0.17,5.84
CNY/U$,6.8522,6.9848,6.6927,6.5655,6.5505,6.5772,0.41,△5.84

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.10 말,11.17,11.18,11.19,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.21,0.22,0.22,0.23,0.01,△1.71
DOW,"23,062","28,645","26,659","29,950","29,783","29,438",△1.16%,3.43%
NIKKEI,"20,015","23,657","22,977","26,015","25,728","25,634",△0.36%,8.36%
SHANGHAI COMP,"2,494","3,040","3,225","3,340","3,347","3,363",0.47%,10.75%
"외평채가산금리(23년물, bp)",63,37,31,24,24,24,0,△12.00
"CDS (5 년, bp)",40,22,25,22,22,22,0.01,△0.11
"CRS (1 년, %)",1.21,0.83,0.10,0.26,0.26,0.23,△0.03,△0.60

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.10 말,11.16,11.17,11.18,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,37.18,43.74,43.87,43.78,△0.21%,△34.92%
WTI 선물 ($/배럴),45.33,61.06,35.79,41.34,41.43,41.82,0.94%,△31.51%
밀 (센트/부셀),512,559,599,598,595,598,0.50%,6.98%
옥수수 (센트/부셀),376,388,399,416,420,431,2.62%,11.08%
동 ($/톤),"6,018","6,156","6,695","7,113","7,050","7,083",0.47%,15.06%
알루미늄 ($/톤),"1,881","1,800","1,821","1,933","1,945","1,978",1.70%,9.89%

[반도체]
,‘18,‘19,’20.8 월,9월,10월,11.16,11.17,11.18,11월 (~18)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.58,2.90,2.92,2.82,2.81,2.81,2.83
"(%, YoY)",8.3,△51.7,△27.0,△11.2,△3.0,△0.5,△0.4,0.1,0.9
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.57,5.64,5.65,5.63,5.63,5.63,5.64
"(%, YoY)",△2.6,△15.9,2.9,△0.9,△2.3,△4.6,△4.8,△4.8,△4.2
