일일경제지표('19.12.23)
"data_date,2019-12-23"

[표]
일일경제지표 (19. 12. 23. 월) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.11 말,12.19,12.20,12.23,전일비,18말비
콜금리 (1일),1.55,1.82,1.25,1.28,1.29,1.28,△0.01,△0.54
CD (91 일),1.66,1.93,1.53,1.53,1.53,1.53,0,△0.40
국고채 (3년),2.14,1.82,1.39,1.38,1.39,1.38,△0.01,△0.44
"회사채 (3년, AA-)",2.68,2.29,1.92,1.95,1.96,1.95,△0.01,△0.34
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","1,434","△1,231","1,423","6,940","5,517",-

[주가]
,‘17 말,‘18 말,‘19.11 말,12.19,12.20,12.23,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,087.96","2,196.56","2,204.18","2,203.71",△0.02%,7.97%
"- 거래대금 (억원, 일평균)","42,744","41,207","44,832","55,190","52,622","50,208",△4.59%,-
KOSDAQ,798.42,675.65,632.99,647.85,649.73,647.62,△0.32%,△4.15%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730","△4,561","2,292","2,627",△386,△115,-

[환율]
,‘17 말,‘18 말,‘19.11 말,12.19,12.20,12.23,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,181.20","1,165.60","1,160.60","1,164.30",0.32,4.36
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,180.80","1,164.40","1,158.80","1,162.50",0.32,4.27
￦/ CNY,163.90,162.79,168.23,166.35,165.51,166.00,0.30,1.97
￦/ Y100,949.28,"1,008.86","1,078.82","1,063.79","1,061.85","1,064.16",0.22,5.48
Y/U$,112.77,110.59,109.49,109.57,109.30,109.41,0.10,△1.07
U$/EUR,1.1927,1.1455,1.1009,1.1126,1.1116,1.1083,△0.30,△3.25
CNY/U$,6.5426,6.8522,7.0338,7.0025,7.0086,7.0128,0.06,2.34

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.11 말,12.19,12.20,12.23,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,1.91,1.90,1.91,1.93,0.03,△0.89
DOW,"24,719","23,062","28,164","28,239","28,377","28,455",0.28%,23.38%
NIKKEI,"22,765","20,015","23,294","23,865","23,817","23,821",0.02%,19.02%
SHANGHAI COMP,"3,307","2,494","2,872","3,017","3,005","2,963",△1.40%,18.80%
"외평채가산금리(23년물, bp)",76,63,36,37,37,37,0.00,△26.00
"CDS (5 년, bp)",56,40,28,22,22,22,0.16,△18.13
"CRS (1 년, %)",1.38,1.21,0.83,0.83,0.83,0.83,0.01,△0.38

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.11 말,12.18,12.19,12.20,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,63.83,66.14,66.48,66.87,0.59%,26.50%
WTI 선물 ($/배럴),60.42,45.33,55.17,60.93,61.22,60.44,△1.27%,33.33%
밀 (센트/부셀),427,512,542,548,545,542,△0.55%,5.86%
옥수수 (센트/부셀),351,376,381,387,387,388,0.26%,3.19%
동 ($/톤),"7,157","6,018","5,854","6,127","6,161","6,156",△0.08%,2.29%
알루미늄 ($/톤),"2,242","1,881","1,786","1,758","1,766","1,771",0.28%,△5.85%

[반도체]
,‘17,‘18,‘19.9 월,10월,11월,12.18,12.19,12.20,12월 (~20)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,3.26,3.0,2.81,3.02,3.03,3.03,2.86
"(%, YoY)",41.6,8.3,△55.8,△57.5,△58.6,△53.4,△53.2,△53.2,△55.8
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,5.69,5.78,5.89,5.93,5.93,5.95,5.92
"(%, YoY)",33.8,△2.6,△2.5,△0.8,2.7,4.8,9.6,10.0,7.0
