일일경제지표('19.11.28)
"data_date,2019-11-28"

[표]
일일경제지표 (19. 11. 28. 목) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.10 말,11.26,11.27,11.28,전일비,18말비
콜금리 (1일),1.55,1.82,1.26,1.27,1.27,1.26,△0.01,△0.56
CD (91 일),1.66,1.93,1.44,1.53,1.53,1.53,0,△0.40
국고채 (3년),2.14,1.82,1.47,1.48,1.46,1.43,△0.03,△0.39
"회사채 (3년, AA-)",2.68,2.29,1.97,1.99,1.98,1.96,△0.02,△0.33
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422",171,"△2,617",285,"2,596","2,311",-

[주가]
,‘17 말,‘18 말,‘19.10 말,11.26,11.27,11.28,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,083.48","2,121.35","2,127.85","2,118.60",△0.43%,3.80%
"- 거래대금 (억원, 일평균)","42,744","41,207","50,515","42,885","76,360","43,182",△43.45%,-
KOSDAQ,798.42,675.65,658.52,651.59,647.39,640.18,△1.11%,△5.25%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730",637,"△8,574","△2,348","△1,753",△25,-

[환율]
,‘17 말,‘18 말,‘19.10 말,11.26,11.27,11.28,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,163.40","1,176.70","1,177.20","1,179.00",0.15,5.67
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,163.30","1,175.30","1,176.50","1,178.20",0.14,5.68
￦/ CNY,163.90,162.79,165.43,167.18,167.61,167.65,0.02,2.99
￦/ Y100,949.28,"1,008.86","1,070.48","1,080.04","1,078.42","1,077.11",△0.12,6.77
Y/U$,112.77,110.59,108.68,108.95,109.16,109.45,0.27,△1.03
U$/EUR,1.1927,1.1455,1.1158,1.1015,1.1007,1.1008,0.01,△3.90
CNY/U$,6.5426,6.8522,7.0410,7.0291,7.0304,7.0286,△0.03,2.57

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.10 말,11.26,11.27,11.28,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,1.93,1.92,1.92,1.91,△0.01,△0.89
DOW,"24,719","23,062","27,187","28,066","28,122","28,164",0.15%,22.12%
NIKKEI,"22,765","20,015","22,927","23,373","23,438","23,409",△0.12%,16.96%
SHANGHAI COMP,"3,307","2,494","2,929","2,907","2,903","2,890",△0.47%,15.87%
"외평채가산금리(23년물, bp)",76,63,37,36,37,36,1.00,△27.00
"CDS (5 년, bp)",56,40,30,28,27,28,0.30,△12.55
"CRS (1 년, %)",1.38,1.21,0.78,0.83,0.85,0.86,0.01,△0.36

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.10 말,11.25,11.26,11.27,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,61.10,63.43,63.10,63.69,0.94%,20.49%
WTI 선물 ($/배럴),60.42,45.33,54.18,58.01,58.41,58.11,△0.51%,28.19%
밀 (센트/부셀),427,512,509,533,531,527,△0.75%,2.93%
옥수수 (센트/부셀),351,376,390,371,378,373,△1.32%,△0.80%
동 ($/톤),"7,157","6,018","5,825","5,873","5,856","5,926",1.20%,△1.53%
알루미늄 ($/톤),"2,242","1,881","1,743","1,753","1,751","1,771",1.14%,△5.85%

[반도체]
,‘17,‘18,‘19.8 월,9월,10월,11.25,11.26,11.27,11월 (~27)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,3.53,3.26,3.0,2.75,2.75,2.75,2.82
"(%, YoY)",41.6,8.3,△54.1,△55.8,△57.5,△59.3,△59.3,△59.3,△58.5
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,5.42,5.69,5.78,5.95,5.95,5.95,5.88
"(%, YoY)",33.8,△2.6,△14.3,△2.5,△0.8,3.9,3.9,3.9,2.6
