일일경제지표('19.7.17)
"data_date,2019-07-17"

[표]
일일경제지표 (19. 7. 17. 수) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.6 말,7.15,7.16,7.17,전일비,18말비
콜금리 (1일),1.55,1.82,1.76,1.74,1.73,1.73,0,△0.09
CD (91 일),1.66,1.93,1.78,1.78,1.78,1.73,△0.05,△0.20
국고채 (3년),2.14,1.82,1.47,1.43,1.43,1.40,△0.03,△0.42
"회사채 (3년, AA-)",2.68,2.29,1.97,1.94,1.93,1.90,△0.03,△0.38
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","4,334","1,362",584,△384,△968,-

[주가]
,‘17 말,‘18 말,‘19.6 말,7.15,7.16,7.17,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,130.62","2,082.48","2,091.87","2,072.92",△0.91%,1.56%
"- 거래대금 (억원, 일평균)","42,744","41,207","51,224","37,752","37,401","52,841",41.28%,-
KOSDAQ,798.42,675.65,690.53,674.79,674.42,666.28,△1.21%,△1.39%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730","2,888","△1,065","2,573",△69,△103,-

[환율]
,‘17 말,‘18 말,‘19.6 말,7.15,7.16,7.17,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,154.70","1,179.30","1,177.60","1,181.30",0.31,5.88
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,153.80","1,178.20","1,176.70","1,180.30",0.31,5.87
￦/ CNY,163.90,162.79,168.31,171.55,171.26,171.76,0.29,5.51
￦/ Y100,949.28,"1,008.86","1,072.24","1,091.64","1,089.76","1,092.08",0.21,8.25
Y/U$,112.77,110.59,107.69,108.03,108.06,108.17,0.10,△2.19
U$/EUR,1.1927,1.1455,1.1369,1.1271,1.1255,1.1209,△0.41,△2.15
CNY/U$,6.5426,6.8522,6.8609,6.8736,6.8743,6.8825,0.12,0.44

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.6 말,7.15,7.16,7.17,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,2.33,2.32,2.32,2.30,△0.28,0.49
DOW,"24,719","23,062","26,527","27,332","27,359","27,336",5.96%,18.63%
NIKKEI,"22,765","20,015","21,276","21,687","21,535","21,469",△0.31%,7.27%
SHANGHAI COMP,"3,307","2,494","2,979","2,942","2,938","2,932",△0.20%,17.55%
"외평채가산금리(23년물, bp)",76,63,32,31,31,32,16.00,△32.00
"CDS (5 년, bp)",56,40,33,32,32,32,0.24,△8.19
"CRS (1 년, %)",1.38,1.21,0.83,0.83,0.80,0.78,0.02,△0.44

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.6 말,7.12,7.15,7.16,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,64.88,65.88,65.22,65.58,0.55%,24.06%
WTI 선물 ($/배럴),60.42,45.33,58.47,60.21,59.58,57.62,△3.29%,27.11%
밀 (센트/부셀),427,512,527,523,508,508,0,△0.78%
옥수수 (센트/부셀),351,376,432,459,447,441,△1.34%,17.29%
동 ($/톤),"7,157","6,018","5,972","5,950","5,998","5,959",△0.65%,△0.98%
알루미늄 ($/톤),"2,242","1,881","1,774","1,800","1,810","1,818",0.44%,△3.35%

[반도체]
,‘17,‘18,19. 4월,5월,6월,7.12,7.15,7.16,7월 (~16)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,4.25,3.74,3.38,3.26,3.36,3.53,3.15
"(%, YoY)",41.6,8.3,△52.6,△57.5,△60.4,△59.5,△58.3,△56.2,△60.6
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,4.96,5.07,5.04,5.15,5.15,5.19,5.13
"(%, YoY)",33.8,△2.6,△26.7,△24.6,△24.5,△22.6,△22.6,△22.0,△22.5
