일일경제지표('21.8.23)
"data_date,2021-08-23"

[표]
일일경제지표 (21. 8. 23. 월) 17:30 현재

[금리]
,‘19 말,‘20 말,‘21.7 말,8.19,8.20,8.23,전일비,20말비
콜금리 (1일),1.31,0.57,0.51,0.50,0.51,0.50,△0.01,△0.07
CD (91 일),1.53,0.66,0.70,0.76,0.76,0.77,0.01,0.11
국고채 (3년),1.36,0.98,1.42,1.36,1.36,1.39,0.02,0.41
"회사채 (3년, AA-)",1.94,2.21,1.85,1.79,1.79,1.82,0.03,△0.39
"외국인 채권 순매수 * (상장 , 억원)",100,"5,408","1,351","2,597",582,"5,996","5,414",-

[주가]
,‘19 말,‘20 말,‘21.7 말,8.19,8.20,8.23,전일비,20말비
KOSPI,"2,197.67","2,873.47","3,202.32","3,097.83","3,060.51","3,090.21",0.97%,7.54%
"- 거래대금 (억원, 일평균)","54,296","179,288","129,226","197,399","208,334","208,531",0.09%,-
KOSDAQ,669.83,968.42,"1,031.14",991.15,967.90,993.18,2.61%,2.56%
"외국인순매수 (억원, 기간 중 * )","△2,816","1,840","△8,348","△4,814","△3,204","2,987",△193,-

[환율]
,‘19 말,‘20 말,‘21.7 말,8.19,8.20,8.23,전일비,20말비
￦/ U$,"1,156.40","1,086.30","1,150.30","1,176.20","1,179.60","1,173.70",△0.50,8.05
"선물환( NDF,1 월물)","1,155.40","1,086.30","1,150.70","1,177.10","1,180.10","1,174.40",△0.48,8.11
￦/ CNY,165.50,166.04,178.19,181.15,181.51,180.88,△0.35,8.94
￦/ Y100,"1,059.75","1,051.19","1,049.45","1,069.66","1,075.49","1,067.78",△0.72,1.58
Y/U$,109.12,103.34,109.61,109.96,109.68,109.92,0.22,6.37
U$/EUR,1.1194,1.2279,1.1876,1.1673,1.1682,1.1712,0.26,△4.62
CNY/U$,6.9848,6.5305,6.4630,6.4977,6.5011,6.4948,△0.10,△0.55

[국제금리·주가·가산금리]
,‘19 말,‘20 말,’21.7 말,8.19,8.20,8.23,전일비,20말비
"LIBOR ($, 3 월, %)",1.94,0.25,0.13,0.13,0.13,0.13,△0.00,△0.13
DOW,"28,645","30,410","35,081","34,961","34,894","35,120",0.65%,15.49%
NIKKEI,"23,657","27,444","27,284","27,281","27,013","27,494",1.78%,0.18%
SHANGHAI COMP,"3,040","3,473","3,397","3,466","3,427","3,477",1.45%,0.12%
"외평채가산금리(30년만기, bp)",50,32,19,18,18,18,0,△14.00
"CDS (5 년, bp)",22,22,19,19,18,19,0.29,△3.77
"CRS (1 년, %)",0.83,0.24,0.60,0.55,0.54,0.54,0,0.30

[유가·곡물·원자재]
,‘19 말,‘20 말,’21.7 말,8.18,8.19,8.20,전일비,20말비
Dubai ($/ 배럴),67.27,51.14,73.90,68.58,65.35,65.37,0.03%,27.83%
WTI 선물 ($/배럴),61.06,48.52,73.95,65.46,63.69,62.32,△2.15%,28.44%
밀 (센트/부셀),559,641,704,751,743,728,△2.02%,13.57%
옥수수 (센트/부셀),388,484,545,565,551,537,△2.54%,10.95%
동 ($/톤),"6,156","7,742","9,748","9,149","8,776","8,922",1.66%,15.24%
알루미늄 ($/톤),"1,800","1,978","2,590","2,590","2,544","2,569",0.98%,29.88%

[반도체]
,‘19,‘20,’21.5 월,6월,7월,8.18,8.19,8.20,8월 (~20)
"D 램(8 G) 현물가($, 기간평균)",3.93,3.07,4.48,4.52,4.55,4.19,4.11,4.08,4.30
"(%, YoY)",△51.7,△21.9,41.3,54.2,70.2,63.4,60.7,60.8,66.6
"낸드(128 G) 현물가($, 기간평균)",5.34,5.71,6.17,6.51,6.74,6.84,6.84,6.84,6.84
"(%, YoY)",△15.9,7.0,9.2,20.2,23.7,22.6,22.6,22.6,22.8
