일일경제지표('20.10.14)
"data_date,2020-10-14"

[표]
일일경제지표 (20. 10. 14. 수) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.9 말,10.12,10.13,10.14,전일비,19말비
콜금리 (1일),1.82,1.31,0.48,0.53,0.54,0.54,0,△0.77
CD (91 일),1.93,1.53,0.63,0.63,0.63,0.63,0,△0.90
국고채 (3년),1.82,1.36,0.85,0.93,0.92,0.90,△0.02,△0.46
"회사채 (3년, AA-)",2.29,1.94,2.19,2.25,2.25,2.24,△0.01,0.30
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,"3,237","△5,162","3,698",△232,"△3,930",-

[주가]
,‘18 말,‘19 말,‘20.9 말,10.12,10.13,10.14,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,327.89","2,403.73","2,403.15","2,380.48",△0.94%,8.32%
"- 거래대금 (억원, 일평균)","41,207","54,296","89,711","125,304","106,932","102,031",△4.58%,-
KOSDAQ,675.65,669.83,848.15,873.50,871.92,861.48,△1.20%,28.61%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△1,350","1,112","1,482",△707,△148,-

[환율]
,‘18 말,‘19 말,‘20.9 말,10.12,10.13,10.14,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,169.50","1,146.80","1,147.10","1,146.90",△0.02,△0.82
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,170.00","1,147.60","1,147.50","1,147.00",△0.04,△0.73
￦/ CNY,162.79,165.50,171.50,170.51,170.36,170.37,0.01,2.94
￦/ Y100,"1,008.86","1,059.75","1,107.27","1,087.12","1,088.64","1,087.52",△0.10,2.62
Y/U$,110.59,109.12,105.62,105.49,105.37,105.46,0.09,△3.35
U$/EUR,1.1455,1.1194,1.1670,1.1811,1.1793,1.1745,△0.41,4.92
CNY/U$,6.8522,6.9848,6.8225,6.7168,6.7461,6.7384,△0.11,△3.53

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.9 말,10.12,10.13,10.14,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.22,0.22,0.22,0.23,0.00,△1.72
DOW,"23,062","28,645","27,584","28,587","28,838","28,680",△0.55%,0.76%
NIKKEI,"20,015","23,657","23,539","23,559","23,602","23,627",0.11%,△0.13%
SHANGHAI COMP,"2,494","3,040","3,237","3,358","3,360","3,341",△0.56%,10.01%
"외평채가산금리(23년물, bp)",63,37,38,35,35,36,1.00,0
"CDS (5 년, bp)",40,22,27,25,25,25,0.36,2.94
"CRS (1 년, %)",1.21,0.83,0.08,0.11,0.12,0.11,△0.01,△0.72

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.9 말,10.9,10.12,10.13,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,40.36,42.06,41.28,41.19,△0.22%,△38.77%
WTI 선물 ($/배럴),45.33,61.06,40.22,40.60,39.43,40.20,1.95%,△34.16%
밀 (센트/부셀),512,559,578,594,594,594,0,6.26%
옥수수 (센트/부셀),376,388,379,395,389,391,0.51%,0.77%
동 ($/톤),"6,018","6,156","6,610","6,741","6,769","6,700",△1.02%,8.84%
알루미늄 ($/톤),"1,881","1,800","1,737","1,806","1,830","1,841",0.60%,2.28%

[반도체]
,‘18,‘19,‘20.7 월,8월,9월,10.9,10.12,10.13,10월 (~13)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.68,2.58,2.90,2.95,2.96,2.96,2.96
"(%, YoY)",8.3,△51.7,△21.0,△27.0,△11.2,△3.7,△3.5,△3.4,△1.8
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.45,5.57,5.64,5.64,5.64,5.64,5.64
"(%, YoY)",△2.6,△15.9,4.6,2.9,△0.9,△2.4,△2.3,△2.3,△2.4
