일일 경제지표('22.9.20)
"data_date,2022-09-20"

[표]
일일경제지표 (22. 9. 20. 화) 17:30 현재

[금리]
,’20 말,’21 말,’22.8 말,9/16,9/19,9/20,전일비,21말비
콜금리 (1일),0.57,1.11,2.42,2.50,2.51,2.50,△0.01,1.39
CD (91 일),0.66,1.29,2.92,2.97,2.99,3.00,0.01,1.71
국고채 (3년),0.98,1.80,3.69,3.77,3.76,3.82,0.06,2.03
"회사채 (3년, AA-)",2.21,2.42,4.66,4.76,4.75,4.81,0.05,2.39
"외국인 채권 순매수 * (상장 , 억원)","5,408","1,858","4,266","3,533","6,819","2,312","△4,507",-

[주가]
,‘20 말,‘21 말,‘22.8 말,9/16,9/19,9/20,전일비,21말비
KOSPI,"2,873.47","2,977.65","2,472.05","2,382.78","2,355.66","2,367.85",0.52%,△20.48%
"- 거래대금 (억원, 일평균)","179,288","132,923","101,831","98,625","112,939","94,811",△16.05%,-
KOSDAQ,968.42,"1,033.98",807.04,770.04,751.91,760.35,1.12%,△26.46%
"외국인순매수 (억원, 기간 중 * )","1,840","△2,389","2,744","△1,379",△492,△308,△37,-

[환율]
,‘20 말,‘21 말,‘22.8 말,9/16,9/19,9/20,전일비,21말비
￦/ U$,"1,086.30","1,188.80","1,337.60","1,388.00","1,393.60","1,389.50",△0.29,16.88
"선물환( NDF,1 월물)","1,086.30","1,190.00","1,337.90","1,389.30","1,392.50","1,388.80",△0.27,16.71
￦/ CNY,166.04,186.51,194.16,199.92,198.58,198.33,△0.13,6.34
￦/ Y100,"1,051.19","1,032.48",965.99,966.78,972.44,969.71,△0.28,△6.08
Y/U$,103.34,115.14,138.47,143.57,143.31,143.29,△0.01,24.45
U$/EUR,1.2279,1.1318,1.0026,0.9983,0.9980,1.0033,0.53,△11.35
CNY/U$,6.5305,6.3681,6.8961,7.0111,7.0107,7.0110,0.00,10.10

[국제금리·주가·가산금리]
,’20 말,’21 말,’22.8 말,9/16,9/19,9/20,전일비,21말비
"LIBOR ($, 3 월, %)",0.25,0.22,3.08,3.53,3.57,3.57,0,3.35
DOW,"30,410","36,489","31,791","30,962","30,822","31,020",0.64%,△14.99%
NIKKEI,"27,444","28,792","28,092","27,568","주1) 27,568","27,688",0.44%,△3.83%
SHANGHAI COMP,"3,473","3,619","3,202","3,126","3,116","3,122",0.22%,△13.73%
"외평채가산금리(30년만기, bp)",32,15,39,40,41,40,△1.00,25.00
"CDS (5 년, bp)",22,21,33,33,34,36,2.22,14.43
"CRS (1 년, %)",0.24,1.00,2.97,2.89,2.85,2.84,△0.01,1.84

[유가·곡물·원자재]
,‘20 말,’21 말,’22.8 말,9/15,9/16,9/19,전일비,21말비
Dubai ($/ 배럴),51.14,77.12,97.88,93.66,91.04,90.36,△0.75%,17.17%
WTI 선물 ($/배럴),48.52,75.21,89.55,85.10,85.11,85.73,0.73%,13.99%
밀 (센트/부셀),641,771,832,845,860,831,△3.37%,7.78%
옥수수 (센트/부셀),484,593,671,678,677,678,0.15%,14.33%
동 ($/톤),"7,742","9,692","7,721","7,806","7,792","7,772",△0.26%,△19.81%
알루미늄 ($/톤),"1,978","2,806","2,369","2,272","2,259","2,232",△1.20%,△20.46%

[반도체]
,’20,‘21,‘22.6 월,7월,8월,9/15,9/16,9/19,9월 (~19)
"D 램(8 G) 현물가($, 기간평균)",3.07,3.42,3.37,3.11,2.76,2.49,2.48,2.48,2.53
"(%, YoY)",△21.9,8.0,△25.4,△31.6,△34.0,△33.1,△33.5,△33.5,△32.4
"낸드(128 G) 현물가($, 기간평균)",5.71,7.45,8.01,6.83,6.57,6.57,6.57,6.57,6.57
"(%, YoY)",7.0,32.8,23.0,1.4,△4.2,△5.5,△5.5,△5.5,△5.4
