일일 경제지표('23.12.13)
"data_date,2023-12-13"

[표]
일일경제지표 (23. 12. 13 수) 17:30 현재

[금리]
,’21 말,’22 말,’23.11 말,12/11,12/12,12/13,전일비,22말비
콜금리 (1일.%),1.11,3.21,3.59,3.68,3.71,3.68,△0.03,0.47
"CD (91 일, %)",1.29,3.98,3.84,3.84,3.84,3.84,0,△0.14
"국고채 (3년, %)",1.80,3.72,3.58,3.48,3.45,3.47,0.02,△0.26
"회사채 (3년, AA-, %)",2.42,5.23,4.32,4.20,4.17,4.19,0.01,△1.05
"외국인 채권 순매수 * (상장 , 억원)","1,858","△2,319","1,022",623,"1,732","6,070","4,338",-

[주가]
,‘21 말,’22 말,’23.11 말,12/11,12/12,12/13,전일비,22말비
KOSPI,"2,977.65","2,236.40","2,535.29","2,525.36","2,535.27","2,510.66",△0.97%,12.26%
- 거래대금 (억원),"87,274","60,365","94,282","79,167","82,605","77,325",△6.39%,-
KOSDAQ,"1,033.98",679.29,831.68,835.25,839.53,829.31,△1.22%,22.08%
"외국인순매수 (억원, 기간 중 * )","△2,389","△2,792","2,435",△462,742,"△1,942","△2,684",-

[환율]
,‘21 말,’22. 말,’23.11 말,12/11,12/12,12/13,전일비,22말비
￦/ U$,"1,188.80","1,264.50","1,290.00","1,316.50","1,314.00","1,319.90",0.45,4.38
"선물환( NDF,1 월물)","1,190.00","1,265.30","1,287.80","1,314.30","1,311.80","1,318.10",0.48,4.17
￦/ CNY,186.51,181.44,180.90,183.46,183.12,183.74,0.34,1.27
￦/ Y100,"1,032.48",945.56,877.79,904.38,903.78,905.53,0.19,△4.23
Y/U$,115.14,133.73,146.96,145.57,145.39,145.76,0.25,9.00
U$/EUR,1.1318,1.0617,1.0974,1.0768,1.0768,1.0780,0.11,1.54
CNY/U$,6.3681,6.9630,7.1244,7.1832,7.1744,7.1841,0.14,3.18

[국제금리·주가·가산금리]
,’21 말,’22 말,’23.11 말,12/11,12/12,12/13,전일비,22말비
"LIBOR ($, 3 월, %)",0.22,4.75,5.64,5.63,5.64,5.65,0.01,0.89
DOW,"36,489","33,221","35,430","36,248","36,405","36,578",0.48%,10.11
NIKKEI,"28,792","26,095","33,487","32,792","32,844","32,926",0.25%,26.18
SHANGHAI COMP,"3,619","3,089","3,030","2,991","3,003","2,969",△1.15%,△3.90
"외평채가산금리(30년만기, bp)",15,43,34,35,30,35,5.00,△8.00
"CDS (5 년, bp)",21,55,29,29,29,28,△0.08,△26.14
"CRS SOFR (1 년, %)",1.00,3.53,2.86,2.80,2.79,2.80,0.01,△0.74

[유가·곡물·원자재]
,’21 말,’22 말,’23.11 말,12/8,12/11,12/12,전일비,22말비
Dubai ($/ 배럴),77.12,78.77,85.38,76.07,76.63,76.23,△0.52%,△3.22%
WTI 선물 ($/배럴),75.21,80.26,75.96,71.23,71.32,68.61,△3.80%,△14.52%
밀 (센트/부셀),771,792,598,632,610,626,2.62%,△20.96%
옥수수 (센트/부셀),593,679,483,486,482,485,0.62%,△28.57%
동 ($/톤),"9,692","8,387","8,332","8,348","8,276","8,272",△0.05%,△1.37%
알루미늄 ($/톤),"2,806","2,361","2,158","2,111","2,083","2,091",0.38%,△11.44%

[반도체]
,’21,‘22,‘23.9 월,‘23.10 월,‘23.11 월,12/8,12/11,12/12,12월 (~12)
"D 램(8 G) 현물가($, 기간평균)",3.99,3.07,1.48,1.55,1.66,1.74,1.74,1.75,1.73
"(%, YoY)",29.9,△23.0,△41.3,△35.6,△23.1,△14.4,△14.1,△13.9,△15.3
"낸드(128 G) 현물가($, 기간평균)",6.55,7.25,6.32,6.40,6.42,6.40,6.40,6.40,6.40
"(%, YoY)",14.7,10.7,△3.8,△2.6,△1.7,△2.2,△2.2,△2.2,△1.9
