일일경제지표('19.7.15)
"data_date,2019-07-15"

[표]
일일경제지표 (19. 7. 15. 월) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.6 말,7.11,7.12,7.15,전일비,18말비
콜금리 (1일),1.55,1.82,1.76,1.74,1.75,1.74,△0.01,△0.08
CD (91 일),1.66,1.93,1.78,1.78,1.78,1.78,0,△0.15
국고채 (3년),2.14,1.82,1.47,1.42,1.42,1.43,0.01,△0.38
"회사채 (3년, AA-)",2.68,2.29,1.97,1.92,1.93,1.94,0.01,△0.35
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","4,334",499,△594,"1,362","1,956",-

[주가]
,‘17 말,‘18 말,‘19.6 말,7.11,7.12,7.15,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,130.62","2,080.58","2,086.66","2,082.48",△0.20%,2.03%
"- 거래대금 (억원, 일평균)","42,744","41,207","51,224","39,385","50,574","37,752",△25.35%,-
KOSDAQ,798.42,675.65,690.53,677.09,681.17,674.79,△0.94%,△0.13%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730","2,888","3,464",246,"△1,065",△533,-

[환율]
,‘17 말,‘18 말,‘19.6 말,7.11,7.12,7.15,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,154.70","1,173.50","1,179.20","1,179.30",0.01,5.70
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,153.80","1,172.60","1,178.00","1,178.20",0.02,5.68
￦/ CNY,163.90,162.79,168.31,170.91,171.43,171.55,0.07,5.38
￦/ Y100,949.28,"1,008.86","1,072.24","1,086.47","1,088.53","1,091.64",0.29,8.21
Y/U$,112.77,110.59,107.69,108.01,108.33,108.03,△0.28,△2.31
U$/EUR,1.1927,1.1455,1.1369,1.1266,1.1270,1.1271,0.01,△1.61
CNY/U$,6.5426,6.8522,6.8609,6.8660,6.8712,6.8736,0.03,0.31

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.6 말,7.11,7.12,7.15,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,2.33,2.34,2.34,2.32,△0.26,0.47
DOW,"24,719","23,062","26,527","26,860","27,088","27,332",4.91%,17.46%
NIKKEI,"22,765","20,015","21,276","21,644","21,686","21,687",0.00%,8.35%
SHANGHAI COMP,"3,307","2,494","2,979","2,918","2,931","2,942",0.40%,17.98%
"외평채가산금리(23년물, bp)",76,63,32,32,31,31,15.00,△32.00
"CDS (5 년, bp)",56,40,33,32,32,32,0.15,△8.43
"CRS (1 년, %)",1.38,1.21,0.83,0.86,0.86,0.83,0.03,△0.38

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.6 말,7.10,7.11,7.12,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,64.88,63.90,65.95,65.88,△0.11%,24.63%
WTI 선물 ($/배럴),60.42,45.33,58.47,60.43,60.20,60.21,0.02%,32.83%
밀 (센트/부셀),427,512,527,505,522,523,0.19%,2.15%
옥수수 (센트/부셀),351,376,432,440,448,459,2.46%,22.07%
동 ($/톤),"7,157","6,018","5,972","5,863","5,925","5,950",0.42%,△1.13%
알루미늄 ($/톤),"2,242","1,881","1,774","1,812","1,807","1,800",△0.39%,△4.31%

[반도체]
,‘17,‘18,19. 4월,5월,6월,7.10,7.11,7.12,7월 (~12)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,4.25,3.74,3.38,3.04,3.11,3.26,3.09
"(%, YoY)",41.6,8.3,△52.6,△57.5,△60.4,△62.1,△61.4,△59.5,△61.4
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,4.96,5.07,5.04,5.14,5.15,5.15,5.12
"(%, YoY)",33.8,△2.6,△26.7,△24.6,△24.5,△22.9,△22.6,△22.6,△22.6
