일일 경제지표('24.7.11)
"data_date,2024-07-11"

[표]
일일경제지표 (24. 7. 11 목) 17:30 현재

[금리]
,’ 22말,’ 23말,’ 24.5말,7/9,7/10,7/11,전일비,23말비
콜금리 (1일.%),3.21,3.55,3.52,3.49,3.44,3.47,0.03,△0.08
"CD (91 일, %)",3.98,3.83,3.61,3.56,3.55,3.55,0,△0.28
"국고채 (3년, %)",3.72,3.15,3.45,3.11,3.12,3.16,0.04,0.01
"회사채 (3년, AA-, %)",5.23,3.90,3.87,3.57,3.58,3.61,0.04,△0.28
"외국인 채권 순매수 * (상장, 억원)","△2,319",△406,"2,113","1,770",△419,39,458,-

[주가]
,’ 22말,’ 23말,’ 24.5말,7/9,7/10,7/11,전일비,23말비
KOSPI,"2,236.40","2,655.28","2,636.52","2,867.38","2,867.99","2,891.35",0.81%,8.89%
- 거래대금 (억원),"60,365","103,597","163,539","112,418","118,414","146,497","28,083",-
KOSDAQ,679.29,866.57,839.98,860.42,858.55,852.42,△0.71%,△1.63%
"외국인순매수 (억원, 기간 중 * )","△2,792","6,937","△10,824","2,514","5,372","5,986",614,-

[환율]
,’ 22말,’ 23말,’ 24.5말,7/9,7/10,7/11,전일비,23말비
￦/ U$,"1,264.50","1,288.00","1,384.50","1,381.60","1,384.70","1,378.80",△0.43,7.05
"선물환( NDF,1 월물)","1,265.30","1,286.80","1,377.20","1,379.40","1,382.40","1,376.60",△0.42,6.98
￦/ CNY,181.44,181.37,189.18,190.10,190.38,189.75,△0.33,4.62
￦/ Y100,945.56,912.25,882.27,859.10,857.82,852.80,△0.59,△6.52
Y/U$,133.73,141.19,156.93,160.82,161.42,161.68,0.16,14.51
U$/EUR,1.0617,1.1105,1.0819,1.0827,1.0817,1.0834,0.16,△2.44
CNY/U$,6.9630,7.1092,7.2431,7.2717,7.2927,7.2709,△0.30,2.27

[국제금리·주가·가산금리]
,’ 22말,’ 23말,’ 24.5말,7/9,7/10,7/11,전일비,23말비
"LIBOR ($, 3 월, %)",4.75,5.61,5.61,5.57,5.57,5.57,0.00,△0.04
DOW,"33,221","37,657","38,111","39,345","39,292","39,721",1.09%,5.48%
NIKKEI,"26,095","33,540","38,488","41,580","41,832","42,224",0.94%,25.89%
SHANGHAI COMP,"3,089","2,955","3,087","2,959","2,939","2,970",1.06%,0.53%
"외평채가산금리(30년만기, bp)",43,34,29,26,26,27,1.00,△7.00
"CDS (5 년, bp)",55,28,35,36,36,36,△0.05,7.77
"CRS SOFR (1 년, %)",2.81,2.83,3.10,2.84,2.86,2.87,0.02,0.04

[유가·곡물·원자재]
,’ 22말,’ 23말,’ 24.4말,7/8,7/9,7/10,전일비,23말비
Dubai ($/ 배럴),78.77,77.08,88.59,86.20,85.64,84.59,△1.23%,9.74%
WTI 선물 ($/배럴),80.26,71.65,81.93,82.33,81.41,82.10,0.85%,14.58%
밀 (센트/부셀),792,628,603,571,572,562,△1.75%,△10.51%
옥수수 (센트/부셀),679,471,447,408,409,407,△0.49%,△13.59%
동 ($/톤),"8,387","8,476","9,974","9,808","9,762","9,696",△0.68%,14.39%
알루미늄 ($/톤),"2,361","2,336","2,545","2,476","2,469","2,432",△1.50%,4.11%

[반도체]
,’ 22말,’ 23말,’ 24.3말,’ 24.4말,’ 24.5말,7/8,7/9,7/10,7월( ∼10)
"D 램(8 G) 현물가($, 기간평균)",3.07,1.74,1.93,1.94,1.93,1.96,1.97,1.98,1.94
"(%, YoY)",△23.0,△14.8,13.0,18.6,22.2,30.8,31.7,32.2,30.1
"낸드(128 G) 현물가($, 기간평균)",7.25,6.38,6.41,6.40,6.39,6.33,6.33,6.33,6.33
"(%, YoY)",10.7,△2.3,△0.2,0.0,0.0,0.4,0.4,0.3,0.4
