일일경제지표('16.3.15.)
"data_date,2016-03-15"

[표]
일일경제지표 (16. 3. 15 화) 17:30 현재

[표]
KOSPI 지수(0.12%하락) 달러 환율(0.13%상승)

[금리]
,‘14 말,‘15 말,‘16.2 말,3.11,3.14,3.15,전일비,‘15 말비
콜금리 (1일),2.01,1.49,1.50,1.50,1.48,1.48,0.00,△0.01
CD (91 일),2.13,1.67,1.63,1.63,1.63,1.63,0.00,△0.04
국고채 (3년),2.10,1.66,1.45,1.55,1.53,1.53,0.00,△0.13
국고채 (5년),2.28,1.81,1.56,1.67,1.66,1.66,△0.00,△0.15
"회사채 (3년, AA-)",2.43,2.11,1.94,2.03,2.01,2.01,0.00,△0.10
"외국인 채권 순매수 * (상장 , 억원)","46,746",830,△779,△67,"5,797","2,844","△2,953",-

[주가]
,‘14 말,‘15 말,‘16.2 말,3.11,3.14,3.15,전일비,‘15 말비(%)
KOSPI,"1,915.59","1,961.31","1,916.66","1,971.41","1,972.27","1,969.97",△0.12%,0.44%
"- 거래대금 (억원, 일평균)","36,950","37,066","46,154","42,071","42,185","37,791","△4,394",-
KOSDAQ,542.97,682.35,651.62,689.17,691.05,693.34,0.33%,1.61%
"외국인순매수 (억원, 기간 중 * )","1,546",△538,"1,804","1,421",850,720,△130,-

[환율]
,‘14 말,‘15 말,‘16.2 말,3.11,3.14,3.15,전일비,‘15 말비(%)
￦/ U$,"1,099.30","1,172.50","1,236.70","1,193.10","1,186.10","1,187.70",0.13,1.30
"선물환( NDF,1 월물)","1,100.90","1,173.70","1,237.70","1,194.30","1,187.20","1,188.90",0.14,1.30
￦/ CNY,177.21,180.70,188.16,183.71,182.47,182.45,△0.01,0.97
￦/ EUR,"1,333.89","1,281.54","1,352.95","1,333.53","1,323.57","1,318.94",△0.35,2.92
￦/ Y100,913.04,974.08,"1,095.39","1,052.02","1,042.36","1,047.45",0.49,7.53
Y/U$,120.40,120.37,112.90,113.41,113.79,113.39,△0.35,△5.80
U$/EUR,1.2134,1.0930,1.0940,1.1177,1.1159,1.1105,△0.48,1.60
CNY/U$,6.2210,6.4900,6.5470,6.4894,6.4916,6.5061,0.22,0.25

[국제금리·주가·가산금리]
,‘14 말,‘15 말,‘16.2 말,3.11,3.14,3.15,전일비,‘15 말비
"LIBOR (Dollar, 3 월, %)",0.26,0.61,0.63,0.63,0.63,-,0.00,0.02
"T/NOTE (10 년, %)",2.18,2.27,1.83,1.99,1.96,-,△0.03,△0.31
DOW,"17,823","17,425","16,865","17,213","17,229",-,0.09%,△1.12%
NIKKEI,"17,464","19,034","16,027","16,939","17,234","17,117",△0.68%,△10.07%
SANGHAI COMP,"3,235","3,565","2,682","2,810","2,859","2,864",0.18%,△19.66%
"외평채가산금리(23년물, bp)",48,43,43,38,38,-,0,△5
"CDS (5 년, bp)",54,55,69,60,60,62,2,7
"CRS (1 년, %)",1.49,1.35,1.22,1.36,1.40,1.40,0.00,0.05

[유가·곡물·원자재]
,‘14 말,‘15 말,‘16.2 말,3.10,3.11,3.14,전일비,‘15 말비
Dubai ($/ 배럴),53.60,32.19,30.43,36.25,36.37,36.37,0.00,12.99%
WTI 선물 ($/배럴),53.27,37.04,32.78,37.84,38.50,38.50,0.00,3.94%
Brent 선물 ($/배럴),57.33,37.28,35.10,40.05,40.39,39.53,△2.13%,6.04%
원당 (센트/파운드),14.52,15.24,13.91,14.82,15.13,15.42,1.92%,1.18%
밀 (센트/부셀),590,470,443,472,470,472,0.37%,0.32%
콩 (센트/부셀),"1,019",871,855,882,896,896,0.00,2.81%
옥수수 (센트/부셀),397,359,355,363,366,367,0.20%,2.23%
동 ($/톤),"6,359","4,702","4,681","4,921","4,941","4,975",0.69%,5.81%
알루미늄 ($/톤),"1,832","1,508","1,589","1,565","1,549","1,547",△0.10%,2.62%
