일일경제지표('20.9.4)
"data_date,2020-09-04"

[표]
일일경제지표 (20. 9. 4. 금) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.8 말,9.2,9.3,9.4,전일비,19말비
콜금리 (1일),1.82,1.31,0.49,0.52,0.49,0.48,△0.01,△0.83
CD (91 일),1.93,1.53,0.63,0.63,0.63,0.63,0,△0.90
국고채 (3년),1.82,1.36,0.94,0.92,0.92,0.93,0.01,△0.43
"회사채 (3년, AA-)",2.29,1.94,2.26,2.26,2.26,2.27,0.01,0.33
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,"7,710","2,588",275,△316,△591,-

[주가]
,‘18 말,‘19 말,‘20.8 말,9.2,9.3,9.4,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,326.17","2,364.37","2,395.90","2,368.25",△1.15%,7.76%
"- 거래대금 (억원, 일평균)","41,207","54,296","155,399","166,643","157,931","174,209",10.31%,-
KOSDAQ,675.65,669.83,848.24,866.74,874.13,866.04,△0.93%,29.29%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△13,859","△1,189","1,871","△5,624",△401,-

[환율]
,‘18 말,‘19 말,‘20.8 말,9.2,9.3,9.4,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,187.80","1,185.40","1,188.30","1,189.60",0.11,2.87
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,187.80","1,185.80","1,188.40","1,189.90",0.13,2.99
￦/ CNY,162.79,165.50,173.20,173.69,173.85,173.97,0.07,5.12
￦/ Y100,"1,008.86","1,059.75","1,123.96","1,117.77","1,118.40","1,120.68",0.20,5.75
Y/U$,110.59,109.12,105.68,106.05,106.25,106.15,△0.09,△2.72
U$/EUR,1.1455,1.1194,1.1897,1.1896,1.1805,1.1841,0.30,5.78
CNY/U$,6.8522,6.9848,6.8595,6.8288,6.8389,6.8415,0.04,△2.05

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.8 말,9.2,9.3,9.4,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.24,0.24,0.25,0.25,0.00,△1.69
DOW,"23,062","28,645","28,654","28,646","29,101","28,293",△2.78%,△0.60%
NIKKEI,"20,015","23,657","23,140","23,247","23,466","23,205",△1.11%,△1.91%
SHANGHAI COMP,"2,494","3,040","3,396","3,405","3,385","3,355",△0.87%,10.49%
"외평채가산금리(23년물, bp)",63,37,42,40,40,41,1.00,5.00
"CDS (5 년, bp)",40,22,23,23,22,23,0.46,0.67
"CRS (1 년, %)",1.21,0.83,0.11,0.12,0.10,0.08,△0.02,△0.75

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.8 말,9.1,9.2,9.3,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,45.93,45.11,45.30,43.43,△4.13%,△35.44%
WTI 선물 ($/배럴),45.33,61.06,42.61,42.76,41.51,41.37,△0.34%,△32.25%
밀 (센트/부셀),512,559,552,564,558,553,△0.90%,△1.07%
옥수수 (센트/부셀),376,388,358,358,359,354,△1.39%,△8.76%
동 ($/톤),"6,018","6,156","6,728","6,789","6,719","6,613",△1.58%,7.42%
알루미늄 ($/톤),"1,881","1,800","1,762","1,782","1,779","1,744",△1.97%,△3.11%

[반도체]
,‘18,‘19,‘20.6 월,7월,8월,9.1,9.2,9.3,9월 (~3)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.93,2.68,2.58,2.62,2.68,2.76,2.69
"(%, YoY)",8.3,△51.7,△13.0,△21.0,△27.0,△22.3,△20.2,△17.1,△17.6
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.41,5.45,5.57,5.60,5.60,5.62,5.61
"(%, YoY)",△2.6,△15.9,7.3,4.6,2.9,△0.1,△0.4,△0.1,△1.4
