일일경제지표('16.4.29.)
"data_date,2016-04-29"

[표]
일일경제지표 (16. 4 . 29 금) 17:30 현재

[표]
KOSPI 지수(0.34%하락) 달러 환율(0.10%상승)

[금리]
,‘14 말,‘15 말,‘16.3 말,4.27,4.28,4.29,전일비,‘15 말비
콜금리 (1일),2.01,1.49,1.51,1.49,1.48,1.48,0,△0.01
CD (91 일),2.13,1.67,1.61,1.61,1.61,1.61,0,△0.06
국고채 (3년),2.10,1.66,1.44,1.46,1.45,1.45,0.00,△0.21
국고채 (5년),2.28,1.81,1.55,1.56,1.55,1.55,△0.00,△0.26
"회사채 (3년, AA-)",2.43,2.11,1.93,1.92,1.91,1.92,0.00,△0.20
"외국인 채권 순매수 * (상장 , 억원)","46,746",830,"1,806",△625,"2,304","1,845",△459,-

[주가]
,‘14 말,‘15 말,‘16.3 말,4.27,4.28,4.29,전일비,‘15 말비(%)
KOSPI,"1,915.59","1,961.31","1,995.85","2,015.40","2,000.93","1,994.15",△0.34%,1.67%
"- 거래대금 (억원, 일평균)","36,950","37,066","52,031","53,982","54,607","49,244","△5,363",-
KOSDAQ,542.97,682.35,688.38,699.52,699.70,699.77,0.01%,2.55%
"외국인순매수 (억원, 기간 중 * )","1,546",△538,"△2,317","1,726","△1,950",430,"2,380",-

[환율]
,‘14 말,‘15 말,‘16.3 말,4.27,4.28,4.29,전일비,‘15 말비(%)
￦/ U$,"1,099.30","1,172.50","1,143.50","1,148.30","1,138.20","1,139.30",0.10,△2.83
"선물환( NDF,1 월물)","1,100.90","1,173.70","1,144.50","1,149.00","1,138.90","1,139.90",0.09,△2.88
￦/ CNY,177.21,180.70,177.19,176.72,175.75,175.73,△0.01,△2.75
￦/ EUR,"1,333.89","1,281.54","1,294.44","1,296.89","1,291.86","1,297.78",0.46,1.27
￦/ Y100,913.04,974.08,"1,018.62","1,032.74","1,046.52","1,062.19",1.50,9.04
Y/U$,120.40,120.37,112.26,111.19,108.76,107.26,△1.38,△10.89
U$/EUR,1.2134,1.0930,1.1320,1.1294,1.1350,1.1391,0.36,4.22
CNY/U$,6.2210,6.4900,6.4656,6.4905,6.4853,6.4752,△0.16,△0.23

[국제금리·주가·가산금리]
,‘14 말,‘15 말,‘16.3 말,4.27,4.28,4.29,전일비,‘15 말비
"LIBOR (Dollar, 3 월, %)",0.26,0.61,0.63,0.63,0.64,-,0.00,0.03
"T/NOTE (10 년, %)",2.18,2.27,1.77,1.85,1.83,-,△0.10,△0.44
DOW,"17,823","17,425","17,685","18,042","17,831",-,△0.89%,2.33%
NIKKEI,"17,464","19,034","16,759","17,290","16,666",-,△3.61%,△12.44%
SANGHAI COMP,"3,235","3,565","3,002","2,954","2,946","2,938",△0.25%,△17.59%
"외평채가산금리(23년물, bp)",48,43,38,34,34,-,0,△9
"CDS (5 년, bp)",54,55,64,64,64,65,1,10
"CRS (1 년, %)",1.49,1.35,1.36,1.35,1.33,1.28,△0.05,△0.08

[유가·곡물·원자재]
,‘14 말,‘15 말,‘16.3 말,4.26,4.27,4.28,전일비,‘15 말비
Dubai ($/ 배럴),53.60,32.19,35.05,40.83,42.59,43.22,5.85%,34.27%
WTI 선물 ($/배럴),53.27,37.04,38.34,44.04,45.33,46.03,4.52%,24.27%
Brent 선물 ($/배럴),57.33,37.28,39.60,45.74,47.18,48.14,5.25%,29.13%
원당 (센트/파운드),14.52,15.24,15.35,15.77,15.55,15.32,△2.85%,0.52%
밀 (센트/부셀),590,470,474,488,484,486,△0.46%,3.30%
콩 (센트/부셀),"1,019",871,911,"1,027","1,029","1,028",0.02%,17.93%
옥수수 (센트/부셀),397,359,352,387,385,391,1.03%,9.06%
동 ($/톤),"6,359","4,702","4,856","4,936","4,932","4,913",△0.47%,4.48%
알루미늄 ($/톤),"1,832","1,508","1,492","1,632","1,643","1,649",1.04%,9.39%
