일일경제지표('21.7.15)
"data_date,2021-07-15"

[표]
일일경제지표 (21. 7. 15. 목) 17:30 현재

[금리]
,‘19 말,‘20 말,‘21.6 말,7.13,7.14,7.15,전일비,20말비
콜금리 (1일),1.31,0.57,0.58,0.52,0.58,0.59,0.01,0.02
CD (91 일),1.53,0.66,0.68,0.69,0.69,0.69,0,0.03
국고채 (3년),1.36,0.98,1.45,1.42,1.39,1.50,0.11,0.52
"회사채 (3년, AA-)",1.94,2.21,1.97,1.90,1.87,1.94,0.07,△0.27
"외국인 채권 순매수 * (상장 , 억원)",100,"5,408","13,500","3,404","4,668","7,173","2,505",-

[주가]
,‘19 말,‘20 말,‘21.6 말,7.13,7.14,7.15,전일비,20말비
KOSPI,"2,197.67","2,873.47","3,296.68","3,271.38","3,264.81","3,286.22",0.66%,14.36%
"- 거래대금 (억원, 일평균)","54,296","179,288","175,957","134,103","159,141","151,027",△5.10%,-
KOSDAQ,669.83,968.42,"1,029.96","1,043.31","1,044.98","1,054.31",0.89%,8.87%
"외국인순매수 (억원, 기간 중 * )","△2,816","1,840",662,"4,268","△2,495","2,164",△187,-

[환율]
,‘19 말,‘20 말,‘21.6 말,7.13,7.14,7.15,전일비,20말비
￦/ U$,"1,156.40","1,086.30","1,126.10","1,145.40","1,148.50","1,141.50",△0.61,5.08
"선물환( NDF,1 월물)","1,155.40","1,086.30","1,126.60","1,145.50","1,148.90","1,141.80",△0.62,5.11
￦/ CNY,165.50,166.04,174.33,177.12,177.46,176.67,△0.45,6.40
￦/ Y100,"1,059.75","1,051.19","1,019.28","1,037.97","1,039.74","1,039.71",△0.00,△1.09
Y/U$,109.12,103.34,110.48,110.35,110.46,109.79,△0.61,6.24
U$/EUR,1.1194,1.2279,1.1898,1.1859,1.1790,1.1840,0.42,△3.58
CNY/U$,6.9848,6.5305,6.4539,6.4657,6.4716,6.4597,△0.18,△1.08

[국제금리·주가·가산금리]
,‘19 말,‘20 말,’21.6 말,7.13,7.14,7.15,전일비,20말비
"LIBOR ($, 3 월, %)",1.94,0.25,0.15,0.13,0.13,0.13,△0.01,△0.13
DOW,"28,645","30,410","34,292","34,996","34,889","34,933",0.13%,14.88%
NIKKEI,"23,657","27,444","28,792","28,718","28,608","28,279",△1.15%,3.04%
SHANGHAI COMP,"3,040","3,473","3,591","3,567","3,529","3,565",1.02%,2.64%
"외평채가산금리(30년만기, bp)",50,32,19,19,18,19,1.00,△13.00
"CDS (5 년, bp)",22,22,18,18,18,18,0.01,△3.94
"CRS (1 년, %)",0.83,0.24,0.43,0.39,0.39,0.45,0.06,0.21

[유가·곡물·원자재]
,‘19 말,‘20 말,’21.6 말,7.12,7.13,7.14,전일비,20말비
Dubai ($/ 배럴),67.27,51.14,72.87,73.54,74.36,74.72,0.48%,46.11%
WTI 선물 ($/배럴),61.06,48.52,73.47,74.10,75.25,73.13,△2.82%,50.72%
밀 (센트/부셀),559,641,680,641,634,654,3.15%,2.03%
옥수수 (센트/부셀),388,484,589,533,541,559,3.33%,15.50%
동 ($/톤),"6,156","7,742","9,385","9,347","9,310","9,309",△0.01%,20.24%
알루미늄 ($/톤),"1,800","1,978","2,523","2,449","2,478","2,509",1.25%,26.85%

[반도체]
,‘19,‘20,’21.4 월,5월,6월,7.12,7.13,7.14,7월 (~14)
"D 램(8 G) 현물가($, 기간평균)",3.93,3.07,4.41,4.48,4.52,4.60,4.59,4.59,4.59
"(%, YoY)",△51.7,△21.9,25.9,41.3,54.2,71.4,71.5,71.5,71.7
"낸드(128 G) 현물가($, 기간평균)",5.34,5.71,6.00,6.17,6.51,6.71,6.71,6.72,6.70
"(%, YoY)",△15.9,7.0,4.2,9.2,20.2,23.6,23.6,23.8,23.0
