일일 경제지표('24.12.24)
"data_date,2024-12-24"

[표]
일일경제지표 (24. 12. 24 화) 17:30 현재

[금리]
,’ 22말,’ 23말,’ 24.11말,12/20,12/23,12/24,전일비,23말비
콜금리 (1일.%),3.21,3.55,3.05,3.03,3.10,3.10,0,△0.45
"CD (91 일, %)",3.98,3.83,3.29,3.39,3.39,3.40,0.01,△0.43
"국고채 (3년, %)",3.72,3.15,2.61,2.63,2.62,2.63,0.01,△0.53
"회사채 (3년, AA-, %)",5.23,3.90,3.19,3.30,3.29,3.31,0.02,△0.59
"외국인 채권 순매수 * (상장, 억원)","△2,319",△406,"△2,237","1,144","△1,679",△131,"1,548",-

[주가]
,’ 22말,’ 23말,’ 24.11말,12/20,12/23,12/24,전일비,23말비
KOSPI,"2,236.40","2,655.28","2,455.91","2,404.15","2,442.01","2,440.52",△0.06%,△8.09%
- 거래대금 (억원),"60,365","94,189","91,064","91,284","71,826","66,427","△5,399",-
KOSDAQ,679.29,866.57,678.19,668.31,679.24,680.11,0.13%,△21.52%
"외국인순매수 (억원, 기간 중 * )","△2,792","6,937","△8,578","△9,056","2,753",△240,"△2,993",-

[환율]
,’ 22말,’ 23말,’ 24.11말,12/20,12/23,12/24,전일비,23말비
￦/ U$,"1,264.50","1,288.00","1,394.70","1,451.40","1,452.00","1,456.40",0.30,13.07
"선물환( NDF,1 월물)","1,265.30","1,286.80","1,393.40","1,449.40","1,450.92","1,454.70",0.31,13.05
￦/ CNY,181.44,181.37,192.42,198.20,198.45,198.51,0.03,9.45
￦/ Y100,945.56,912.25,929.43,925.28,927.30,927.64,0.04,1.69
Y/U$,133.73,141.19,150.06,156.86,156.59,157.00,0.26,11.20
U$/EUR,1.0617,1.1105,1.0571,1.0362,1.0436,1.0395,△0.39,△6.39
CNY/U$,6.9630,7.1092,7.2344,7.2983,7.2987,7.2986,△0.00,2.66

[국제금리·주가·가산금리]
,’ 22말,’ 23말,’ 24.11말,12/20,12/23,12/24,전일비,23말비
"SOFR ($, 3 월, %)",4.75,5.61,4.50,4.34,4.33,4.33,△0.00,△1.28
DOW,"33,221","37,657","44,722","42,342","42,840","42,907",0.16%,13.94%
NIKKEI,"26,095","33,540","38,208","38,702","39,161","39,037",△0.32%,16.39%
SHANGHAI COMP,"3,089","2,955","3,326","3,368","3,351","3,394",1.26%,14.85%
"외평채가산금리(30년만기, bp)",43,34,24,27,28,28,0,△6.00
"CDS (5 년, bp)",55,28,34,37,37,37,△0.41,8.95
"CRS SOFR (1 년, %)",2.81,2.83,2.26,2.27,2.27,2.30,0.03,△0.54

[유가·곡물·원자재]
,’ 22말,’ 23말,’ 24.11말,12/19,12/20,12/23,전일비,23말비
Dubai ($/ 배럴),78.77,77.08,71.86,72.64,72.64,73.33,0.95%,△4.87%
WTI 선물 ($/배럴),80.26,71.65,68.72,69.91,69.46,69.24,△0.32%,△3.36%
밀 (센트/부셀),792,628,549,533,533,541,1.50%,△13.85%
옥수수 (센트/부셀),679,471,428,441,446,448,0.45%,△4.88%
동 ($/톤),"8,387","8,476","8,851","8,796","8,793","8,838",0.51%,4.27%
알루미늄 ($/톤),"2,361","2,336","2,564","2,470","2,483","2,504",0.85%,7.19%

[반도체]
,’ 22말,’ 23말,’ 24.9말,’ 24.10말,’ 24.11말,12/19,12/20,12/23,12월( ∼23)
"D 램(8 G) 현물가($, 기간평균)",3.07,1.74,1.96,1.91,1.84,1.74,1.74,1.74,1.76
"(%, YoY)",△23.0,△14.8,33.0,23.4,10.8,△0.4,△0.4,△0.7,0.9
"낸드(128 G) 현물가($, 기간평균)",7.25,6.38,6.71,6.75,6.68,6.63,6.63,6.63,6.64
"(%, YoY)",10.7,△2.3,6.1,5.4,4.0,3.9,3.9,4.1,4.0
