일일경제지표('16.12.8.)
"data_date,2016-12-08"

[표]
일일경제지표 (16. 12. 8. 목) 17:30 현재

[표]
KOSPI 지수(1.97%상승) 달러 환율(0.80%하락)

[금리]
,‘14 말,‘15 말,‘16.11 말,12/6,12/7,12/8,전일비,‘15 말비
콜금리 (1일),2.01,1.49,1.20,1.20,1.23,1.23,0,△0.26
CD (91 일),2.13,1.67,1.52,1.54,1.54,1.54,0,△0.13
국고채 (3년),2.10,1.66,1.71,1.74,1.74,1.71,△0.02,0.05
국고채 (5년),2.28,1.81,1.90,1.93,1.93,1.89,△0.04,0.08
"회사채 (3년, AA-)",2.43,2.11,2.15,2.19,2.19,2.17,△0.02,0.05
"외국인 채권 순매수 * (상장 , 억원)","46,746",830,852,38,943,175,△768,-

[주가]
,‘14 말,‘15 말,‘16.11 말,12/6,12/7,12/8,전일비,‘15 말비(%)
KOSPI,"1,915.59","1,961.31","1,983.48","1,989.86","1,991.89","2,031.07",1.97%,3.56%
"- 거래대금 (억원, 일평균)","36,950","37,066","55,590","37,020","36,212","47,428","10,832",-
KOSDAQ,542.97,682.35,596.11,581.35,578.52,584.62,1.05%,△14.32%
"외국인순매수 (억원, 기간 중 * )","1,546",△538,"2,477","1,180",707,932,225,-

[환율]
,‘14 말,‘15 말,‘16.11 말,12/6,12/7,12/8,전일비,‘15 말비(%)
￦/ U$,"1,099.30","1,172.50","1,169.10","1,171.40","1,167.90","1,158.50",△0.80,△1.19
"선물환( NDF,1 월물)","1,100.90","1,173.70","1,168.80","1,171.40","1,168.10","1,158.60",△0.81,△1.29
￦/ CNY,177.21,180.70,169.76,170.30,169.52,168.45,△0.63,△6.78
￦/ EUR,"1,333.89","1,281.54","1,242.87","1,258.90","1,252.11","1,247.24",△0.39,△2.68
￦/ Y100,913.04,974.08,"1,037.82","1,027.27","1,022.41","1,020.70",△0.17,4.79
Y/U$,120.40,120.37,112.65,114.03,114.23,113.50,△0.64,△5.71
U$/EUR,1.2134,1.0930,1.0631,1.0747,1.0721,1.0766,0.42,△1.50
CNY/U$,6.2210,6.4900,6.8857,6.8742,6.8886,6.8799,△0.13,6.01

[국제금리·주가·가산금리]
,‘14 말,‘15 말,‘16.11 말,12/6,12/7,12/8,전일비,‘15 말비
"LIBOR (Dollar, 3 월, %)",0.26,0.61,0.93,0.95,0.95,-,0.00,0.34
"T/NOTE (10 년, %)",2.18,2.27,2.38,2.39,2.34,-,△0.05,0.07
DOW,"17,823","17,425","19,124","19,252","19,550",-,1.55%,12.19%
NIKKEI,"17,464","19,034","18,308","18,361","18,497","18,765",1.45%,△1.41%
SHANGHAI COMP,"3,235","3,565","3,248","3,200","3,222","3,216",△0.20%,△9.81%
"외평채가산금리(23년물, bp)",48,43,25,26,25,-,△1,△18
"CDS (5 년, bp)",54,55,50,46,43,43,0,△12
"CRS (1 년, %)",1.49,1.35,1.01,1.05,1.09,1.11,0.02,△0.24

[유가·곡물·원자재]
,‘14 말,‘15 말,‘16.11 말,12/5,12/6,12/7,전일비,‘15 말비
Dubai ($/ 배럴),53.60,32.19,44.12,51.64,51.65,50.35,△2.52%,56.42%
WTI 선물 ($/배럴),53.27,37.04,49.44,51.79,50.93,49.77,△2.28%,34.37%
Brent 선물 ($/배럴),57.33,37.28,50.47,54.94,53.93,53.00,△1.72%,42.17%
원당 (센트/파운드),14.52,15.24,19.81,18.94,19.51,19.63,0.62%,28.81%
밀 (센트/부셀),590,470,381,408,407,401,△1.41%,△14.68%
콩 (센트/부셀),"1,019",871,"1,032","1,044","1,048","1,049",0.12%,20.40%
옥수수 (센트/부셀),397,359,337,359,361,351,△2.77%,△2.30%
동 ($/톤),"6,359","4,702","5,740","5,852","5,856","5,904",0.81%,25.55%
알루미늄 ($/톤),"1,832","1,508","1,723","1,728","1,718","1,728",0.58%,14.63%
