일일경제지표('18.2.13.)
"data_date,2018-02-13"

[표]
일일경제지표 (18. 2. 13. 화) 17:30 현재

[표]
KOSPI 지수(0.41%상승) 달러 환율(0.01%하락)

[금리]
,‘16 말,‘17 말,‘18.1 말,2.9,2.12,2.13,전일비,‘17 말비
콜금리 (1일),1.24,1.55,1.49,1.47,1.50,1.51,0.01,△0.04
CD (91 일),1.52,1.66,1.65,1.65,1.65,1.65,0,△0.01
국고채 (3년),1.64,2.14,2.27,2.28,2.30,2.28,△0.02,0.14
국고채 (5년),1.80,2.34,2.57,2.53,2.57,2.54,△0.02,0.20
"회사채 (3년, AA-)",2.13,2.68,2.81,2.81,2.84,2.82,△0.02,0.14
"외국인 채권 순매수 * (상장 , 억원)",297,△66,"1,464","2,395","8,160",△20,"△8,180",46.00

[주가]
,‘16 말,‘17 말,‘18.1 말,2.9,2.12,2.13,전일비,‘17 말비(%)
KOSPI,"2,026.46","2,467.49","2,566.46","2,363.77","2,385.38","2,395.16",0.41%,△2.93%
"- 거래대금 (억원, 일평균)",-,"42,744","107,566","83,777","64,486","72,548",9.41%,-
KOSDAQ,631.44,798.42,913.57,842.60,843.24,829.39,△1.64%,3.88%
"외국인순매수 (억원, 기간 중 * )","1,380","1,409","△8,420","△5,363","△1,793","2,632","4,425",-

[환율]
,‘16 말,‘17 말,‘18.1 말,2.9,2.12,2.13,전일비,‘17 말비(%)
￦/ U$,"1,207.70","1,070.50","1,067.90","1,092.10","1,084.60","1,084.50",△0.01,1.31
"선물환( NDF,1 월물)","1,207.70","1,070.00","1,067.50","1,091.60","1,083.90","1,084.20",0.03,1.33
￦/ CNY,173.68,163.90,169.66,173.16,171.52,170.99,△0.31,4.33
￦/ EUR,"1,262.53","1,276.79","1,328.36","1,338.81","1,332.65","1,336.32",0.28,4.66
￦/ Y100,"1,035.41",949.28,982.97,"1,002.29",997.79,"1,003.70",0.59,5.73
Y/U$,116.64,112.77,108.64,108.96,108.70,108.05,△0.60,△4.19
U$/EUR,1.0454,1.1927,1.2439,1.2259,1.2287,1.2322,0.28,3.31
CNY/U$,6.9550,6.5426,6.3000,6.3260,6.3070,6.3294,0.36,△3.26

[국제금리·주가·가산금리]
,‘16 말,‘17 말,‘18.1 말,2.9,2.12,2.13,전일비,‘17 말비
"LIBOR (Dollar, 3 월, %)",1.00,1.69,1.77,1.82,1.82,-,0,0.13
DOW,"19,763","24,719","26,149","24,191","24,601",-,1.70%,△0.48%
NIKKEI,"19,114","22,765","23,098","21,383",,"21,245",△0.65%,△6.68%
SHANGHAI COMP,"3,098","3,307","3,481","3,130","3,154","3,185",0.98%,△3.70%
"외평채가산금리(23년물, bp)",25,76,60,61,61,-,0,△15.00
"CDS (5 년, bp)",44,56,50,53,57,56,△1,△0.44
"CRS (1 년, %)",1.00,1.38,1.28,1.28,1.28,1.27,△0.00,△0.11

[유가·곡물·원자재]
,‘16 말,‘17 말,‘18.1 말,2.8,2.9,2.12,전일비,‘17 말비
Dubai ($/ 배럴),53.83,64.33,65.77,62.26,61.12,60.29,△1.36%,△6.28%
WTI 선물 ($/배럴),53.72,60.42,64.73,61.15,59.20,59.29,0.15%,△1.87%
Brent 선물 ($/배럴),56.82,66.87,69.05,64.81,62.79,62.59,△0.32%,△6.40%
원당 (센트/파운드),19.51,15.16,13.23,13.58,13.67,13.73,0.44%,△9.43%
밀 (센트/부셀),408,427,452,456,449,464,3.34%,8.67%
콩 (센트/부셀),"1,004",962,996,988,983,"1,002",1.93%,4.16%
옥수수 (센트/부셀),352,351,362,366,362,367,1.38%,4.56%
동 ($/톤),"5,501","7,157","7,101","6,836","6,755","6,787",0.47%,△5.17%
알루미늄 ($/톤),"1,714","2,242","2,225","2,168","2,142","2,130",△0.56%,△5.00%
