일일경제지표('20.12.31)
"data_date,2020-12-31"

[표]
일일경제지표 (20. 12. 31. 목) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.11 말,12.29,12.30,12.31,전일비,19말비
콜금리 (1일),1.82,1.31,0.52,0.55,0.54,0.57,0.03,△0.74
CD (91 일),1.93,1.53,0.66,0.66,0.66,0.66,0,△0.87
국고채 (3년),1.82,1.36,0.98,0.97,0.98,0.98,△0.00,△0.38
"회사채 (3년, AA-)",2.29,1.94,2.24,2.20,2.21,2.21,0,0.27
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,"3,586",△3,"5,408","5,408",0,-

[주가]
,‘18 말,‘19 말,‘20.11 말,12.29,12.30,12.31,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,591.34","2,820.51","2,873.47","2,873.47",0,30.75%
"- 거래대금 (억원, 일평균)","41,207","54,296","126,416","241,977","192,990","179,288",△7.10%,-
KOSDAQ,675.65,669.83,886.11,957.41,968.42,968.42,0,44.58%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△24,831","△2,371","1,825","1,840",1,-

[환율]
,‘18 말,‘19 말,‘20.11 말,12.29,12.30,12.31,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,106.50","1,092.10","1,086.30","1,086.30",0,△6.06
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,106.80","1,092.00","1,086.30","1,086.30",0,△5.98
￦/ CNY,162.79,165.50,168.02,167.24,166.48,166.04,△0.26,0.33
￦/ Y100,"1,008.86","1,059.75","1,065.17","1,053.13","1,051.19","1,051.19",0,△0.81
Y/U$,110.59,109.12,103.88,103.70,103.34,103.34,0,△5.30
U$/EUR,1.1455,1.1194,1.1973,1.2239,1.2279,1.2279,0,9.69
CNY/U$,6.8522,6.9848,6.5892,6.5306,6.5305,6.5305,0,△6.50

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.11 말,12.29,12.30,12.31,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.23,0.24,0.24,0.25,0.01,△1.69
DOW,"23,062","28,645","29,910","30,404","30,336","30,410",0.24%,6.84%
NIKKEI,"20,015","23,657","26,434","27,568","27,444","27,444",0,16.01%
SHANGHAI COMP,"2,494","3,040","3,392","3,379","3,414","3,473",1.72%,14.37%
"외평채가산금리(23년물, bp)",63,37,20,14,14,15,1.00,△21.00
"CDS (5 년, bp)",40,22,22,23,22,22,△0.11,0.13
"CRS (1 년, %)",1.21,0.83,0.27,0.24,0.24,0.24,0,△0.59

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.11 말,12.28,12.29,12.30,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,47.02,51.07,50.97,51.05,0.16%,△24.11%
WTI 선물 ($/배럴),45.33,61.06,45.34,47.62,48.00,48.40,0.83%,△20.73%
밀 (센트/부셀),512,559,585,614,619,641,3.55%,14.67%
옥수수 (센트/부셀),376,388,426,457,466,475,1.93%,22.42%
동 ($/톤),"6,018","6,156","7,675","7,793","7,840","7,804",△0.46%,26.77%
알루미늄 ($/톤),"1,881","1,800","2,015","2,022","2,000","1,996",△0.20%,10.89%

[반도체]
,‘18,‘19,’20.9 월,10월,11월,12.28,12.29,12.30,12월 (~30)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.90,2.92,2.82,3.45,3.45,3.46,2.89
"(%, YoY)",8.3,△51.7,△11.2,△3.0,0.3,13.9,13.9,14.2,△0.9
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.64,5.65,5.64,5.60,5.60,5.60,5.61
"(%, YoY)",△2.6,△15.9,△0.9,△2.3,△4.4,△6.1,△6.3,△6.3,△5.4
