일일경제지표('20.10.21)
"data_date,2020-10-21"

[표]
일일경제지표 (20. 10. 21. 수) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.9 말,10.19,10.20,10.21,전일비,19말비
콜금리 (1일),1.82,1.31,0.48,0.47,0.48,0.49,0.01,△0.82
CD (91 일),1.93,1.53,0.63,0.63,0.63,0.63,0,△0.90
국고채 (3년),1.82,1.36,0.85,0.89,0.91,0.93,0.02,△0.43
"회사채 (3년, AA-)",2.29,1.94,2.19,2.23,2.24,2.26,0.02,0.32
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,"3,237","3,298",△835,"△3,470","△2,635",-

[주가]
,‘18 말,‘19 말,‘20.9 말,10.19,10.20,10.21,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,327.89","2,346.74","2,358.41","2,370.86",0.53%,7.88%
"- 거래대금 (억원, 일평균)","41,207","54,296","89,711","111,414","104,907","118,335",12.80%,-
KOSDAQ,675.65,669.83,848.15,822.25,824.65,830.67,0.73%,24.01%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△1,350",656,"1,360",△662,△149,-

[환율]
,‘18 말,‘19 말,‘20.9 말,10.19,10.20,10.21,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,169.50","1,142.00","1,139.40","1,131.90",△0.66,△2.12
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,170.00","1,142.00","1,139.50","1,131.80",△0.68,△2.04
￦/ CNY,162.79,165.50,171.50,170.64,170.50,170.00,△0.29,2.72
￦/ Y100,"1,008.86","1,059.75","1,107.27","1,083.49","1,079.80","1,075.64",△0.39,1.50
Y/U$,110.59,109.12,105.62,105.40,105.52,105.23,△0.27,△3.56
U$/EUR,1.1455,1.1194,1.1670,1.1708,1.1773,1.1859,0.73,5.94
CNY/U$,6.8522,6.9848,6.8225,6.7005,6.6810,6.6447,△0.54,△4.87

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.9 말,10.19,10.20,10.21,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.22,0.22,0.22,0.21,△0.01,△1.74
DOW,"23,062","28,645","27,584","28,606","28,195","28,309",0.40%,△0.54%
NIKKEI,"20,015","23,657","23,539","23,671","23,567","23,639",0.31%,△0.07%
SHANGHAI COMP,"2,494","3,040","3,237","3,313","3,328","3,325",△0.09%,9.49%
"외평채가산금리(23년물, bp)",63,37,38,33,33,32,△1.00,△4.00
"CDS (5 년, bp)",40,22,27,25,26,26,△0.38,3.29
"CRS (1 년, %)",1.21,0.83,0.08,0.10,0.14,0.16,0.03,△0.67

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.9 말,10.16,10.19,10.20,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,40.36,41.88,41.77,41.58,△0.45%,△38.19%
WTI 선물 ($/배럴),45.33,61.06,40.22,40.88,40.83,41.46,1.54%,△32.10%
밀 (센트/부셀),512,559,578,625,627,632,0.80%,13.06%
옥수수 (센트/부셀),376,388,379,402,405,409,0.99%,5.41%
동 ($/톤),"6,018","6,156","6,610","6,728","6,755","6,814",0.87%,10.69%
알루미늄 ($/톤),"1,881","1,800","1,737","1,866","1,848","1,826",△1.19%,1.44%

[반도체]
,‘18,‘19,‘20.7 월,8월,9월,10.16,10.19,10.20,10월 (~20)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.68,2.58,2.90,2.92,2.91,2.90,2.94
"(%, YoY)",8.3,△51.7,△21.0,△27.0,△11.2,△3.1,△3.1,△3.0,△2.2
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.45,5.57,5.64,5.64,5.64,5.64,5.64
"(%, YoY)",△2.6,△15.9,4.6,2.9,△0.9,△2.5,△2.5,△2.5,△2.4
