일일경제지표('18.9.17.)
"data_date,2018-09-17"

[표]
일일경제지표 (18. 9. 17. 월) 17:30 현재

[표]
KOSPI 지수(0.66%하락) 달러 환율(0.90%상승)

[금리]
,‘16 말,‘17 말,‘18.8 말,9.13,9.14,9.17,전일비,‘17 말비
콜금리 (1일),1.24,1.55,1.51,1.51,1.52,1.51,△0.01,△0.04
CD (91 일),1.52,1.66,1.65,1.65,1.65,1.65,0,△0.01
국고채 (3년),1.64,2.14,1.92,1.92,1.96,1.97,0.01,△0.17
국고채 (5년),1.80,2.34,2.14,2.08,2.12,2.14,0.01,△0.21
"회사채 (3년, AA-)",2.13,2.68,2.42,2.37,2.41,2.41,0.01,△0.27
"외국인 채권 순매수 * (상장 , 억원)",297,△66,△275,"1,601",591,478,△113.0,544

[주가]
,‘16 말,‘17 말,‘18.8 말,9.13,9.14,9.17,전일비,‘17 말비(%)
KOSPI,"2,026.46","2,467.49","2,322.88","2,287.39","2,318.25","2,303.01",△0.66%,△6.67%
"- 거래대금 (억원, 일평균)",-,"42,744","55,258","65,989","58,392","49,303",△15.57%,-
KOSDAQ,631.44,798.42,816.97,829.07,834.91,828.88,△0.72%,3.82%
"외국인순매수 (억원, 기간 중 * )","1,380","1,409","4,213","△3,020","2,852","1,420","△1,432",-

[환율]
,‘16 말,‘17 말,‘18.8 말,9.13,9.14,9.17,전일비,‘17 말비(%)
￦/ U$,"1,207.70","1,070.50","1,112.90","1,122.40","1,116.60","1,126.60",0.90,5.24
"선물환( NDF,1 월물)","1,207.70","1,070.00","1,112.30","1,121.80","1,115.90","1,125.90",0.90,5.22
￦/ CNY,173.68,163.90,162.94,163.87,163.03,164.02,0.61,0.07
￦/ EUR,"1,262.53","1,276.79","1,299.87","1,305.01","1,305.75","1,310.69",0.38,2.66
￦/ Y100,"1,035.41",949.28,"1,002.97","1,007.45",997.68,"1,006.16",0.85,5.99
Y/U$,116.64,112.77,110.96,111.41,111.92,111.97,0.04,△0.71
U$/EUR,1.0454,1.1927,1.1680,1.1627,1.1694,1.1634,△0.51,△2.46
CNY/U$,6.9550,6.5426,6.8291,6.8469,6.8525,6.8692,0.24,4.99

[국제금리·주가·가산금리]
,‘16 말,‘17 말,‘18.8 말,9.13,9.14,9.17,전일비,‘17 말비
"LIBOR (Dollar, 3 월, %)",1.00,1.69,2.32,2.33,2.34,-,0.01,0.64
DOW,"19,763","24,719","25,965","26,146","26,155",-,0.03%,5.81%
NIKKEI,"19,114","22,765","22,865","22,821","23,095",-,△2.27%,1.45%
SHANGHAI COMP,"3,098","3,307","2,721","2,684","2,682","2,655",△1.01%,△19.73%
"외평채가산금리(23년물, bp)",25,76,65,65,64,-,△1,△12.00
"CDS (5 년, bp)",44,56,43,38,39,39,0,△17.04
"CRS (1 년, %)",1.00,1.38,1.25,1.34,1.36,1.34,△0,△0.03

[유가·곡물·원자재]
,‘16 말,‘17 말,‘18.8 말,9.12,9.13,9.14,전일비,‘17 말비
Dubai ($/ 배럴),53.83,64.33,72.49,77.45,77.20,76.31,△1.15%,18.62%
WTI 선물 ($/배럴),53.72,60.42,67.85,70.37,68.59,68.99,0.58%,14.18%
Brent 선물 ($/배럴),56.82,66.87,73.84,79.74,78.18,78.09,△0.12%,16.78%
원당 (센트/파운드),19.51,15.16,10.5,11.67,11.68,11.16,△4.45%,△26.39%
밀 (센트/부셀),408,427,552,507,497,512,3.02%,19.91%
콩 (센트/부셀),"1,004",962,875,840,833,831,△0.24%,△13.62%
옥수수 (센트/부셀),352,351,373,353,351,352,0.28%,0.28%
동 ($/톤),"5,501","7,157","6,038","5,891","5,991","5,947",△0.73%,△16.91%
알루미늄 ($/톤),"1,714","2,242","2,046","1,982","2,015","2,016",0.05%,△10.08%
