일일 경제지표('23.5.17)
"data_date,2023-05-17"

[표]
일일경제지표 (23. 5. 17. 수) 17:30 현재

[금리]
,’21 말,’22 말,’23.4 말,5/15,5/16,5/17,전일비,22말비
콜금리 (1일),1.11,3.21,3.48,3.54,3.58,3.59,0.01,0.38
CD (91 일),1.29,3.98,3.52,3.62,3.62,3.65,0.03,0.44
국고채 (3년),1.80,3.72,3.29,3.28,3.24,3.27,0.03,0.06
"회사채 (3년, AA-)",2.42,5.23,4.11,4.09,4.06,4.08,0.03,0.87
"외국인 채권 순매수 * (상장 , 억원)","1,858","△2,319","1,856","13,177","6,688","11,692","5,004",-

[주가]
,‘21 말,’22 말,’23.4 말,5/15,5/16,5/17,전일비,22말비
KOSPI,"2,977.65","2,236.40","2,501.53","2,479.35","2,480.24","2,494.66",0.58%,11.55%
"- 거래대금 (억원, 일평균)","132,923","80,323","148,631","115,250","99,856","108,806",8.96%,-
KOSDAQ,"1,033.98",679.29,842.83,814.53,816.75,834.19,2.14%,22.80%
"외국인순매수 (억원, 기간 중 * )","△2,389","△2,792",△641,"△1,720","1,619","3,868",139,-

[환율]
,‘21 말,’22. 말,’23.4 말,5/15,5/16,5/17,전일비,22말비
￦/ U$,"1,188.80","1,264.50","1,337.70","1,337.00","1,338.60","1,337.20",△0.10,5.75
"선물환( NDF,1 월물)","1,190.00","1,265.30","1,336.60","1,334.30","1,336.70","1,335.90",△0.06,5.58
￦/ CNY,186.51,181.44,193.37,192.44,192.11,191.72,△0.20,5.67
￦/ Y100,"1,032.48",945.56,989.42,982.51,984.55,977.91,△0.67,3.42
Y/U$,115.14,133.73,135.20,136.08,135.96,136.74,0.57,2.25
U$/EUR,1.1318,1.0617,1.1010,1.0863,1.0863,1.0858,△0.05,2.27
CNY/U$,6.3681,6.9630,6.9147,6.9552,6.9654,6.9930,0.40,0.43

[국제금리·주가·가산금리]
,’21 말,’22 말,’23.4 말,5/15,5/16,5/17,전일비,22말비
"LIBOR ($, 3 월, %)",0.22,4.75,5.18,5.32,5.33,5.35,0.01,0.59
DOW,"36,489","33,221","32,859","33,301","33,349","33,012",△1.01%,△0.63
NIKKEI,"28,792","26,095","28,041","29,626","29,843","30,094",0.84%,15.33
SHANGHAI COMP,"3,619","3,089","3,273","3,311","3,291","3,284",△0.21%,6.31
"외평채가산금리(30년만기, bp)",15,43,39,38,39,39,0,△4.00
"CDS (5 년, bp)",21,55,45,44,44,43,△0.29,△11.14
"CRS (1 년, %)",1.00,3.53,3.11,3.00,3.02,3.08,0.06,△0.47

[유가·곡물·원자재]
,’21 말,’22 말,’23.4 말,5/12,5/15,5/16,전일비,22말비
Dubai ($/ 배럴),77.12,78.77,79.73,73.54,73.33,74.60,1.73%,△5.29%
WTI 선물 ($/배럴),75.21,80.26,76.78,70.04,71.11,70.86,△0.35%,△11.71%
밀 (센트/부셀),771,792,634,635,661,648,△1.97%,△18.18%
옥수수 (센트/부셀),593,679,585,586,593,581,△2.02%,△14.43%
동 ($/톤),"9,692","8,387","8,571","8,240","8,287","8,076",△2.55%,△3.71%
알루미늄 ($/톤),"2,806","2,361","2,342","2,231","2,261","2,236",△1.11%,△5.29%

[반도체]
,’21,‘22,‘23.2 월,‘23.3 월,‘23.4 월,5/12,5/15,5/16,5월 (~16)
"D 램(8 G) 현물가($, 기간평균)",3.99,3.07,1.83,1.63,1.71,1.58,1.58,1.58,1.60
"(%, YoY)",29.9,△23.0,△52.9,△54.8,△55.5,△53.5,△53.5,△53.5,△53.2
"낸드(128 G) 현물가($, 기간평균)",6.55,7.25,6.46,6.42,6.40,6.39,6.39,6.39,6.39
"(%, YoY)",14.7,10.7,△15.5,△18.7,△20.9,△22.7,△22.8,△22.8,△22.5
