일일경제지표('19.7.1)
"data_date,2019-07-01"

[표]
일일경제지표 (19. 7. 1. 월) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.6 말,6.27,6.28,7.1,전일비,18말비
콜금리 (1일),1.55,1.82,1.76,1.75,1.76,1.83,0.07,0.01
CD (91 일),1.66,1.93,1.78,1.78,1.78,1.78,0,△0.15
국고채 (3년),2.14,1.82,1.47,1.49,1.47,1.48,0.01,△0.34
"회사채 (3년, AA-)",2.68,2.29,1.97,1.98,1.97,1.97,0.01,△0.31
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","4,334",985,"4,334","1,816","△2,518",-

[주가]
,‘17 말,‘18 말,‘19.6 말,6.27,6.28,7.1,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,130.62","2,134.32","2,130.62","2,129.74",△0.04%,4.35%
"- 거래대금 (억원, 일평균)","42,744","41,207","51,224","44,558","51,224","42,824",△16.40%,-
KOSDAQ,798.42,675.65,690.53,698.21,690.53,696.00,0.79%,3.01%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730","2,888",707,"2,888","2,281",△21,-

[환율]
,‘17 말,‘18 말,‘19.6 말,6.27,6.28,7.1,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,154.70","1,158.10","1,154.70","1,158.80",0.36,3.86
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,153.80","1,157.10","1,153.80","1,157.70",0.34,3.84
￦/ CNY,163.90,162.79,168.31,168.45,168.31,169.28,0.58,3.99
￦/ Y100,949.28,"1,008.86","1,072.24","1,071.62","1,072.24","1,068.71",△0.33,5.93
Y/U$,112.77,110.59,107.69,108.07,107.69,108.43,0.69,△1.95
U$/EUR,1.1927,1.1455,1.1369,1.1357,1.1369,1.1330,△0.34,△1.09
CNY/U$,6.5426,6.8522,6.8609,6.8787,6.8609,6.8456,△0.22,△0.10

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.6 말,6.27,6.28,7.1,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,2.33,2.31,2.33,2.32,△0.27,0.50
DOW,"24,719","23,062","26,527","26,537","26,527","26,600",2.74%,15.02%
NIKKEI,"22,765","20,015","21,276","21,338","21,276","21,730",2.13%,8.57%
SHANGHAI COMP,"3,307","2,494","2,979","2,997","2,979","3,045",2.22%,22.09%
"외평채가산금리(23년물, bp)",76,63,32,31,32,31,16.00,△31.00
"CDS (5 년, bp)",56,40,33,33,33,33,0.29,△7.16
"CRS (1 년, %)",1.38,1.21,0.83,0.81,0.83,0.89,0.06,△0.33

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.6 말,6.26,6.27,6.28,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,64.88,64.29,64.42,64.88,0.71%,22.74%
WTI 선물 ($/배럴),60.42,45.33,58.47,59.38,59.43,58.47,△1.62%,28.99%
밀 (센트/부셀),427,512,527,547,547,527,△3.66%,2.93%
옥수수 (센트/부셀),351,376,432,443,440,432,△1.82%,14.89%
동 ($/톤),"7,157","6,018","5,972","6,006","5,954","5,972",0.30%,△0.76%
알루미늄 ($/톤),"2,242","1,881","1,774","1,803","1,782","1,774",△0.45%,△5.69%

[반도체]
,‘17,‘18,19.3 월,4월,5월,6.26,6.27,6.28,6월 (~28)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,5.05,4.25,3.74,3.22,3.16,3.14,3.38
"(%, YoY)",41.6,8.3,△44.3,△52.6,△57.5,△61.3,△62.0,△62.2,△60.4
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,4.92,4.96,5.07,5.04,5.04,5.04,5.04
"(%, YoY)",33.8,△2.6,△27.9,△26.7,△24.6,△24.3,△24.3,△24.3,△24.5
