일일 경제지표('25.8.29)
"data_date,2025-08-29"

[표]
일일경제지표 (25. 8. 29) 17:30 현재

[금리]
,’ 23말,’ 24말,‘25.7 말,8/27,8/28,8/29,전일비,24말비
"콜금리 (1일, %)",3.55,3.10,2.51,2.51,2.50,2.50,0%p,△0.60 %p
"CD (91 일, %)",3.83,3.44,2.51,2.53,2.53,2.53,0%p,△0.91 %p
"국고채 (3년, %)",3.15,2.60,2.46,2.40,2.42,2.43,0.01 %p,△0.17 %p
"회사채 (3년, AA-, %)",3.90,3.29,2.95,2.89,2.90,2.91,0.01 %p,△0.38 %p
"외국인 채권 순매수 * (상장, 억원)",△406,"3,200","5,340","1,452",△759,"3,728","4,487",-

[주가]
,’ 23말,’ 24말,‘25.7 말,8/27,8/28,8/29,전일비,24말비
KOSPI,"2,655.28","2,399.49","3,245.44","3,187.16","3,196.32","3,186.01",△0.32%,32.78%
- 거래대금 (억원),"94,189","52,272","162,999","87,586","95,479","88,311","△10,446",-
KOSDAQ,866.57,678.19,805.24,801.72,798.43,796.91,△0.19%,17.51%
"외국인순매수 (억원, 기간 중 * )","6,937",116,"3,726","△2,987",△827,"△4,220","△3,393",-

[환율]
,’ 23말,’ 24말,‘25.7 말,8/27,8/28,8/29,전일비,24말비
￦/ U$,"1,288.00","1,472.50","1,387.00","1,396.30","1,387.60","1,390.10",0.18%,△5.60 %
"선물환( NDF,1 월물)","1,286.80","1,473.80","1,386.30","1,392.30","1,386.60","1,388.70",0.15%,△5.77 %
￦/ CNY,181.37,202.38,193.50,195.12,194.43,195.08,0.33 %,△3.61 %
￦/ Y100,912.25,932.67,932.50,945.30,942.73,945.52,0.30%,1.38 %
Y/U$,141.19,157.88,148.74,147.71,147.19,147.02,△0.12%,△6.88 %
U$/EUR,1.1105,1.0429,1.1449,1.1619,1.1637,1.1669,0.27%,11.89 %
CNY/U$,7.1092,7.2992,7.1912,7.1592,7.1490,7.1303,△0.26 %,△2.31%

[국제금리·주가·가산금리]
,’ 23말,’ 24말,‘25.7 말,8/27,8/28,8/29,전일비,24말비
"SOFR ($, 3 월, %)",5.61,4.33,4.30,4.20,4.20,4.17,△0.03 %p,△0.16 %p
DOW,"37,657","42,992","44,461","45,418","45,565","45,637",0.16%,6.15%
NIKKEI,"33,540","39,895","41,070","42,520","42,829","42,718",△0.26%,7.08%
SHANGHAI COMP,"2,955","3,407","3,573","3,800","3,844","3,858",0.37%,13.22%
"외평채가산금리(30년만기, bp)",34,28,23,20,20,19,△1.00,△9.00
"CDS (5 년, bp)",27.9,36.7,22.3,20.3,20.4,20.3,△0.11,△16.37
"CRS SOFR (1 년, %)",2.83,2.32,1.94,1.87,1.86,1.89,0.02 %p,△0.43 %p

[유가·곡물·원자재]
,’ 23말,’ 24말,‘25.7 말,8/26,8/27,8/28,전일비,24말비
Dubai ($/ 배럴),77.08,75.94,75.23,70.36,68.05,68.62,0.84%,△9.64%
WTI 선물 ($/배럴),71.65,71.72,69.26,63.25,64.15,64.60,0.70%,△9.93%
밀 (센트/부셀),628,552,523.25,531.75,524.25,529.00,0.91%,△4.17%
옥수수 (센트/부셀),471,459,413.75,409.50,406.00,410.00,0.99%,△10.68%
동 ($/톤),"8,476","8,706","9,606","9,708","9,682","9,704",0.22%,11.46%
알루미늄 ($/톤),"2,336","2,517","2,580","2,612","2,618","2,615",△0.11%,3.89%

[반도체]
,’ 23말,’ 24.12말,’ 25.5말,’ 25.6말,‘25.7 말,8/26,8/27,8/28,8월( ∼28)
"D 램(8 G) 현물가($, 기간평균)",1.74,1.75,2.83,5.50,5.46,5.52,5.53,5.57,5.46
"(YoY, %)",△14.8,0.5,48.5,190.5,174.3,179.7,180.4,182.2,175.3
"낸드(128 G) 현물가($, 기간평균)",6.38,6.63,7.54,8.60,9.48,9.50,9.50,9.50,9.51
"(YoY, %)",△2.3,3.9,18.2,35.6,50.3,50.4,50.3,49.1,50.5
