일일경제지표('20.12.16)
"data_date,2020-12-16"

[표]
일일경제지표 (20. 12. 16. 수) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.11 말,12.14,12.15,12.16,전일비,19말비
콜금리 (1일),1.82,1.31,0.52,0.50,0.50,0.49,△0.01,△0.82
CD (91 일),1.93,1.53,0.66,0.66,0.66,0.66,0,△0.87
국고채 (3년),1.82,1.36,0.98,0.99,0.98,0.99,0.01,△0.37
"회사채 (3년, AA-)",2.29,1.94,2.24,2.22,2.22,2.22,0.01,0.28
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,"3,586","2,511","2,749","1,096","△1,653",-

[주가]
,‘18 말,‘19 말,‘20.11 말,12.14,12.15,12.16,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,591.34","2,762.20","2,756.82","2,771.79",0.54%,26.12%
"- 거래대금 (억원, 일평균)","41,207","54,296","126,416","183,291","170,122","155,379",△8.67%,-
KOSDAQ,675.65,669.83,886.11,929.54,931.27,939.65,0.90%,40.28%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△24,831","△2,850","△3,183",284,△109,-

[환율]
,‘18 말,‘19 말,‘20.11 말,12.14,12.15,12.16,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,106.50","1,091.80","1,093.30","1,094.00",0.06,△5.40
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,106.80","1,091.40","1,092.60","1,093.70",0.10,△5.34
￦/ CNY,162.79,165.50,168.02,166.93,166.87,167.31,0.26,1.09
￦/ Y100,"1,008.86","1,059.75","1,065.17","1,049.81","1,050.44","1,056.60",0.59,△0.30
Y/U$,110.59,109.12,103.88,104.00,104.08,103.54,△0.52,△5.11
U$/EUR,1.1455,1.1194,1.1973,1.2140,1.2148,1.2159,0.09,8.62
CNY/U$,6.8522,6.9848,6.5892,6.5377,6.5543,6.5386,△0.24,△6.39

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.11 말,12.14,12.15,12.16,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.23,0.22,0.22,0.22,0.00,△1.73
DOW,"23,062","28,645","29,910","30,046","29,862","30,199",1.13%,6.10%
NIKKEI,"20,015","23,657","26,434","26,732","26,688","26,757",0.26%,13.11%
SHANGHAI COMP,"2,494","3,040","3,392","3,369","3,367","3,367",△0.01%,10.87%
"외평채가산금리(23년물, bp)",63,37,20,15,14,15,1.00,△21.00
"CDS (5 년, bp)",40,22,22,22,22,22,△0.16,△0.36
"CRS (1 년, %)",1.21,0.83,0.27,0.21,0.20,0.19,△0.01,△0.64

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.11 말,12.11,12.14,12.15,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,47.02,50.47,50.65,50.17,△0.95%,△25.42%
WTI 선물 ($/배럴),45.33,61.06,45.34,46.57,46.99,47.62,1.34%,△22.01%
밀 (센트/부셀),512,559,585,615,597,600,0.50%,7.33%
옥수수 (센트/부셀),376,388,426,424,424,425,0.24%,9.54%
동 ($/톤),"6,018","6,156","7,675","7,741","7,763","7,753",△0.13%,25.94%
알루미늄 ($/톤),"1,881","1,800","2,015","2,022","2,043","2,022",△1.03%,12.33%

[반도체]
,‘18,‘19,’20.9 월,10월,11월,12.11,12.14,12.15,12월 (~15)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.90,2.92,2.82,2.98,2.99,3.02,2.90
"(%, YoY)",8.3,△51.7,△11.2,△3.0,0.3,6.9,4.5,1.7,△0.9
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.64,5.65,5.64,5.61,5.61,5.61,5.61
"(%, YoY)",△2.6,△15.9,△0.9,△2.3,△4.4,△4.2,△3.5,△5.3,△5.4
