일일경제지표('18.1.17.)
"data_date,2018-01-17"

[표]
일일경제지표 (18. 1. 17. 수) 17:30 현재

[표]
KOSPI 지수(0.25%하락) 달러 환율(0.62%상승)

[금리]
,‘15 말,‘16 말,‘17.12 말,1.15,1.16,1.17,전일비,‘17 말비
콜금리 (1일),1.49,1.24,1.55,1.50,1.50,1.50,0,△0.05
CD (91 일),1.67,1.52,1.66,1.66,1.66,1.65,△0.01,△0.01
국고채 (3년),1.66,1.64,2.14,2.22,2.23,2.23,0.00,0.09
국고채 (5년),1.81,1.80,2.34,2.48,2.47,2.47,0.00,0.13
"회사채 (3년, AA-)",2.11,2.13,2.68,2.75,2.75,2.75,0,0.07
"외국인 채권 순매수 * (상장 , 억원)",830,297,△66,"5,673","1,060","4,673","3,613","4,739.00"

[주가]
,‘15 말,‘16 말,‘17.12 말,1.15,1.16,1.17,전일비,‘17 말비(%)
KOSPI,"1,961.31","2,026.46","2,467.49","2,503.73","2,521.74","2,515.43",△0.25%,1.94%
"- 거래대금 (억원, 일평균)","37,066",-,"42,744","60,878","64,871","62,374",△9.78%,-
KOSDAQ,682.35,631.44,798.42,891.61,901.23,886.58,△1.63%,11.04%
"외국인순매수 (억원, 기간 중 * )",△538,"1,380","1,409","1,977","3,260",△528,"△3,788",-

[환율]
,‘15 말,‘16 말,‘17.12 말,1.15,1.16,1.17,전일비,‘17 말비(%)
￦/ U$,"1,172.50","1,207.70","1,070.50","1,062.70","1,062.70","1,069.30",0.62,△0.11
"선물환( NDF,1 월물)","1,173.70","1,207.70","1,070.00","1,061.80","1,061.80","1,068.40",0.62,△0.15
￦/ CNY,180.70,173.68,163.90,165.03,165.10,166.13,0.62,1.36
￦/ EUR,"1,281.54","1,262.53","1,276.79","1,297.77","1,303.93","1,309.25",0.41,2.54
￦/ Y100,974.08,"1,035.41",949.28,959.12,959.03,964.90,0.61,1.65
Y/U$,120.37,116.64,112.77,110.80,110.81,110.82,0.01,△1.73
U$/EUR,1.0930,1.0454,1.1927,1.2212,1.2270,1.2244,△0.21,2.66
CNY/U$,6.4900,6.9550,6.5426,6.4300,6.4320,6.4334,0.02,△1.67

[국제금리·주가·가산금리]
,‘15 말,‘16 말,‘17.12 말,1.15,1.16,1.17,전일비,‘17 말비
"LIBOR (Dollar, 3 월, %)",0.61,1.00,1.69,1.72,1.73,-,0.01,0.04
DOW,"17,425","19,763","24,719",-,"25,793",-,△0.04%,4.34%
NIKKEI,"19,034","19,114","22,765","23,715","23,952","23,868",△0.35%,4.85%
SHANGHAI COMP,"3,565","3,098","3,307","3,410","3,437","3,445",0.24%,4.16%
"외평채가산금리(23년물, bp)",43,25,76,67,66,-,△1,△10.00
"CDS (5 년, bp)",55,44,56,44,43,43,△0,△12.77
"CRS (1 년, %)",1.35,1.00,1.38,1.28,1.27,1.28,0.02,△0.10

[유가·곡물·원자재]
,‘15 말,‘16 말,‘17.12 말,1.12,1.15,1.16,전일비,‘17 말비
Dubai ($/ 배럴),32.19,53.83,64.33,66.29,67.03,67.09,0.09%,4.29%
WTI 선물 ($/배럴),37.04,53.72,60.42,64.30,-,63.73,△0.89%,5.48%
Brent 선물 ($/배럴),37.28,56.82,66.87,69.87,70.26,69.15,△1.58%,3.41%
원당 (센트/파운드),15.24,19.51,15.16,14.18,-,13.59,△4.16%,△10.36%
밀 (센트/부셀),470,408,427,421,-,417,△0.95%,△2.34%
콩 (센트/부셀),871,"1,004",962,961,-,968,0.73%,0.62%
옥수수 (센트/부셀),359,352,351,346,-,348,0.58%,△0.85%
동 ($/톤),"4,702","5,501","7,157","7,071","7,180","7,023",△2.19%,△1.87%
알루미늄 ($/톤),"1,508","1,714","2,242","2,215","2,228","2,172",△2.51%,△3.12%
