일일 경제지표('24.4.15)
"data_date,2024-04-15"

[표]
일일경제지표 (24. 4. 15 월) 17:30 현재

[금리]
,’22 말,’23 말,’24.3 말,4/11,4/12,4/15,전일비,23말비
콜금리 (1일.%),3.21,3.55,3.50,3.46,3.50,3.50,0,△0.05
"CD (91 일, %)",3.98,3.83,3.64,3.57,3.56,3.56,0,△0.27
"국고채 (3년, %)",3.72,3.15,3.32,3.47,3.40,3.44,0.04,0.29
"회사채 (3년, AA-, %)",5.23,3.90,3.93,4.02,3.96,3.98,0.02,0.09
"외국인 채권 순매수 * (상장 , 억원)","△2,319",△406,"8,544","1,184","1,564","3,817","2,253",-

[주가]
,’22 말,’23 말,’24.3 말,4/11,4/12,4/15,전일비,23말비
KOSPI,"2,236.40","2,655.28","2,746.63","2,706.96","2,681.82","2,670.43",△0.42%,0.57%
- 거래대금 (억원),"60,365","103,597","111,901","127,898","119,034","105,066","△13,968",-
KOSDAQ,679.29,866.57,905.50,858.10,860.47,852.42,△0.94%,△1.63%
"외국인순매수 (억원, 기간 중 * )","△2,792","6,937","7,097","9,951",△93,"△3,439","△ 3,346",-

[환율]
,’22 말,’23 말,’24.3 말,4/11,4/12,4/15,전일비,23말비
￦/ U$,"1,264.50","1,288.00","1,347.20","1,364.10","1,375.40","1,384.00",0.63,7.45
"선물환( NDF,1 월물)","1,265.30","1,286.80","1,345.10","1,352.70","1,373.60","1,381.90",0.60,7.39
￦/ CNY,181.44,181.37,185.75,188.49,188.03,191.21,1.69,5.43
￦/ Y100,945.56,912.25,889.79,890.98,897.66,899.81,0.24,△1.36
Y/U$,133.73,141.19,151.41,153.10,153.22,153.81,0.39,8.94
U$/EUR,1.0617,1.1105,1.0775,1.0737,1.0702,1.0659,△0.40,△4.02
CNY/U$,6.9630,7.1092,7.2243,7.2365,7.2367,7.2386,0.03,1.82

[국제금리·주가·가산금리]
,’22 말,’23 말,’24.3 말,4/11,4/12,4/15,전일비,23말비
"LIBOR ($, 3 월, %)",4.75,5.61,5.56,5.56,5.59,5.59,△0.00,△0.02
DOW,"33,221","37,657","39,807","38,462","38,459","37,983",△1.24%,0.87%
NIKKEI,"26,095","33,540","40,369","39,443","39,524","39,233",△0.74%,16.97%
SHANGHAI COMP,"3,089","2,955","3,041","3,034","3,019","3,057",1.26%,3.48%
"외평채가산금리(30년만기, bp)",43,34,31,31,30,30,0,△4.00
"CDS (5 년, bp)",55,28,38,39,38,39,0.62,11.26
"CRS SOFR (1 년, %)",3.16,2.83,3.02,3.03,3.06,3.01,△0.05,0.18

[유가·곡물·원자재]
,’22 말,’23 말,’24.3 말,4/10,4/11,4/12,전일비,23말비
Dubai ($/ 배럴),78.77,77.08,86.31,주1) 90.74,90.88,90.48,△0.44%,17.38%
WTI 선물 ($/배럴),80.26,71.65,83.17,86.21,85.02,85.66,0.75%,19.55%
밀 (센트/부셀),792,628,560,559,566,556,△1.77%,△11.46%
옥수수 (센트/부셀),679,471,442,434,441,447,1.36%,△5.10%
동 ($/톤),"8,387","8,476","8,729","9,365","9,241","9,402",1.74%,10.92%
알루미늄 ($/톤),"2,361","2,336","2,270","2,429","2,411","2,443",1.33%,4.58%

[반도체]
,‘22 말,‘23 말,‘24.1 말,‘24.2 말,‘24.3 말,4/10,4/11,4/12,4월 (~12)
"D 램(8 G) 현물가($, 기간평균)",3.07,1.74,1.86,1.95,1.93,1.93,1.93,1.94,1.92
"(%, YoY)",△23.0,△14.8,△3.6,6.6,13.0,18.2,18.5,18.8,17.8
"낸드(128 G) 현물가($, 기간평균)",7.25,6.38,6.38,6.42,6.41,6.40,6.40,6.40,6.40
"(%, YoY)",10.7,△2.3,△1.9,△0.7,△0.2,0.2,0.3,0.3,0.1
