일일경제지표('20.4.16)
"data_date,2020-04-16"

[표]
일일경제지표 (20. 4. 16. 목) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.3 말,4.13,4.14,4.16,전일비,19말비
콜금리 (1일),1.82,1.31,0.76,0.73,0.75,0.74,△0.01,△0.57
CD (91 일),1.93,1.53,1.10,1.10,1.10,1.10,0,△0.43
국고채 (3년),1.82,1.36,1.07,1.00,1.00,0.98,△0.01,△0.38
"회사채 (3년, AA-)",2.29,1.94,2.08,2.12,2.13,2.12,△0.00,0.19
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,720,"1,976","5,148","△1,384","△6,532",-

[주가]
,‘18 말,‘19 말,‘20.3 말,4.13,4.14,4.16,전일비,19말비
KOSPI,"2,041.04","2,197.67","1,754.64","1,825.76","1,857.08","1,857.07",△0.00%,△15.50%
"- 거래대금 (억원, 일평균)","41,207","54,296","90,810","120,099","95,167","99,958",5.03%,-
KOSDAQ,675.65,669.83,569.07,596.71,610.29,623.43,2.15%,△6.93%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△1,724","△3,861","1,691","△4,970",△394,-

[환율]
,‘18 말,‘19 말,‘20.3 말,4.13,4.14,4.16,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,217.40","1,217.90","1,217.30","1,228.70",0.94,6.25
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,216.20","1,216.80","1,216.10","1,227.20",0.91,6.21
￦/ CNY,162.79,165.50,171.87,172.82,172.59,173.66,0.62,4.93
￦/ Y100,"1,008.86","1,059.75","1,123.48","1,129.57","1,130.27","1,140.01",0.86,7.57
Y/U$,110.59,109.12,108.36,107.82,107.70,107.78,0.07,△1.23
U$/EUR,1.1455,1.1194,1.1003,1.0947,1.0933,1.0889,△0.40,△2.72
CNY/U$,6.8522,6.9848,7.0927,7.0466,7.0467,7.0778,0.44,1.33

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.3 말,4.13,4.14,4.16,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,1.45,1.22,1.22,1.18,△0.04,△0.77
DOW,"23,062","28,645","22,327","23,719","23,390","23,504",0.49%,△17.42%
NIKKEI,"20,015","23,657","18,917","19,403","19,639","19,290",△1.78%,△18.46%
SHANGHAI COMP,"2,494","3,040","2,750","2,783","2,827","2,820",△0.26%,△7.14%
"외평채가산금리(23년물, bp)",63,37,59,70,72,72,0,36.00
"CDS (5 년, bp)",40,22,40,33,35,32,△2.48,9.96
"CRS (1 년, %)",1.21,0.83,△0.53,△0.11,△0.12,△0.29,△0.17,△1.12

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.3 말,4.10,4.13,4.14,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,23.43,23.32,22.31,19.68,△11.79%,△70.74%
WTI 선물 ($/배럴),45.33,61.06,20.48,22.76,22.41,19.87,△11.33%,△67.46%
밀 (센트/부셀),512,559,569,557,555,541,△2.52%,△3.22%
옥수수 (센트/부셀),376,388,341,332,332,319,△3.92%,△17.78%
동 ($/톤),"6,018","6,156","4,797","4,964","4,964","5,055",1.83%,△17.88%
알루미늄 ($/톤),"1,881","1,800","1,489","1,429","1,429","1,470",2.87%,△18.33%

[반도체]
,‘18,‘19,‘20.1 월,2월,3월,4.13,4.14,4.15,4월 (~15)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,3.24,3.39,3.54,3.56,3.53,3.50,3.59
"(%, YoY)",8.3,△51.7,△45.6,△41.4,△29.8,△16.9,△16.9,△17.2,△15.4
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,6.08,6.11,6.00,5.78,5.76,5.76,5.78
"(%, YoY)",△2.6,△15.9,17.2,22.7,21.8,17.0,16.8,16.8,16.6
