일일경제지표('16.9.19.)
"data_date,2016-09-19"

[표]
일일경제지표 (16. 9 . 19. 월 ) 17:30 현재

[표]
KOSPI 지수(0.50%상승) 달러 환율(0.06%하락)

[금리]
,‘14 말,‘15 말,‘16.8 말,9.12,9/13,9/19,전일비,‘15 말비
콜금리 (1일),2.01,1.49,1.24,1.25,1.24,1.24,0,△0.25
CD (91 일),2.13,1.67,1.34,1.34,1.34,1.34,0,△0.33
국고채 (3년),2.10,1.66,1.31,1.36,1.35,1.35,△0.01,△0.32
국고채 (5년),2.28,1.81,1.35,1.40,1.41,1.40,△0.00,△0.41
"회사채 (3년, AA-)",2.43,2.11,1.69,1.74,1.73,1.73,0.00,△0.38
"외국인 채권 순매수 * (상장 , 억원)","46,746",830,"1,296","4,548","3,526","1,410","△2,116",-

[주가]
,‘14 말,‘15 말,‘16.8 말,9.12,9/13,9/19,전일비,‘15 말비(%)
KOSPI,"1,915.59","1,961.31","2,034.65","1,991.48","2,005.84","2,015.78",0.50%,2.78%
"- 거래대금 (억원, 일평균)","36,950","37,066","54,859","48,158","51,467","48,284","△3,183",-
KOSDAQ,542.97,682.35,663.69,652.91,659.18,666.64,1.13%,△2.30%
"외국인순매수 (억원, 기간 중 * )","1,546",△538,△45,"△1,901","1,846",508,"△1,338",-

[환율]
,‘14 말,‘15 말,‘16.8 말,9.12,9/13,9/19,전일비,‘15 말비(%)
￦/ U$,"1,099.30","1,172.50","1,114.80","1,113.50","1,118.80","1,118.10",△0.06,△4.64
"선물환( NDF,1 월물)","1,100.90","1,173.70","1,115.80","1,113.40","1,119.10","1,118.90",△0.02,△4.67
￦/ CNY,177.21,180.70,166.91,166.69,167.13,167.66,0.32,△7.22
￦/ EUR,"1,333.89","1,281.54","1,242.44","1,252.02","1,256.97","1,247.58",△0.75,△2.65
￦/ Y100,913.04,974.08,"1,080.65","1,086.24","1,097.83","1,095.21",△0.24,12.44
Y/U$,120.40,120.37,103.16,102.51,101.91,102.09,0.18,△15.19
U$/EUR,1.2134,1.0930,1.1145,1.1244,1.1235,1.1158,△0.69,2.09
CNY/U$,6.2210,6.4900,6.6787,6.6789,6.6798,6.6695,△0.15,2.77

[국제금리·주가·가산금리]
,‘14 말,‘15 말,‘16.8 말,9.12,9/13,9/19,전일비,‘15 말비
"LIBOR (Dollar, 3 월, %)",0.26,0.61,0.84,0.85,0.86,-,0.01,0.25
"T/NOTE (10 년, %)",2.18,2.27,1.58,1.66,1.69,-,0.03,△0.58
DOW,"17,823","17,425","18,401","18,325","18,124",-,△1.10%,4.01%
NIKKEI,"17,464","19,034","16,887","16,673","16,743","16,519",△1.33%,△13.21%
SHANGHAI COMP,"3,235","3,565","3,084","3,021","3,017","3,024",0.22%,△15.20%
"외평채가산금리(23년물, bp)",48,43,19,19,19,-,0,△24
"CDS (5 년, bp)",54,55,44,44,44,42,△2,△13
"CRS (1 년, %)",1.49,1.35,1.15,1.20,1.17,1.18,0.01,△0.18

[유가·곡물·원자재]
,‘14 말,‘15 말,‘16.8 말,9.9,9/12,9/16,전일비,‘15 말비
Dubai ($/ 배럴),53.60,32.19,44.79,45.45,46.29,42.34,△8.53%,31.53%
WTI 선물 ($/배럴),53.27,37.04,44.70,45.88,46.29,43.03,△7.04%,16.17%
Brent 선물 ($/배럴),57.33,37.28,47.04,48.01,48.32,45.77,△5.28%,22.77%
원당 (센트/파운드),14.52,15.24,20.06,19.99,20.24,21.78,7.61%,42.91%
밀 (센트/부셀),590,470,361,404,409,403,△1.47%,△14.20%
콩 (센트/부셀),"1,019",871,960,980,964,966,0.18%,10.88%
옥수수 (센트/부셀),397,359,302,341,340,337,△0.74%,△6.06%
동 ($/톤),"6,359","4,702","4,613","4,623","4,573","4,734",3.51%,0.67%
알루미늄 ($/톤),"1,832","1,508","1,601","1,568","1,546","1,560",0.94%,3.48%
