일일경제지표('17.3.16.)
"data_date,2017-03-16"

[표]
일일경제지표 (17. 3. 16. 목) 17:30 현재

[표]
KOSPI 지수(0.80%상승) 달러 환율(1.01%하락)

[금리]
,‘15 말,‘16 말,‘17.2 말,3.14,3.15,3.16,전일비,‘16 말비
콜금리 (1일),1.49,1.24,1.24,1.23,1.23,1.23,0,△0.01
CD (91 일),1.67,1.52,1.49,1.49,1.49,1.48,△0.01,△0.04
국고채 (3년),1.66,1.64,1.67,1.76,1.76,1.70,△0.06,0.06
국고채 (5년),1.81,1.80,1.86,1.99,1.98,1.88,△0.10,0.08
"회사채 (3년, AA-)",2.11,2.13,2.14,2.24,2.25,2.20,△0.05,0.07
"외국인 채권 순매수 * (상장 , 억원)",830,297,"3,276",343,△825,"△2,466","△1,641",-

[주가]
,‘15 말,‘16 말,‘17.2 말,3.14,3.15,3.16,전일비,‘16 말비(%)
KOSPI,"1,961.31","2,026.46","2,091.64","2,133.78","2,133.00","2,150.08",0.80%,6.10%
"- 거래대금 (억원, 일평균)","37,066",-,"50,515","52,879","48,199","50,059",310,-
KOSDAQ,682.35,631.44,612.20,614.12,608.68,613.88,0.85%,△2.78%
"외국인순매수 (억원, 기간 중 * )",△538,"1,380",621,"4,005",972,"2,762","1,790",-

[환율]
,‘15 말,‘16 말,‘17.2 말,3.14,3.15,3.16,전일비,‘16 말비(%)
￦/ U$,"1,172.50","1,207.70","1,130.70","1,148.80","1,143.60","1,132.00",△1.01,△6.29
"선물환( NDF,1 월물)","1,173.70","1,207.70","1,130.40","1,148.70","1,148.80","1,131.80",△1.48,△6.32
￦/ CNY,180.70,173.68,164.56,166.02,165.40,164.28,△0.68,△5.55
￦/ EUR,"1,281.54","1,262.53","1,197.86","1,222.90","1,215.08","1,215.20",0.01,△4.29
￦/ Y100,974.08,"1,035.41","1,005.78",999.56,996.51,999.65,0.31,△3.31
Y/U$,120.37,116.64,112.42,114.93,114.76,113.24,△1.32,△3.08
U$/EUR,1.0930,1.0454,1.0594,1.0645,1.0625,1.0735,1.04,2.14
CNY/U$,6.4900,6.9550,6.8682,6.9191,6.9121,6.8914,△0.30,△0.74

[국제금리·주가·가산금리]
,‘15 말,‘16 말,‘17.2 말,3.14,3.15,3.16,전일비,‘16 말비
"LIBOR (Dollar, 3 월, %)",0.61,1.00,-,1.13,1.14,-,0.01,0.14
"T/NOTE (10 년, %)",2.27,2.45,-,2.60,2.50,-,△0.11,0.05
DOW,"17,425","19,763",-,"20,837","20,950",-,0.54%,6.01%
NIKKEI,"19,034","19,114","19,119","19,610","19,547","19,590",0.22%,2.49%
SHANGHAI COMP,"3,565","3,098","3,242","3,239","3,238","3,269",0.96%,5.53%
"외평채가산금리(23년물, bp)",43,25,-,74,75,-,1,50.00
"CDS (5 년, bp)",55,44,46,46,46,44,△2,0.33
"CRS (1 년, %)",1.35,1.00,0.86,0.98,1.00,0.98,△0.02,△0.02

[유가·곡물·원자재]
,‘15 말,‘16 말,‘17.2 말,3.13,3.14,3.15,전일비,‘16 말비
Dubai ($/ 배럴),32.19,53.83,0.00,50.04,49.82,50.01,0.38%,△7.10%
WTI 선물 ($/배럴),37.04,53.72,54.01,48.40,47.72,48.86,2.39%,△9.05%
Brent 선물 ($/배럴),37.28,56.82,55.59,51.35,50.92,51.81,1.75%,△8.82%
원당 (센트/파운드),15.24,19.51,19.23,18.18,18.16,18.23,0.39%,△6.56%
밀 (센트/부셀),470,408,444,431,431,436,1.16%,6.86%
콩 (센트/부셀),871,"1,004","1,036","1,006",999,998,△0.10%,△0.60%
옥수수 (센트/부셀),359,352,374,361,362,364,0.55%,3.41%
동 ($/톤),"4,702","5,501","5,936","5,794","5,747","5,850",1.79%,6.34%
알루미늄 ($/톤),"1,508","1,714","1,895","1,882","1,851","1,863",0.65%,8.72%
