일일경제지표('19.10.15)
"data_date,2019-10-15"

[표]
일일경제지표 (19. 10. 15. 화) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.9 말,10.11,10.14,10.15,전일비,18말비
콜금리 (1일),1.55,1.82,1.54,1.51,1.55,1.53,△0.02,△0.29
CD (91 일),1.66,1.93,1.55,1.55,1.55,1.55,0,△0.38
국고채 (3년),2.14,1.82,1.30,1.28,1.28,1.28,0,△0.54
"회사채 (3년, AA-)",2.68,2.29,1.80,1.79,1.79,1.79,0.00,△0.50
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","2,797",402,"4,540",△160,"△4,700",-

[주가]
,‘17 말,‘18 말,‘19.9 말,10.11,10.14,10.15,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,063.05","2,044.61","2,067.40","2,068.17",0.04%,1.33%
"- 거래대금 (억원, 일평균)","42,744","41,207","34,892","56,124","37,906","45,794",20.81%,-
KOSDAQ,798.42,675.65,621.76,632.95,641.46,646.80,0.83%,△4.27%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730",△534,609,509,△16,△103,-

[환율]
,‘17 말,‘18 말,‘19.9 말,10.11,10.14,10.15,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,196.20","1,188.80","1,184.90","1,185.20",0.03,6.23
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,195.50","1,188.00","1,184.20","1,184.30",0.01,6.22
￦/ CNY,163.90,162.79,167.55,167.44,167.64,167.50,△0.08,2.89
￦/ Y100,949.28,"1,008.86","1,109.54","1,101.15","1,094.90","1,094.06",△0.08,8.45
Y/U$,112.77,110.59,107.81,107.96,108.22,108.33,0.10,△2.04
U$/EUR,1.1927,1.1455,1.0935,1.1014,1.1027,1.1031,0.04,△3.70
CNY/U$,6.5426,6.8522,7.1255,7.1061,7.0626,7.0730,0.15,3.22

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.9 말,10.11,10.14,10.15,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,2.10,1.98,2.00,2.00,0,△0.82
DOW,"24,719","23,062","26,820","26,497","26,817","26,787",△0.11%,16.15%
NIKKEI,"22,765","20,015","21,756","21,799","21,799","22,207",1.87%,10.95%
SHANGHAI COMP,"3,307","2,494","2,905","2,974","3,008","2,991",△0.56%,19.93%
"외평채가산금리(23년물, bp)",76,63,38,36,35,36,1.00,△27.00
"CDS (5 년, bp)",56,40,34,34,33,33,0.02,△7.59
"CRS (1 년, %)",1.38,1.21,0.66,0.62,0.67,0.65,0.02,△0.56

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.9 말,10.10,10.11,10.14,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,60.94,57.77,60.44,60.03,△0.68%,13.56%
WTI 선물 ($/배럴),60.42,45.33,54.07,53.55,54.70,53.59,△2.03%,18.22%
밀 (센트/부셀),427,512,496,493,508,511,0.59%,△0.20%
옥수수 (센트/부셀),351,376,388,380,398,398,0,5.85%
동 ($/톤),"7,157","6,018","5,728","5,699","5,763","5,719",△0.76%,△4.97%
알루미늄 ($/톤),"2,242","1,881","1,704","1,738","1,721","1,705",△0.93%,△9.36%

[반도체]
,‘17,‘18,‘19.7 월,8월,9월,10.10,10.11,10.14,10월 (~14)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,3.39,3.53,3.26,3.07,3.06,3.06,3.09
"(%, YoY)",41.6,8.3,△57.6,△54.1,△55.8,△57.2,△57.3,△57.3,△56.4
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,5.20,5.42,5.69,5.78,5.78,5.79,5.76
"(%, YoY)",33.8,△2.6,△21.3,△14.3,△2.5,△0.9,△0.9,△0.8,△1.1
