일일경제지표('20.4.10)
"data_date,2020-04-10"

[표]
일일경제지표 (20. 4. 10. 금) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.3 말,4.8,4.9,4.10,전일비,19말비
콜금리 (1일),1.82,1.31,0.76,0.74,0.73,0.73,0,△0.58
CD (91 일),1.93,1.53,1.10,1.10,1.10,1.10,0,△0.43
국고채 (3년),1.82,1.36,1.07,1.02,0.99,0.97,△0.02,△0.39
"회사채 (3년, AA-)",2.29,1.94,2.08,2.10,2.09,2.09,△0.00,0.16
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,720,"1,129","6,395",911,"△5,484",-

[주가]
,‘18 말,‘19 말,‘20.3 말,4.8,4.9,4.10,전일비,19말비
KOSPI,"2,041.04","2,197.67","1,754.64","1,807.14","1,836.21","1,860.70",1.33%,△15.33%
"- 거래대금 (억원, 일평균)","41,207","54,296","90,810","116,289","111,265","105,173",△5.48%,-
KOSDAQ,675.65,669.83,569.07,607.37,615.95,611.26,△0.76%,△8.74%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△1,724","△2,384","△2,582","△1,928",△25,-

[환율]
,‘18 말,‘19 말,‘20.3 말,4.8,4.9,4.10,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,217.40","1,220.90","1,219.50","1,208.80",△0.88,4.53
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,216.20","1,220.60","1,219.50","1,207.30",△1.00,4.49
￦/ CNY,162.79,165.50,171.87,172.89,172.83,171.90,△0.54,3.87
￦/ Y100,"1,008.86","1,059.75","1,123.48","1,121.53","1,119.42","1,115.23",△0.37,5.24
Y/U$,110.59,109.12,108.36,108.86,108.94,108.39,△0.50,△0.67
U$/EUR,1.1455,1.1194,1.1003,1.0839,1.0849,1.0939,0.83,△2.28
CNY/U$,6.8522,6.9848,7.0927,7.0651,7.0700,7.0337,△0.51,0.70

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.3 말,4.8,4.9,4.10,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,1.45,1.35,1.32,1.31,△0.01,△0.63
DOW,"23,062","28,645","22,327","22,654","23,434","23,719",1.22%,△16.66%
NIKKEI,"20,015","23,657","18,917","19,353","19,346","19,499",0.79%,△17.58%
SHANGHAI COMP,"2,494","3,040","2,750","2,815","2,826","2,797",△1.04%,△7.91%
"외평채가산금리(23년물, bp)",63,37,59,67,67,67,0,31.00
"CDS (5 년, bp)",40,22,40,39,37,36,△0.93,13.49
"CRS (1 년, %)",1.21,0.83,△0.53,△0.03,△0.07,△0.06,0.01,△0.89

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.3 말,4.7,4.8,4.9,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,23.43,24.88,23.52,23.32,△0.85%,△65.33%
WTI 선물 ($/배럴),45.33,61.06,20.48,23.63,25.09,22.76,△9.29%,△62.73%
밀 (센트/부셀),512,559,569,549,548,557,1.64%,△0.36%
옥수수 (센트/부셀),376,388,341,332,330,332,0.61%,△14.43%
동 ($/톤),"6,018","6,156","4,797","5,068","4,976","4,964",△0.24%,△19.36%
알루미늄 ($/톤),"1,881","1,800","1,489","1,456","1,422","1,429",0.49%,△20.61%

[반도체]
,‘18,‘19,‘20.1 월,2월,3월,4.7,4.8,4.9,4월 (~9)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,3.24,3.39,3.54,3.64,3.62,3.59,3.62
"(%, YoY)",8.3,△51.7,△45.6,△41.4,△29.8,△17.2,△16.9,△17.2,△14.8
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,6.08,6.11,6.00,5.79,5.78,5.78,5.80
"(%, YoY)",△2.6,△15.9,17.2,22.7,21.8,17.6,17.2,17.2,16.8
