일일경제지표('19.6.12)
"data_date,2019-06-12"

[표]
일일경제지표 (19. 6. 12. 수) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.5 말,6.10,6.11,6.12,전일비,18말비
콜금리 (1일),1.55,1.82,1.76,1.77,1.75,1.75,0,△0.07
CD (91 일),1.66,1.93,1.84,1.82,1.82,1.81,△0.01,△0.12
국고채 (3년),2.14,1.82,1.59,1.53,1.54,1.47,△0.07,△0.35
"회사채 (3년, AA-)",2.68,2.29,2.08,2.05,2.05,2.00,△0.05,△0.29
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","6,501","16,862","3,914","△1,281","△5,195",-

[주가]
,‘17 말,‘18 말,‘19.5 말,6.10,6.11,6.12,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,041.74","2,099.49","2,111.81","2,108.75",△0.14%,3.32%
"- 거래대금 (억원, 일평균)","42,744","41,207","49,788","43,473","42,140","42,766",1.49%,-
KOSDAQ,798.42,675.65,696.47,721.14,728.79,724.32,△0.61%,7.20%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730","2,440","1,264",707,△629,△189,-

[환율]
,‘17 말,‘18 말,‘19.5 말,6.10,6.11,6.12,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,190.90","1,185.20","1,180.40","1,182.60",0.19,6.00
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,189.50","1,183.80","1,179.50","1,181.70",0.19,5.99
￦/ CNY,163.90,162.79,172.56,171.07,170.80,171.04,0.14,5.07
￦/ Y100,949.28,"1,008.86","1,093.27","1,091.14","1,086.62","1,091.77",0.47,8.22
Y/U$,112.77,110.59,108.93,108.92,108.63,108.22,△0.38,△2.14
U$/EUR,1.1927,1.1455,1.1133,1.1308,1.1315,1.1338,0.20,△1.02
CNY/U$,6.5426,6.8522,6.9049,6.9302,6.9137,6.9194,0.08,0.98

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.5 말,6.10,6.11,6.12,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,2.52,2.45,2.45,2.44,△0.15,0.36
DOW,"24,719","23,062","25,170","25,984","26,063","26,049",0.94%,13.01%
NIKKEI,"22,765","20,015","20,601","21,134","21,204","21,130",△0.35%,5.57%
SHANGHAI COMP,"3,307","2,494","2,899","2,852","2,926","2,909",△0.56%,16.66%
"외평채가산금리(23년물, bp)",76,63,30,31,31,31,16.00,△32.00
"CDS (5 년, bp)",56,40,37,33,33,33,0.36,△7.02
"CRS (1 년, %)",1.38,1.21,0.86,0.86,0.92,0.88,0.04,△0.33

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.5 말,6.7,6.10,6.11,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,63.83,61.20,61.92,61.28,△1.03%,15.93%
WTI 선물 ($/배럴),60.42,45.33,53.50,53.99,53.26,53.27,0.02%,17.52%
밀 (센트/부셀),427,512,503,505,508,518,1.97%,1.17%
옥수수 (센트/부셀),351,376,427,416,416,428,2.88%,13.83%
동 ($/톤),"7,157","6,018","5,781","5,770","5,788","5,905",2.02%,△1.88%
알루미늄 ($/톤),"2,242","1,881","1,761","1,733","1,721","1,755",1.98%,△6.70%

[반도체]
,‘17,‘18,19.3 월,4월,5월,6.6,6.10,6.11,6월 (~11)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,5.05,4.25,3.74,3.53,3.50,3.45,3.54
"(%, YoY)",41.6,8.3,△44.3,△52.6,△57.5,△59.0,△59.4,△60.0,△58.5
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,4.92,4.96,5.07,5.06,5.06,5.06,5.06
"(%, YoY)",33.8,△2.6,△27.9,△26.7,△24.6,△24.5,△24.5,△24.5,△24.3
