일일경제지표('16.2.29.)
"data_date,2016-02-29"

[표]
일일경제지표 (16. 2. 29 월) 17:30 현재

[표]
KOSPI 지수(0.18%하락) 달러 환율(0.12%하락)

[금리]
,‘14 말,‘15 말,‘16.1 말,2.25,2.26,2.29,전일비,‘15 말비
콜금리 (1일),2.01,1.49,1.48,1.49,1.49,1.50,0.01,0.01
CD (91 일),2.13,1.67,1.65,1.63,1.63,1.63,0.00,△0.04
국고채 (3년),2.10,1.66,1.56,1.46,1.45,1.45,0.00,△0.21
국고채 (5년),2.28,1.81,1.70,1.57,1.55,1.56,0.00,△0.26
"회사채 (3년, AA-)",2.43,2.11,2.04,1.95,1.94,1.94,0.00,△0.17
"외국인 채권 순매수 * (상장 , 억원)","46,746",830,380,"3,057",818,△779,"△1,597",-

[주가]
,‘14 말,‘15 말,‘16.1 말,2.25,2.26,2.29,전일비,‘15 말비(%)
KOSPI,"1,915.59","1,961.31","1,912.06","1,918.57","1,920.16","1,916.66",△0.18%,△2.28%
"- 거래대금 (억원, 일평균)","36,950","37,066","64,837","41,799","46,448","45,492",△956,-
KOSDAQ,542.97,682.35,682.80,646.27,649.30,651.62,0.36%,△4.50%
"외국인순매수 (억원, 기간 중 * )","1,546",△538,"△1,644",115,965,"1,804",839,-

[환율]
,‘14 말,‘15 말,‘16.1 말,2.25,2.26,2.29,전일비,‘15 말비(%)
￦/ U$,"1,099.30","1,172.50","1,199.10","1,238.80","1,238.20","1,236.70",△0.12,5.48
"선물환( NDF,1 월물)","1,100.90","1,173.70","1,200.10","1,240.00","1,239.10","1,237.70",△0.11,5.45
￦/ CNY,177.21,180.70,182.34,189.61,189.29,188.87,△0.22,4.52
￦/ EUR,"1,333.89","1,281.54","1,308.82","1,366.64","1,369.45","1,352.95",△1.20,5.57
￦/ Y100,913.04,974.08,995.10,"1,101.74","1,099.55","1,095.39",△0.38,12.45
Y/U$,120.40,120.37,120.50,112.44,112.61,112.90,0.26,△6.21
U$/EUR,1.2134,1.0930,1.0915,1.1032,1.1060,1.0940,△1.08,0.09
CNY/U$,6.2210,6.4900,6.5757,6.5338,6.5352,6.5470,0.18,0.88

[국제금리·주가·가산금리]
,‘14 말,‘15 말,‘16.1 말,2.25,2.26,2.29,전일비,‘15 말비
"LIBOR (Dollar, 3 월, %)",0.26,0.61,0.61,0.63,0.64,-,0.01,0.03
"T/NOTE (10 년, %)",2.18,2.27,1.92,1.72,1.76,-,0.04,△0.50
DOW,"17,823","17,425","16,466","16,697","16,640",-,△0.34%,△4.51%
NIKKEI,"17,464","19,034","17,518","16,140","16,188","16,027",△1.00%,△15.80%
SANGHAI COMP,"3,235","3,565","2,738","2,741","2,767","2,682",△3.08%,△24.77%
"외평채가산금리(23년물, bp)",48,43,46,43,43,-,0,0
"CDS (5 년, bp)",54,55,64,72,69,71,2,16
"CRS (1 년, %)",1.49,1.35,1.31,1.23,1.20,1.22,0.02,△0.13

[유가·곡물·원자재]
,‘14 말,‘15 말,‘16.1 말,2.24,2.25,2.29,전일비,‘15 말비
Dubai ($/ 배럴),53.60,32.19,28.37,28.57,29.46,30.43,3.29%,△5.47%
WTI 선물 ($/배럴),53.27,37.04,33.62,32.15,33.07,32.78,△0.88%,△11.50%
Brent 선물 ($/배럴),57.33,37.28,34.74,34.41,35.29,35.10,△0.54%,△5.85%
원당 (센트/파운드),14.52,15.24,13.14,13.97,14.24,13.91,△2.32%,△8.73%
밀 (센트/부셀),590,470,479,443,445,443,△0.45%,△5.69%
콩 (센트/부셀),"1,019",871,882,868,859,855,△0.47%,△1.87%
옥수수 (센트/부셀),397,359,372,360,356,355,△0.28%,△1.18%
동 ($/톤),"6,359","4,702","4,542","4,586","4,655","4,681",0.56%,△0.45%
알루미늄 ($/톤),"1,832","1,508","1,530","1,552","1,600","1,589",△0.72%,5.37%
